anio,semana,temperatura_media_C,salinidad_media_PSU,temperatura_min_C,temperatura_max_C,salinidad_min_PSU,salinidad_max_PSU,n_dias
2014,1,5.912,33.496,5.854,5.997,33.482,33.515,5
2014,2,5.634,33.581,5.212,5.989,33.532,33.614,7
2014,3,4.998,33.653,4.897,5.165,33.618,33.696,7
2014,4,4.972,33.696,4.871,5.056,33.679,33.708,7
2014,5,4.704,33.705,4.522,4.861,33.674,33.749,7
2014,6,4.696,33.776,4.554,4.769,33.758,33.802,7
2014,7,4.74,33.816,4.643,4.842,33.811,33.819,7
2014,8,4.346,33.827,4.054,4.612,33.812,33.865,7
2014,9,4.421,33.987,4.301,4.505,33.899,34.063,7
2014,10,4.812,34.082,4.472,5.077,34.058,34.094,7
2014,11,4.825,34.007,4.619,5.024,33.988,34.026,7
2014,12,4.269,34.084,4.085,4.413,34.034,34.137,7
2014,13,4.606,34.24,4.455,4.779,34.171,34.311,7
2014,14,4.631,34.413,4.61,4.662,34.346,34.452,7
2014,15,5.026,34.474,4.663,5.436,34.434,34.504,7
2014,16,5.289,34.402,5.192,5.444,34.37,34.436,7
2014,17,5.356,34.363,5.148,5.536,34.354,34.373,7
2014,18,5.526,34.408,5.475,5.624,34.373,34.441,7
2014,19,5.937,34.487,5.738,6.27,34.452,34.511,7
2014,20,6.237,34.512,6.07,6.474,34.446,34.536,7
2014,21,6.819,34.356,6.704,6.96,34.34,34.398,7
2014,22,7.527,34.335,6.791,8.005,34.293,34.363,7
2014,23,9.28,34.111,8.431,10.157,33.995,34.229,7
2014,24,9.856,34.044,9.458,10.264,33.981,34.089,7
2014,25,8.615,34.093,7.834,9.151,34.048,34.143,7
2014,26,8.217,34.177,7.791,9.18,34.12,34.204,7
2014,27,10.372,33.911,9.418,11.748,33.588,34.053,7
2014,28,12.507,33.526,12.076,12.967,33.279,33.708,7
2014,29,12.099,33.87,11.398,12.425,33.825,33.928,7
2014,30,13.068,33.745,12.415,13.786,33.475,33.929,7
2014,31,13.831,33.348,13.705,14.001,33.219,33.422,7
2014,32,13.789,33.5,13.629,13.934,33.356,33.651,7
2014,33,13.165,33.72,12.08,13.937,33.652,33.777,7
2014,34,9.656,34.127,8.786,11.516,33.833,34.247,7
2014,35,9.9,34.015,8.898,10.964,33.749,34.227,7
2014,36,11.127,33.872,11.024,11.218,33.726,33.988,7
2014,37,10.881,33.992,10.638,10.991,33.969,34.004,7
2014,38,10.314,34.053,9.982,10.568,34.002,34.074,7
2014,39,9.538,34.086,9.345,9.737,34.068,34.111,7
2014,40,9.664,34.044,9.471,9.862,33.993,34.078,7
2014,41,9.306,33.978,8.776,9.842,33.964,33.995,7
2014,42,8.422,33.977,8.247,8.646,33.957,33.993,7
2014,43,8.511,33.867,8.029,8.974,33.77,33.955,7
2014,44,8.89,33.733,8.588,9.18,33.702,33.781,7
2014,45,8.241,33.833,7.947,8.544,33.791,33.869,7
2014,46,7.976,33.87,7.698,8.356,33.851,33.887,7
2014,47,8.197,33.882,7.848,8.354,33.868,33.892,7
2014,48,7.962,33.833,7.638,8.092,33.804,33.865,7
2014,49,7.75,33.778,7.514,7.944,33.768,33.799,7
2014,50,7.507,33.786,7.258,7.772,33.773,33.796,7
2014,51,6.999,33.837,6.75,7.216,33.805,33.87,7
2014,52,6.44,33.936,6.231,6.634,33.879,34.021,7
2015,1,6.547,34.008,6.184,6.834,33.992,34.026,7
2015,2,6.382,34.053,5.843,6.544,34.033,34.072,7
2015,3,5.517,34.066,5.099,5.737,34.052,34.081,7
2015,4,5.607,34.081,5.417,5.779,34.069,34.087,7
2015,5,5.535,34.012,4.876,6.019,33.986,34.059,7
2015,6,4.432,33.96,4.055,4.795,33.898,34.005,7
2015,7,4.332,33.884,3.779,4.783,33.875,33.897,7
2015,8,4.837,33.971,4.654,5.144,33.958,33.999,7
2015,9,4.64,33.993,4.451,5.168,33.97,34.057,7
2015,10,5.153,34.095,4.994,5.57,34.047,34.245,7
2015,11,5.453,34.306,5.229,5.724,34.266,34.404,7
2015,12,5.54,34.426,4.889,5.928,34.359,34.465,7
2015,13,4.6,34.271,4.444,4.779,34.231,34.32,7
2015,14,4.615,34.196,4.505,4.736,34.144,34.256,7
2015,15,4.988,34.249,4.648,5.165,34.179,34.276,7
2015,16,5.484,34.24,5.201,5.696,34.224,34.257,7
2015,17,5.756,34.19,5.658,5.824,34.169,34.22,7
2015,18,5.711,34.148,5.666,5.741,34.132,34.165,7
2015,19,6.186,34.071,5.819,6.657,34.017,34.124,7
2015,20,6.517,34.01,6.29,6.78,33.968,34.04,7
2015,21,7.083,34.01,6.711,7.287,33.974,34.043,7
2015,22,7.439,33.927,7.109,7.755,33.864,33.98,7
2015,23,7.606,33.817,7.446,7.861,33.732,33.858,7
2015,24,8.048,33.609,7.957,8.158,33.572,33.705,7
2015,25,8.748,33.532,8.362,9.416,33.368,33.602,7
2015,26,9.037,33.539,8.735,9.532,33.361,33.607,7
2015,27,9.801,33.542,9.235,10.196,33.529,33.559,7
2015,28,9.202,33.716,8.911,9.933,33.575,33.786,7
2015,29,9.379,33.718,8.937,10.104,33.599,33.799,7
2015,30,10.13,33.558,9.946,10.393,33.543,33.577,7
2015,31,10.46,33.548,9.835,10.882,33.478,33.606,7
2015,32,11.779,33.209,11.009,12.215,33.017,33.439,7
2015,33,12.013,33.425,11.739,12.382,33.292,33.508,7
2015,34,12.453,33.478,12.167,12.832,33.452,33.49,7
2015,35,12.589,33.517,12.235,13.028,33.433,33.594,7
2015,36,11.963,33.435,11.375,12.486,33.411,33.489,7
2015,37,11.163,33.478,11.061,11.264,33.416,33.518,7
