anio,semana,temperatura_media_C,salinidad_media_PSU,temperatura_min_C,temperatura_max_C,salinidad_min_PSU,salinidad_max_PSU,n_dias
2014,1,8.199,33.651,8.134,8.282,33.641,33.662,5
2014,2,8.443,33.635,8.209,8.615,33.62,33.644,7
2014,3,8.738,33.627,8.588,8.867,33.616,33.635,7
2014,4,8.83,33.633,8.738,8.949,33.626,33.64,7
2014,5,8.835,33.632,8.748,9.028,33.629,33.635,7
2014,6,8.999,33.626,8.897,9.099,33.613,33.635,7
2014,7,9.008,33.629,8.888,9.239,33.627,33.63,7
2014,8,9.141,33.613,9.014,9.291,33.606,33.62,7
2014,9,9.243,33.601,9.056,9.402,33.578,33.62,7
2014,10,9.127,33.589,8.874,9.304,33.574,33.6,7
2014,11,8.756,33.595,8.667,8.868,33.588,33.6,7
2014,12,8.573,33.595,8.404,8.701,33.584,33.601,7
2014,13,8.506,33.555,8.451,8.554,33.53,33.589,7
2014,14,8.45,33.577,8.339,8.516,33.571,33.587,7
2014,15,8.454,33.57,8.277,8.582,33.558,33.581,7
2014,16,8.166,33.561,7.94,8.365,33.545,33.576,7
2014,17,8.108,33.545,8.067,8.137,33.534,33.56,7
2014,18,7.926,33.535,7.85,7.99,33.527,33.541,7
2014,19,7.707,33.537,7.666,7.746,33.53,33.545,7
2014,20,7.376,33.539,7.255,7.622,33.529,33.548,7
2014,21,7.182,33.533,7.083,7.25,33.51,33.548,7
2014,22,7.117,33.51,6.989,7.184,33.5,33.524,7
2014,23,6.684,33.515,6.566,6.849,33.51,33.519,7
2014,24,6.624,33.508,6.585,6.681,33.504,33.511,7
2014,25,6.471,33.508,6.38,6.532,33.501,33.514,7
2014,26,6.339,33.506,6.3,6.403,33.498,33.514,7
2014,27,6.191,33.488,6.077,6.336,33.482,33.492,7
2014,28,5.902,33.502,5.874,5.94,33.495,33.508,7
2014,29,5.817,33.492,5.69,5.955,33.485,33.496,7
2014,30,5.365,33.509,5.09,5.668,33.49,33.526,7
2014,31,5.307,33.498,5.135,5.373,33.491,33.516,7
2014,32,5.305,33.493,5.241,5.345,33.487,33.502,7
2014,33,5.181,33.496,5.156,5.222,33.488,33.504,7
2014,34,5.103,33.5,5.062,5.127,33.495,33.502,7
2014,35,5.272,33.482,5.168,5.342,33.467,33.497,7
2014,36,5.447,33.478,5.312,5.554,33.473,33.483,7
2014,37,5.485,33.484,5.397,5.566,33.479,33.491,7
2014,38,5.419,33.497,5.353,5.48,33.488,33.513,7
2014,39,5.519,33.499,5.389,5.649,33.48,33.519,7
2014,40,5.606,33.516,5.41,5.761,33.5,33.528,7
2014,41,5.766,33.511,5.699,5.81,33.502,33.517,7
2014,42,5.89,33.521,5.584,6.332,33.517,33.526,7
2014,43,6.17,33.52,6.028,6.38,33.513,33.527,7
2014,44,6.074,33.529,5.986,6.137,33.511,33.547,7
2014,45,6.275,33.529,6.154,6.422,33.518,33.537,7
2014,46,6.455,33.533,6.34,6.566,33.522,33.542,7
2014,47,6.68,33.542,6.532,6.85,33.534,33.546,7
2014,48,6.892,33.541,6.731,7.04,33.534,33.545,7
2014,49,7.462,33.543,7.083,7.694,33.538,33.55,7
2014,50,7.573,33.551,7.437,7.705,33.545,33.558,7
2014,51,7.845,33.551,7.813,7.885,33.544,33.561,7
2014,52,8.024,33.552,7.825,8.657,33.545,33.564,7
2015,1,9.019,33.551,8.762,9.341,33.538,33.561,7
2015,2,8.792,33.566,8.63,8.919,33.556,33.572,7
2015,3,8.811,33.585,8.724,8.878,33.575,33.604,7
