anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,centro,region,carga_total_piojos,adultos_totales,indice_temporal,cluster,PCA1,PCA2
2014,1,110758,3.8,1.65,1.6,11.579,33.566,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,7.049999999999999,5.449999999999999,1,1,1.72160419096241,-0.5965053991598483
2014,2,110758,2.42,2.38,2.47,12.063,33.586,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,7.27,4.8,2,1,1.5765878683469274,-0.7505561223651952
2014,3,110758,3.78,3.28,4.4,13.511,33.472,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,11.46,7.06,3,1,3.3221928001794763,-0.35316939118800655
2014,4,110758,4.38,3.03,1.1,12.662,33.529,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,8.51,7.41,4,1,2.5698094133587523,-0.13147383617732117
2014,5,110758,6.6,5.45,1.77,12.076,33.591,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,13.82,12.05,5,1,5.229716291590702,-0.04303905783173796
2014,6,110758,0.0,0.03,1.05,11.976,33.598,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,1.08,0.03,6,0,-1.3658784613323962,-0.9899502181680117
2014,7,110758,0.0,0.2,0.45,12.448,33.5,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,0.65,0.2,7,0,-1.4658379827175085,-0.7128362292643691
2014,8,110758,0.08,0.65,0.43,12.719,33.497,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,1.16,0.73,8,0,-1.2055180556291203,-0.6189961539016765
2014,9,110758,0.45,1.92,4.05,12.549,33.575,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,6.42,2.37,9,0,0.7133498646820171,-1.0794927355669857
2014,10,110758,1.85,4.55,2.03,13.129,33.544,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,8.43,6.4,10,1,2.2091477121261267,-0.4018514743542717
2014,11,110758,4.35,3.78,2.7,12.18,33.591,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,10.829999999999998,8.129999999999999,11,1,3.4153239039789005,-0.4694075309618117
2014,12,110758,4.57,3.65,2.88,11.099,33.693,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,11.100000000000001,8.22,12,1,3.5461069943972854,-0.8096584221954423
2014,13,110758,4.0,3.53,2.9,11.077,33.663,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,10.43,7.529999999999999,13,1,3.17783694519469,-0.8634946497247117
2014,14,110758,3.75,2.15,1.45,10.721,33.6,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,7.3500000000000005,5.9,14,1,1.9213648062429094,-0.7923179659180679
2014,15,110758,8.75,4.13,2.4,11.074,33.561,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,15.28,12.879999999999999,15,1,5.954677962878304,-0.1109002156626317
2014,16,110758,8.32,4.28,3.28,10.477,33.613,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,15.88,12.600000000000001,16,1,6.06572930328183,-0.4490217588567413
2014,17,110758,0.0,0.0,2.88,10.667,33.512,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,2.88,0.0,17,0,-0.8109614745703625,-1.43600557706437
2014,18,110758,0.22,0.28,3.3,10.602,33.541,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,3.8,0.5,18,0,-0.4227792265123387,-1.4914582982291158
2014,19,110758,1.42,1.27,2.22,10.49,33.497,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,4.91,2.69,19,0,0.42465626332976814,-1.1615686769371993
