anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,centro,region,carga_total_piojos,adultos_totales,indice_temporal,cluster,PCA1,PCA2
2014,2,32677,0.07,0.37,0.13,7.512,33.872,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,0.5700000000000001,0.44,1,0,-1.0679788332092994,-0.902163005614172
2014,3,32677,0.0,0.25,0.37,6.494,33.896,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,0.62,0.25,2,0,-1.1380969379034167,-1.1275169412921153
2014,4,32677,0.0,0.25,0.28,6.2,33.995,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,0.53,0.25,3,0,-1.2048354843586575,-1.2518003523902117
2014,5,32677,0.02,0.62,0.6,6.0,34.086,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.24,0.64,4,0,-0.8422454059686324,-1.433233414331212
2014,6,32677,0.13,1.08,0.3,6.219,34.031,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.51,1.21,5,0,-0.5742850735643893,-1.3894896027047687
2014,7,32677,0.03,1.46,0.1,6.006,33.993,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.59,1.49,6,0,-0.5512173333768042,-1.4148846061388654
2014,8,32677,0.21,1.15,0.41,5.824,33.972,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.7699999999999998,1.3599999999999999,7,0,-0.39706435439026805,-1.458706553018499
2014,9,32677,0.21,0.95,0.15,5.875,33.908,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.3099999999999998,1.16,8,0,-0.6200120949989708,-1.3553931058683275
2014,10,32677,0.09,0.85,0.38,5.833,33.854,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.3199999999999998,0.94,9,0,-0.6959249421592312,-1.3161050592629806
2014,12,32677,0.28,1.23,0.41,5.715,33.821,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.92,1.51,10,0,-0.2507687010360567,-1.3916065764185175
2014,13,32677,0.0,0.78,0.45,5.995,33.852,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.23,0.78,11,0,-0.7979015896476626,-1.265744141877775
2014,14,32677,0.08,0.56,0.69,6.026,33.854,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.33,0.64,12,0,-0.7297083288686127,-1.2704317794152018
2014,15,32677,0.18,0.72,0.76,6.165,33.754,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.66,0.8999999999999999,13,0,-0.4739176442521014,-1.2091619352157674
2014,16,32677,0.0,0.96,0.28,6.23,33.673,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.24,0.96,14,0,-0.7320198786185818,-1.0920761004619026
2014,17,32677,0.14,1.14,0.11,6.8,33.658,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.39,1.2799999999999998,15,0,-0.533063871163456,-0.9898543192662247
2014,18,32677,0.08,0.69,0.31,6.859,33.697,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.0799999999999998,0.7699999999999999,16,0,-0.7756725295215631,-0.964278064585212
2014,19,32677,0.04,0.57,0.11,7.323,33.717,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,0.72,0.61,17,0,-0.9708972876317618,-0.844849980196472
2014,20,32677,0.19,0.8,0.15,7.77,33.657,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.14,0.99,18,0,-0.6316732144856572,-0.7618470783248272
2014,21,32677,0.14,0.94,0.26,9.277,33.466,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.34,1.08,19,0,-0.47761668168923876,-0.3300700126565577
2014,22,32677,0.12,0.5,0.4,9.932,33.512,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.02,0.62,20,0,-0.6824891126545642,-0.18826470569634185
2014,23,32677,0.08,0.33,0.05,12.13,33.428,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,0.46,0.41000000000000003,21,0,-0.9078074086332487,0.38422934771294104
2014,24,32677,0.06,0.57,0.27,12.638,33.37,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,0.8999999999999999,0.6299999999999999,22,0,-0.6641620326256044,0.4871481023956495
2014,25,32677,0.07,0.63,0.04,11.425,33.332,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,0.74,0.7,23,0,-0.7509012693419073,0.27686018616534486
2014,26,32677,0.31,0.68,0.04,11.029,32.637,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.03,0.99,24,0,-0.3501821707670133,0.6561376198629997
2014,27,32677,0.04,0.56,0.19,12.006,32.303,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,0.79,0.6000000000000001,25,0,-0.5593770073049636,1.141882823836959
2014,28,32677,0.16,1.07,0.16,14.06,32.523,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.39,1.23,26,0,-0.1241046074324899,1.3334008307924832
2014,29,32677,0.27,0.65,0.13,15.54,32.473,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.05,0.92,27,0,-0.21310504892915977,1.7084272480643634
2014,30,32677,0.13,1.17,0.13,17.189,32.521,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1.4299999999999997,1.2999999999999998,28,0,-0.022475075160009014,1.9774828259684694
2014,31,32677,0.33,1.61,0.96,16.487,32.675,Noruega,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,2.9000000000000004,1.9400000000000002,29,0,0.7840578816078275,1.5640579053867882
