anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,centro,region,carga_total_piojos,adultos_totales,indice_temporal,cluster,PCA1,PCA2
2014,1,110758,3.8,1.65,1.6,11.579,33.566,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,7.049999999999999,5.449999999999999,1,1,2.3600781152785486,-0.38435524198582605
2014,2,110758,2.42,2.38,2.47,12.063,33.586,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,7.27,4.8,2,1,2.1925932698713217,-0.45695729476532576
2014,3,110758,3.78,3.28,4.4,13.511,33.472,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,11.46,7.06,3,1,4.2467552621067295,-0.2960236225067004
2014,4,110758,4.38,3.03,1.1,12.662,33.529,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,8.51,7.41,4,1,3.284448064943535,-0.15358968848766813
2014,5,110758,6.6,5.45,1.77,12.076,33.591,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,13.82,12.05,5,1,6.171077145054541,-0.5166058170543456
2014,6,110758,0.0,0.03,1.05,11.976,33.598,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,1.08,0.03,6,0,-1.0717191047375185,-0.22481424975165973
2014,7,110758,0.0,0.2,0.45,12.448,33.5,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,0.65,0.2,7,0,-1.1800126845054855,0.0022948535240823334
2014,8,110758,0.08,0.65,0.43,12.719,33.497,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,1.16,0.73,8,0,-0.8977568421082825,0.036445525443964
2014,9,110758,0.45,1.92,4.05,12.549,33.575,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,6.42,2.37,9,0,1.2920938315019819,-0.5108270269574058
2014,10,110758,1.85,4.55,2.03,13.129,33.544,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,8.43,6.4,10,1,2.8305141887023137,-0.30272505318807935
2014,11,110758,4.35,3.78,2.7,12.18,33.591,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,10.829999999999998,8.129999999999999,11,1,4.220880504232259,-0.5189540599284375
2014,12,110758,4.57,3.65,2.88,11.099,33.693,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,11.100000000000001,8.22,12,1,4.328841024342454,-0.8345510275380739
2014,13,110758,4.0,3.53,2.9,11.077,33.663,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,10.43,7.529999999999999,13,1,3.9191779910169884,-0.8198095089612628
2014,14,110758,3.75,2.15,1.45,10.721,33.6,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,7.3500000000000005,5.9,14,1,2.5212444329738113,-0.6114347890140263
2014,15,110758,8.75,4.13,2.4,11.074,33.561,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,15.28,12.879999999999999,15,1,7.049245272018338,-0.6506023437452795
2014,16,110758,8.32,4.28,3.28,10.477,33.613,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,15.88,12.600000000000001,16,1,7.160783811861062,-0.9258531316639632
2014,17,110758,0.0,0.0,2.88,10.667,33.512,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,2.88,0.0,17,0,-0.43160630778644016,-0.6249022982657404
2014,18,110758,0.22,0.28,3.3,10.602,33.541,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,3.8,0.5,18,0,-0.00019488575824439552,-0.7191421474806262
2014,19,110758,1.42,1.27,2.22,10.49,33.497,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,4.91,2.69,19,0,0.8866121574070093,-0.6421415125831585
2014,20,110758,2.17,2.55,3.3,10.176,33.434,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,8.02,4.72,20,1,2.421778323862752,-0.843238620788834
2014,21,110758,2.67,2.75,3.15,9.772,33.272,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,8.57,5.42,21,1,2.8035195472685164,-0.7938034326543727
2014,22,110758,3.45,3.38,3.63,9.855,33.454,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,10.46,6.83,22,1,3.7722917122209916,-0.9941312474431604
2014,23,110758,3.72,3.92,4.68,9.49,33.26,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,12.32,7.640000000000001,23,1,4.625186910520739,-1.0617565942752634
2014,24,110758,2.5,4.2,4.6,9.522,33.389,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,11.3,6.7,24,1,3.959655379721822,-1.184532329315365
2014,25,110758,2.1,5.4,7.2,9.481,33.313,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,14.7,7.5,25,1,5.284135979422172,-1.4883691823278555
2015,14,110758,1.35,2.67,2.2,12.027,33.416,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,6.22,4.02,26,0,1.5979478050418945,-0.3423540023680515
2015,15,110758,1.15,2.83,1.23,12.147,33.329,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,5.21,3.98,27,0,1.2196345471798744,-0.16319065063464033
2015,16,110758,1.35,2.22,1.08,12.157,33.23,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,4.65,3.5700000000000003,28,0,0.9854647500723295,-0.026177243285416218
2015,17,110758,1.42,2.63,1.55,11.661,33.297,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,5.6,4.05,29,0,1.3983519673758749,-0.2577343764100517
2015,18,110758,2.53,3.35,4.93,11.74,33.233,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,10.809999999999999,5.88,30,1,3.700808298408254,-0.5695581584644099
2015,19,110758,4.9,5.5,4.03,11.121,33.285,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,14.43,10.4,31,1,5.975063165161632,-0.7495082436354116
2015,20,110758,2.85,5.8,5.88,11.258,33.227,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,14.530000000000001,8.65,32,1,5.521684443631443,-0.9203720733607054
2015,21,110758,9.2,7.07,4.88,11.119,33.295,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,21.15,16.27,33,1,9.80188235100099,-0.8766572103188822
2015,22,110758,9.5,7.85,5.8,10.693,33.251,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,23.150000000000002,17.35,34,1,10.731136104755931,-1.074589589694531
2015,23,110758,0.03,0.0,0.1,10.609,33.183,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,0.13,0.03,35,0,-1.371129700038194,-0.09585285165322308
2015,24,110758,0.1,0.03,0.98,10.318,33.134,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,1.1099999999999999,0.13,36,0,-0.9909590367576,-0.21191798573990048
2015,25,110758,0.57,0.4,0.65,10.018,33.189,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,1.62,0.97,37,0,-0.6323468368197441,-0.3004953752394007
2015,26,110758,0.7,0.85,1.0,9.764,33.188,Chile,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024,Aysén,2.55,1.5499999999999998,38,0,-0.19190652354088453,-0.417258060736966
