anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,centro,region,indice_temporal
2014,1,110758,3.8,1.65,1.6,11.579,33.566,Chile,Verano,7.049999999999999,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,1
2014,2,110758,2.42,2.38,2.47,12.063,33.586,Chile,Verano,7.27,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,2
2014,3,110758,3.78,3.28,4.4,13.511,33.472,Chile,Verano,11.46,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,3
2014,4,110758,4.38,3.03,1.1,12.662,33.529,Chile,Verano,8.51,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,4
2014,5,110758,6.6,5.45,1.77,12.076,33.591,Chile,Verano,13.82,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,5
2014,6,110758,0.0,0.03,1.05,11.976,33.598,Chile,Verano,1.08,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,6
2014,7,110758,0.0,0.2,0.45,12.448,33.5,Chile,Verano,0.65,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,7
2014,8,110758,0.08,0.65,0.43,12.719,33.497,Chile,Verano,1.16,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,8
2014,9,110758,0.45,1.92,4.05,12.549,33.575,Chile,Verano,6.42,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,9
2014,10,110758,1.85,4.55,2.03,13.129,33.544,Chile,Verano,8.43,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,10
2014,11,110758,4.35,3.78,2.7,12.18,33.591,Chile,Verano,10.829999999999998,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,11
2014,12,110758,4.57,3.65,2.88,11.099,33.693,Chile,Verano,11.1,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,12
2014,13,110758,4.0,3.53,2.9,11.077,33.663,Chile,Verano,10.43,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,13
2014,14,110758,3.75,2.15,1.45,10.721,33.6,Chile,Otoño,7.35,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,14
2014,15,110758,8.75,4.13,2.4,11.074,33.561,Chile,Otoño,15.28,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,15
