anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,centro,region,indice_temporal
2014,1,32677,,,,7.605,33.851,Noruega,Invierno,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,1
2014,2,32677,0.07,0.37,0.13,7.512,33.872,Noruega,Invierno,0.5700000000000001,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,2
2014,3,32677,0.0,0.25,0.37,6.494,33.896,Noruega,Invierno,0.62,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,3
2014,4,32677,0.0,0.25,0.28,6.2,33.995,Noruega,Invierno,0.53,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,4
2014,5,32677,0.02,0.62,0.6,6.0,34.086,Noruega,Invierno,1.24,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,5
2014,6,32677,0.13,1.08,0.3,6.219,34.031,Noruega,Invierno,1.51,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,6
2014,7,32677,0.03,1.46,0.1,6.006,33.993,Noruega,Invierno,1.59,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,7
2014,8,32677,0.21,1.15,0.41,5.824,33.972,Noruega,Invierno,1.7699999999999998,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,8
2014,9,32677,0.21,0.95,0.15,5.875,33.908,Noruega,Invierno,1.3099999999999998,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,9
2014,10,32677,0.09,0.85,0.38,5.833,33.854,Noruega,Invierno,1.3199999999999998,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,10
2014,11,32677,,,,5.871,33.806,Noruega,Invierno,,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,11
2014,12,32677,0.28,1.23,0.41,5.715,33.821,Noruega,Invierno,1.92,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,12
2014,13,32677,0.0,0.78,0.45,5.995,33.852,Noruega,Invierno,1.23,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,13
2014,14,32677,0.08,0.56,0.69,6.026,33.854,Noruega,Primavera,1.33,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,14
2014,15,32677,0.18,0.72,0.76,6.165,33.754,Noruega,Primavera,1.66,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,15
2014,16,32677,0.0,0.96,0.28,6.23,33.673,Noruega,Primavera,1.24,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,16
2014,17,32677,0.14,1.14,0.11,6.8,33.658,Noruega,Primavera,1.39,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,17
2014,18,32677,0.08,0.69,0.31,6.859,33.697,Noruega,Primavera,1.0799999999999998,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,18
2014,19,32677,0.04,0.57,0.11,7.323,33.717,Noruega,Primavera,0.72,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,19
2014,20,32677,0.19,0.8,0.15,7.77,33.657,Noruega,Primavera,1.14,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,20
2014,21,32677,0.14,0.94,0.26,9.277,33.466,Noruega,Primavera,1.34,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,21
2014,22,32677,0.12,0.5,0.4,9.932,33.512,Noruega,Primavera,1.02,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,22
2014,23,32677,0.08,0.33,0.05,12.13,33.428,Noruega,Primavera,0.46,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,23
2014,24,32677,0.06,0.57,0.27,12.638,33.37,Noruega,Primavera,0.8999999999999999,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,24
2014,25,32677,0.07,0.63,0.04,11.425,33.332,Noruega,Primavera,0.74,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,25
2014,26,32677,0.31,0.68,0.04,11.029,32.637,Noruega,Primavera,1.03,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,26
2014,27,32677,0.04,0.56,0.19,12.006,32.303,Noruega,Verano,0.79,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,27
2014,28,32677,0.16,1.07,0.16,14.06,32.523,Noruega,Verano,1.39,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,28
2014,29,32677,0.27,0.65,0.13,15.54,32.473,Noruega,Verano,1.05,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,29
2014,30,32677,0.13,1.17,0.13,17.189,32.521,Noruega,Verano,1.4299999999999995,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,30
2014,31,32677,0.33,1.61,0.96,16.487,32.675,Noruega,Verano,2.9000000000000004,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,31
2014,32,32677,0.51,6.25,2.41,16.314,32.905,Noruega,Verano,9.17,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,32
2014,33,32677,0.02,0.46,0.27,15.637,32.905,Noruega,Verano,0.75,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,33
2014,34,32677,0.11,0.59,0.06,14.377,33.009,Noruega,Verano,0.76,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,34
2014,35,32677,0.36,1.77,0.22,14.329,33.037,Noruega,Verano,2.35,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,35
