anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,centro,region,indice_temporal,cluster_original,cluster,PCA1,PCA2,tiempo_decimal
2014,1,110758,3.8,1.65,1.6,11.579,33.566,Chile,Verano,7.049999999999999,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,1,0,0,1.2358153337864082,-0.6052940072745584,2014.0
2014,2,110758,2.42,2.38,2.47,12.063,33.586,Chile,Verano,7.27,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,2,1,1,1.153083218503292,-0.7284860147247625,2014.0188679245282
2014,3,110758,3.78,3.28,4.4,13.511,33.472,Chile,Verano,11.46,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,3,0,0,2.4457793478777106,-0.24258736569684242,2014.0377358490566
2014,4,110758,4.38,3.03,1.1,12.662,33.529,Chile,Verano,8.51,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,4,0,0,1.742666143248967,-0.1645248902403307,2014.0566037735848
2014,5,110758,6.6,5.45,1.77,12.076,33.591,Chile,Verano,13.82,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,5,0,0,3.626329061800596,-0.038233052216054726,2014.0754716981132
2014,6,110758,0.0,0.03,1.05,11.976,33.598,Chile,Verano,1.08,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,6,1,1,-0.9595099298597985,-1.0396772128014964,2014.0943396226414
2014,7,110758,0.0,0.2,0.45,12.448,33.5,Chile,Verano,0.65,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,7,1,1,-1.0841992905321518,-0.7877981031113291,2014.1132075471698
2014,8,110758,0.08,0.65,0.43,12.719,33.497,Chile,Verano,1.16,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,8,1,1,-0.9195773816592138,-0.6958162865377746,2014.132075471698
2014,9,110758,0.45,1.92,4.05,12.549,33.575,Chile,Verano,6.42,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,9,1,1,0.6334711671201002,-0.9955185692711768,2014.1509433962265
2014,10,110758,1.85,4.55,2.03,13.129,33.544,Chile,Verano,8.43,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,10,0,0,1.4905467793558707,-0.40518501798580514,2014.1698113207547
2014,11,110758,4.35,3.78,2.7,12.18,33.591,Chile,Verano,10.829999999999998,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,11,0,0,2.433693515160261,-0.4312089246914305,2014.188679245283
2014,12,110758,4.57,3.65,2.88,11.099,33.693,Chile,Verano,11.1,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,12,0,0,2.5708117937431574,-0.7614466892329427,2014.2075471698113
2014,13,110758,4.0,3.53,2.9,11.077,33.663,Chile,Verano,10.43,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,13,0,0,2.3141033233231796,-0.8150658388218064,2014.2264150943397
2014,14,110758,3.75,2.15,1.45,10.721,33.6,Chile,Otoño,7.35,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,14,0,0,1.379600827237806,-0.8052326611052139,2014.245283018868
2014,15,110758,8.75,4.13,2.4,11.074,33.561,Chile,Otoño,15.28,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,15,0,0,4.24077944123532,-0.06418643161536342,2014.2641509433963
2014,16,110758,8.32,4.28,3.28,10.477,33.613,Chile,Otoño,15.88,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,16,0,0,4.385381577822097,-0.363642916076849,2014.2830188679245
2014,17,110758,0.0,0.0,2.88,10.667,33.512,Chile,Otoño,2.88,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,17,1,1,-0.4183021141249495,-1.3940808988378446,2014.301886792453
2014,18,110758,0.22,0.28,3.3,10.602,33.541,Chile,Otoño,3.8,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,18,1,1,-0.12266012310424236,-1.4308487739665146,2014.3207547169811
2014,19,110758,1.42,1.27,2.22,10.49,33.497,Chile,Otoño,4.91,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,19,1,1,0.3917951456769482,-1.142869171469015,2014.3396226415093
2014,20,110758,2.17,2.55,3.3,10.176,33.434,Chile,Otoño,8.02,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,20,0,0,1.4188422432311893,-1.095239681183091,2014.3584905660377
2014,21,110758,2.67,2.75,3.15,9.772,33.272,Chile,Otoño,8.57,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,21,0,0,1.6598354777896909,-0.9498326400635235,2014.377358490566
2014,22,110758,3.45,3.38,3.63,9.855,33.454,Chile,Otoño,10.46,cargas_parasitarias_chile_110758_piojos_temp_sal_2014_2024_con_estacion_y_totales,Aysén,22,0,0,2.3002198685370936,-1.0206166578536708,2014.3962264150944
