anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,centro,region,indice_temporal,cluster_original,cluster,PCA1,PCA2,tiempo_decimal
2014,2,32677,0.07,0.37,0.13,7.512,33.872,Noruega,Invierno,0.5700000000000001,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,2,2,2,-1.1256282019864183,-0.5818631804315767,2014.0188679245282
2014,3,32677,0.0,0.25,0.37,6.494,33.896,Noruega,Invierno,0.62,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,3,2,2,-1.2392452049122795,-0.7871424695182655,2014.0377358490566
2014,4,32677,0.0,0.25,0.28,6.2,33.995,Noruega,Invierno,0.53,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,4,2,2,-1.345229031442682,-0.8797780253105286,2014.0566037735848
2014,5,32677,0.02,0.62,0.6,6.0,34.086,Noruega,Invierno,1.24,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,5,2,2,-1.1625115949806302,-1.1210618406892892,2014.0754716981132
2014,6,32677,0.13,1.08,0.3,6.219,34.031,Noruega,Invierno,1.51,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,6,2,2,-1.0046086689523224,-1.1087780019465787,2014.0943396226414
2014,7,32677,0.03,1.46,0.1,6.006,33.993,Noruega,Invierno,1.59,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,7,2,2,-1.0790550706053856,-1.0832526806184148,2014.1132075471698
2014,8,32677,0.21,1.15,0.41,5.824,33.972,Noruega,Invierno,1.7699999999999998,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,8,2,2,-0.8783424225192845,-1.2292563790634714,2014.132075471698
2014,9,32677,0.21,0.95,0.15,5.875,33.908,Noruega,Invierno,1.3099999999999998,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,9,2,2,-0.9991908489759299,-1.085274286574077,2014.1509433962265
2014,10,32677,0.09,0.85,0.38,5.833,33.854,Noruega,Invierno,1.3199999999999998,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,10,2,2,-1.0325355138576782,-1.0344464146754908,2014.1698113207547
2014,12,32677,0.28,1.23,0.41,5.715,33.821,Noruega,Invierno,1.92,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,12,2,2,-0.7338806624001769,-1.210084720782248,2014.2075471698113
2014,13,32677,0.0,0.78,0.45,5.995,33.852,Noruega,Invierno,1.23,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,13,2,2,-1.0942888569532263,-0.9591671363207335,2014.2264150943397
2014,14,32677,0.08,0.56,0.69,6.026,33.854,Noruega,Primavera,1.33,barentswatch_32677_piojos_temp_sal_2014_2024,Centro,14,2,2,-0.9821180055070715,-1.021640773675649,2014.245283018868
