anio_chile,semana_chile,anio_noruega,semana_noruega,temperatura_chile_C,temperatura_noruega_C,dif_temperatura_C,salinidad_chile_PSU,salinidad_noruega_PSU,dif_salinidad_PSU,comparabilidad_temperatura,comparabilidad_salinidad,comparabilidad_general
2014,1,2014,27,14.942,9.932,5.01,33.137,33.317,0.18,No comparable,Muy similar,No comparable / revisar
2014,2,2014,28,15.428,12.774,2.654,33.182,32.679,0.503,Muy similar,Muy similar,Comparable
2014,3,2014,29,16.371,15.229,1.142,33.24,32.441,0.799,Muy similar,Muy similar,Comparable
2014,4,2014,30,15.815,17.774,1.959,33.238,32.034,1.204,Muy similar,Muy similar,Comparable
2014,5,2014,31,15.504,18.677,3.173,33.246,31.748,1.498,Diferente,Muy similar,No comparable / revisar
2014,6,2014,32,15.325,18.308,2.983,33.251,31.266,1.985,Muy similar,Muy similar,Comparable
2014,7,2014,33,15.613,16.647,1.034,33.28,31.412,1.868,Muy similar,Muy similar,Comparable
2014,8,2014,34,15.911,14.938,0.973,33.321,31.923,1.398,Muy similar,Muy similar,Comparable
2014,9,2014,35,15.515,14.54,0.975,33.396,32.042,1.354,Muy similar,Muy similar,Comparable
2014,10,2014,36,15.511,15.417,0.094,33.424,31.042,2.382,Muy similar,Muy similar,Comparable
2014,11,2014,37,14.904,15.592,0.688,33.427,30.679,2.748,Muy similar,Muy similar,Comparable
2014,12,2014,38,14.462,15.746,1.284,33.454,30.893,2.561,Muy similar,Muy similar,Comparable
2014,13,2014,39,14.181,14.775,0.594,33.484,31.423,2.061,Muy similar,Muy similar,Comparable
2014,14,2014,40,13.765,14.221,0.456,33.509,31.857,1.652,Muy similar,Muy similar,Comparable
2014,15,2014,41,13.538,13.689,0.151,33.513,32.296,1.217,Muy similar,Muy similar,Comparable
2014,16,2014,42,13.088,13.174,0.086,33.504,32.571,0.933,Muy similar,Muy similar,Comparable
2014,17,2014,43,12.885,13.288,0.403,33.499,32.715,0.784,Muy similar,Muy similar,Comparable
2014,18,2014,44,12.524,12.715,0.191,33.491,32.738,0.753,Muy similar,Muy similar,Comparable
2014,19,2014,45,12.172,12.208,0.036,33.434,32.401,1.033,Muy similar,Muy similar,Comparable
2014,20,2014,46,11.927,11.669,0.258,33.423,32.034,1.389,Muy similar,Muy similar,Comparable
2014,21,2014,47,11.676,11.267,0.409,33.383,32.094,1.289,Muy similar,Muy similar,Comparable
2014,22,2014,48,11.44,10.714,0.726,33.417,32.457,0.96,Muy similar,Muy similar,Comparable
2014,23,2014,49,10.908,10.164,0.744,33.157,32.756,0.401,Muy similar,Muy similar,Comparable
2014,24,2014,50,10.741,9.641,1.1,33.188,32.879,0.309,Muy similar,Muy similar,Comparable
