anio_chile,semana_chile,anio_noruega,semana_noruega,temperatura_chile_C,temperatura_noruega_C,dif_temperatura_C,salinidad_chile_PSU,salinidad_noruega_PSU,dif_salinidad_PSU,comparabilidad_temperatura,comparabilidad_salinidad,comparabilidad_general
2014,1,2014,27,11.579,12.006,0.427,33.566,32.303,1.263,Muy similar,Muy similar,Comparable
2014,2,2014,28,12.063,14.06,1.997,33.586,32.523,1.063,Muy similar,Muy similar,Comparable
2014,3,2014,29,13.511,15.54,2.029,33.472,32.473,0.999,Muy similar,Muy similar,Comparable
2014,4,2014,30,12.662,17.189,4.527,33.529,32.521,1.008,Diferente,Muy similar,No comparable / revisar
2014,5,2014,31,12.076,16.487,4.411,33.591,32.675,0.916,Diferente,Muy similar,No comparable / revisar
2014,6,2014,32,11.976,16.314,4.338,33.598,32.905,0.693,Diferente,Muy similar,No comparable / revisar
2014,7,2014,33,12.448,15.637,3.189,33.5,32.905,0.595,Diferente,Muy similar,No comparable / revisar
2014,8,2014,34,12.719,14.377,1.658,33.497,33.009,0.488,Muy similar,Muy similar,Comparable
2014,9,2014,35,12.549,14.329,1.78,33.575,33.037,0.538,Muy similar,Muy similar,Comparable
2014,10,2014,36,13.129,14.114,0.985,33.544,32.963,0.581,Muy similar,Muy similar,Comparable
2014,11,2014,37,12.18,14.083,1.903,33.591,32.879,0.712,Muy similar,Muy similar,Comparable
2014,12,2014,38,11.099,14.107,3.008,33.693,32.775,0.918,Diferente,Muy similar,No comparable / revisar
2014,13,2014,39,11.077,13.462,2.385,33.663,32.66,1.003,Muy similar,Muy similar,Comparable
2014,14,2014,40,10.721,12.801,2.08,33.6,32.644,0.956,Muy similar,Muy similar,Comparable
2014,15,2014,41,11.074,12.268,1.194,33.561,32.671,0.89,Muy similar,Muy similar,Comparable
2014,16,2014,42,10.477,11.708,1.231,33.613,32.643,0.97,Muy similar,Muy similar,Comparable
2014,17,2014,43,10.667,11.794,1.127,33.512,32.726,0.786,Muy similar,Muy similar,Comparable
2014,18,2014,44,10.602,11.593,0.991,33.541,32.76,0.781,Muy similar,Muy similar,Comparable
2014,19,2014,45,10.49,10.938,0.448,33.497,32.865,0.632,Muy similar,Muy similar,Comparable
2014,20,2014,46,10.176,10.488,0.312,33.434,32.983,0.451,Muy similar,Muy similar,Comparable
2014,21,2014,47,9.772,10.153,0.381,33.272,33.092,0.18,Muy similar,Muy similar,Comparable
2014,22,2014,48,9.855,10.045,0.19,33.454,33.196,0.258,Muy similar,Muy similar,Comparable
2014,23,2014,49,9.49,9.894,0.404,33.26,33.203,0.057,Muy similar,Muy similar,Comparable
2014,24,2014,50,9.522,9.317,0.205,33.389,33.131,0.258,Muy similar,Muy similar,Comparable
2014,25,2014,51,9.481,8.607,0.874,33.313,33.236,0.077,Muy similar,Muy similar,Comparable
2014,26,2014,52,9.645,7.707,1.938,33.362,33.266,0.096,Muy similar,Muy similar,Comparable
2014,27,2015,1,9.64,7.634,2.006,33.416,33.597,0.181,Muy similar,Muy similar,Comparable
2014,28,2015,2,9.2,7.609,1.591,33.293,33.987,0.694,Muy similar,Muy similar,Comparable
2014,29,2015,3,9.243,7.194,2.049,33.293,34.072,0.779,Muy similar,Muy similar,Comparable
2014,30,2015,4,9.017,6.714,2.303,33.274,34.136,0.862,Muy similar,Muy similar,Comparable
2014,31,2015,5,9.01,6.787,2.223,33.268,34.174,0.906,Muy similar,Muy similar,Comparable
2014,32,2015,6,9.218,6.448,2.77,33.316,34.222,0.906,Muy similar,Muy similar,Comparable
2014,33,2015,7,9.041,6.821,2.22,33.291,34.253,0.962,Muy similar,Muy similar,Comparable
2014,34,2015,8,9.254,6.78,2.474,33.214,34.143,0.929,Muy similar,Muy similar,Comparable
2014,35,2015,9,9.49,6.751,2.739,33.147,34.136,0.989,Muy similar,Muy similar,Comparable
2014,36,2015,10,9.829,6.92,2.909,33.169,34.173,1.004,Muy similar,Muy similar,Comparable
2014,37,2015,11,9.746,6.73,3.016,33.192,34.063,0.871,Diferente,Muy similar,No comparable / revisar
2014,38,2015,12,9.694,6.724,2.97,33.161,34.058,0.897,Muy similar,Muy similar,Comparable
2014,39,2015,13,9.644,6.515,3.129,33.144,34.043,0.899,Diferente,Muy similar,No comparable / revisar
2014,40,2015,14,10.028,6.516,3.512,32.973,34.061,1.088,Diferente,Muy similar,No comparable / revisar
