centro_chile,region_chile,centro_noruega,region_noruega,anio_chile,semana_chile,anio_noruega,semana_noruega,semana_noruega_equivalente,anio_noruega_equivalente,temperatura_chile_C,temperatura_noruega_C,dif_temperatura_C,salinidad_chile_PSU,salinidad_noruega_PSU,dif_salinidad_PSU,comparabilidad_temperatura,comparabilidad_salinidad,comparabilidad_general
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,1,2014,27,27,2014,14.942,10.372,4.57,33.137,33.911,0.774,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,32677_Semanal_2014_2024,Centro,2014,1,2014,27,27,2014,14.942,12.006,2.936,33.137,32.303,0.834,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,33077_Semanal_2014_2024,Sur/Oeste,2014,1,2014,27,27,2014,14.942,9.932,5.01,33.137,33.317,0.18,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,2,2014,28,28,2014,15.428,12.507,2.921,33.182,33.526,0.344,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,32677_Semanal_2014_2024,Centro,2014,2,2014,28,28,2014,15.428,14.06,1.368,33.182,32.523,0.659,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,33077_Semanal_2014_2024,Sur/Oeste,2014,2,2014,28,28,2014,15.428,12.774,2.654,33.182,32.679,0.503,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,3,2014,29,29,2014,16.371,12.099,4.272,33.24,33.87,0.63,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,32677_Semanal_2014_2024,Centro,2014,3,2014,29,29,2014,16.371,15.54,0.831,33.24,32.473,0.767,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,33077_Semanal_2014_2024,Sur/Oeste,2014,3,2014,29,29,2014,16.371,15.229,1.142,33.24,32.441,0.799,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,4,2014,30,30,2014,15.815,13.068,2.747,33.238,33.745,0.507,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,32677_Semanal_2014_2024,Centro,2014,4,2014,30,30,2014,15.815,17.189,1.374,33.238,32.521,0.717,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,33077_Semanal_2014_2024,Sur/Oeste,2014,4,2014,30,30,2014,15.815,17.774,1.959,33.238,32.034,1.204,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,5,2014,31,31,2014,15.504,13.831,1.673,33.246,33.348,0.102,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,32677_Semanal_2014_2024,Centro,2014,5,2014,31,31,2014,15.504,16.487,0.983,33.246,32.675,0.571,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,33077_Semanal_2014_2024,Sur/Oeste,2014,5,2014,31,31,2014,15.504,18.677,3.173,33.246,31.748,1.498,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,6,2014,32,32,2014,15.325,13.789,1.536,33.251,33.5,0.249,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,32677_Semanal_2014_2024,Centro,2014,6,2014,32,32,2014,15.325,16.314,0.989,33.251,32.905,0.346,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,33077_Semanal_2014_2024,Sur/Oeste,2014,6,2014,32,32,2014,15.325,18.308,2.983,33.251,31.266,1.985,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,7,2014,33,33,2014,15.613,13.165,2.448,33.28,33.72,0.44,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,32677_Semanal_2014_2024,Centro,2014,7,2014,33,33,2014,15.613,15.637,0.024,33.28,32.905,0.375,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,33077_Semanal_2014_2024,Sur/Oeste,2014,7,2014,33,33,2014,15.613,16.647,1.034,33.28,31.412,1.868,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,8,2014,34,34,2014,15.911,9.656,6.255,33.321,34.127,0.806,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,32677_Semanal_2014_2024,Centro,2014,8,2014,34,34,2014,15.911,14.377,1.534,33.321,33.009,0.312,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,33077_Semanal_2014_2024,Sur/Oeste,2014,8,2014,34,34,2014,15.911,14.938,0.973,33.321,31.923,1.398,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,9,2014,35,35,2014,15.515,9.9,5.615,33.396,34.015,0.619,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,32677_Semanal_2014_2024,Centro,2014,9,2014,35,35,2014,15.515,14.329,1.186,33.396,33.037,0.359,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,33077_Semanal_2014_2024,Sur/Oeste,2014,9,2014,35,35,2014,15.515,14.54,0.975,33.396,32.042,1.354,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,10,2014,36,36,2014,15.511,11.127,4.384,33.424,33.872,0.448,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,32677_Semanal_2014_2024,Centro,2014,10,2014,36,36,2014,15.511,14.114,1.397,33.424,32.963,0.461,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,33077_Semanal_2014_2024,Sur/Oeste,2014,10,2014,36,36,2014,15.511,15.417,0.094,33.424,31.042,2.382,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,11,2014,37,37,2014,14.904,10.881,4.023,33.427,33.992,0.565,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,32677_Semanal_2014_2024,Centro,2014,11,2014,37,37,2014,14.904,14.083,0.821,33.427,32.879,0.548,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,33077_Semanal_2014_2024,Sur/Oeste,2014,11,2014,37,37,2014,14.904,15.592,0.688,33.427,30.679,2.748,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,12,2014,38,38,2014,14.462,10.314,4.148,33.454,34.053,0.599,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,32677_Semanal_2014_2024,Centro,2014,12,2014,38,38,2014,14.462,14.107,0.355,33.454,32.775,0.679,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,33077_Semanal_2014_2024,Sur/Oeste,2014,12,2014,38,38,2014,14.462,15.746,1.284,33.454,30.893,2.561,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,13,2014,39,39,2014,14.181,9.538,4.643,33.484,34.086,0.602,Diferente,Muy similar,No comparable / revisar
