centro_chile,region_chile,centro_noruega,region_noruega,anio_chile,semana_chile,anio_noruega,semana_noruega,semana_noruega_equivalente,anio_noruega_equivalente,temperatura_chile_C,temperatura_noruega_C,dif_temperatura_C,salinidad_chile_PSU,salinidad_noruega_PSU,dif_salinidad_PSU,comparabilidad_temperatura,comparabilidad_salinidad,comparabilidad_general
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,1,2014,27,27,2014,14.942,10.372,4.57,33.137,33.911,0.774,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,2,2014,28,28,2014,15.428,12.507,2.921,33.182,33.526,0.344,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,3,2014,29,29,2014,16.371,12.099,4.272,33.24,33.87,0.63,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,4,2014,30,30,2014,15.815,13.068,2.747,33.238,33.745,0.507,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,5,2014,31,31,2014,15.504,13.831,1.673,33.246,33.348,0.102,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,6,2014,32,32,2014,15.325,13.789,1.536,33.251,33.5,0.249,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,7,2014,33,33,2014,15.613,13.165,2.448,33.28,33.72,0.44,Muy similar,Muy similar,Comparable
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,8,2014,34,34,2014,15.911,9.656,6.255,33.321,34.127,0.806,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,9,2014,35,35,2014,15.515,9.9,5.615,33.396,34.015,0.619,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,10,2014,36,36,2014,15.511,11.127,4.384,33.424,33.872,0.448,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,11,2014,37,37,2014,14.904,10.881,4.023,33.427,33.992,0.565,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,12,2014,38,38,2014,14.462,10.314,4.148,33.454,34.053,0.599,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,13,2014,39,39,2014,14.181,9.538,4.643,33.484,34.086,0.602,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,14,2014,40,40,2014,13.765,9.664,4.101,33.509,34.044,0.535,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,15,2014,41,41,2014,13.538,9.306,4.232,33.513,33.978,0.465,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,16,2014,42,42,2014,13.088,8.422,4.666,33.504,33.977,0.473,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,17,2014,43,43,2014,12.885,8.511,4.374,33.499,33.867,0.368,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,18,2014,44,44,2014,12.524,8.89,3.634,33.491,33.733,0.242,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,19,2014,45,45,2014,12.172,8.241,3.931,33.434,33.833,0.399,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,20,2014,46,46,2014,11.927,7.976,3.951,33.423,33.87,0.447,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,21,2014,47,47,2014,11.676,8.197,3.479,33.383,33.882,0.499,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,22,2014,48,48,2014,11.44,7.962,3.478,33.417,33.833,0.416,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,23,2014,49,49,2014,10.908,7.75,3.158,33.157,33.778,0.621,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,24,2014,50,50,2014,10.741,7.507,3.234,33.188,33.786,0.598,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,25,2014,51,51,2014,10.477,6.999,3.478,32.921,33.837,0.916,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,26,2014,52,52,2014,10.429,6.44,3.989,32.868,33.936,1.068,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,27,2015,1,1,2015,10.27,6.547,3.723,32.78,34.008,1.228,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,28,2015,2,2,2015,9.976,6.382,3.594,32.515,34.053,1.538,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,29,2015,3,3,2015,10.005,5.517,4.488,32.471,34.066,1.595,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,30,2015,4,4,2015,9.84,5.607,4.233,32.523,34.081,1.558,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,31,2015,5,5,2015,9.911,5.535,4.376,32.711,34.012,1.301,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,32,2015,6,6,2015,9.987,4.432,5.555,32.773,33.96,1.187,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,33,2015,7,7,2015,9.845,4.332,5.513,32.676,33.884,1.208,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,34,2015,8,8,2015,10.159,4.837,5.322,32.705,33.971,1.266,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,35,2015,9,9,2015,10.457,4.64,5.817,32.58,33.993,1.413,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,36,2015,10,10,2015,10.735,5.153,5.582,32.598,34.095,1.497,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,37,2015,11,11,2015,10.796,5.453,5.343,32.532,34.306,1.774,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,38,2015,12,12,2015,10.939,5.54,5.399,32.406,34.426,2.02,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,39,2015,13,13,2015,10.86,4.6,6.26,32.412,34.271,1.859,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,40,2015,14,14,2015,11.246,4.615,6.631,32.304,34.196,1.892,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,41,2015,15,15,2015,11.428,4.988,6.44,32.495,34.249,1.754,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,42,2015,16,16,2015,11.579,5.484,6.095,32.658,34.24,1.582,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,43,2015,17,17,2015,12.018,5.756,6.262,32.596,34.19,1.594,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,44,2015,18,18,2015,12.214,5.711,6.503,32.649,34.148,1.499,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,45,2015,19,19,2015,12.218,6.186,6.032,32.711,34.071,1.36,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,46,2015,20,20,2015,12.745,6.517,6.228,32.775,34.01,1.235,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,47,2015,21,21,2015,13.507,7.083,6.424,32.812,34.01,1.198,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,48,2015,22,22,2015,13.962,7.439,6.523,32.854,33.927,1.073,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,49,2015,23,23,2015,14.845,7.606,7.239,32.901,33.817,0.916,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,50,2015,24,24,2015,14.863,8.048,6.815,32.994,33.609,0.615,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,51,2015,25,25,2015,14.669,8.748,5.921,33.122,33.532,0.41,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2014,52,2015,26,26,2015,14.237,9.037,5.2,33.121,33.539,0.418,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2015,1,2015,27,27,2015,14.511,9.801,4.71,33.083,33.542,0.459,Diferente,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2015,2,2015,28,28,2015,14.717,9.202,5.515,33.141,33.716,0.575,No comparable,Muy similar,No comparable / revisar
102424_Semanal_2014_2024,Los Lagos,24175_Semanal_2014_2024,Norte,2015,3,2015,29,29,2015,14.721,9.379,5.342,33.168,33.718,0.55,No comparable,Muy similar,No comparable / revisar
