centro_chile,region_chile,centro_noruega,region_noruega,anio_chile,semana_chile,anio_noruega,semana_noruega,semana_noruega_equivalente,anio_noruega_equivalente,temperatura_chile_C,temperatura_noruega_C,dif_temperatura_C,salinidad_chile_PSU,salinidad_noruega_PSU,dif_salinidad_PSU,comparabilidad_temperatura,comparabilidad_salinidad,comparabilidad_general
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,1,2014,27,27,2014,11.579,9.932,1.647,33.566,33.317,0.249,Muy similar,Muy similar,Comparable
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,2,2014,28,28,2014,12.063,12.774,0.711,33.586,32.679,0.907,Muy similar,Muy similar,Comparable
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,3,2014,29,29,2014,13.511,15.229,1.718,33.472,32.441,1.031,Muy similar,Muy similar,Comparable
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,4,2014,30,30,2014,12.662,17.774,5.112,33.529,32.034,1.495,No comparable,Muy similar,No comparable / revisar
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,5,2014,31,31,2014,12.076,18.677,6.601,33.591,31.748,1.843,No comparable,Muy similar,No comparable / revisar
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,6,2014,32,32,2014,11.976,18.308,6.332,33.598,31.266,2.332,No comparable,Muy similar,No comparable / revisar
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,7,2014,33,33,2014,12.448,16.647,4.199,33.5,31.412,2.088,Diferente,Muy similar,No comparable / revisar
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,8,2014,34,34,2014,12.719,14.938,2.219,33.497,31.923,1.574,Muy similar,Muy similar,Comparable
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,9,2014,35,35,2014,12.549,14.54,1.991,33.575,32.042,1.533,Muy similar,Muy similar,Comparable
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,10,2014,36,36,2014,13.129,15.417,2.288,33.544,31.042,2.502,Muy similar,Muy similar,Comparable
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,11,2014,37,37,2014,12.18,15.592,3.412,33.591,30.679,2.912,Diferente,Muy similar,No comparable / revisar
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,12,2014,38,38,2014,11.099,15.746,4.647,33.693,30.893,2.8,Diferente,Muy similar,No comparable / revisar
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,13,2014,39,39,2014,11.077,14.775,3.698,33.663,31.423,2.24,Diferente,Muy similar,No comparable / revisar
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,14,2014,40,40,2014,10.721,14.221,3.5,33.6,31.857,1.743,Diferente,Muy similar,No comparable / revisar
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,15,2014,41,41,2014,11.074,13.689,2.615,33.561,32.296,1.265,Muy similar,Muy similar,Comparable
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,16,2014,42,42,2014,10.477,13.174,2.697,33.613,32.571,1.042,Muy similar,Muy similar,Comparable
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,17,2014,43,43,2014,10.667,13.288,2.621,33.512,32.715,0.797,Muy similar,Muy similar,Comparable
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,18,2014,44,44,2014,10.602,12.715,2.113,33.541,32.738,0.803,Muy similar,Muy similar,Comparable
110758_Semanal_2014_2024,Aysén,33077_Semanal_2014_2024,Sur/Oeste,2014,19,2014,45,45,2014,10.49,12.208,1.718,33.497,32.401,1.096,Muy similar,Muy similar,Comparable
