centro_chile,region_chile,centro_noruega,region_noruega,anio_chile,semana_chile,anio_noruega,semana_noruega,semana_noruega_equivalente,anio_noruega_equivalente,temperatura_chile_C,temperatura_noruega_C,dif_temperatura_C,salinidad_chile_PSU,salinidad_noruega_PSU,dif_salinidad_PSU,comparabilidad_temperatura,comparabilidad_salinidad,comparabilidad_general
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,1,2014,27,27,2014,8.199,12.006,3.807,33.651,32.303,1.348,Diferente,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,2,2014,28,28,2014,8.443,14.06,5.617,33.635,32.523,1.112,No comparable,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,3,2014,29,29,2014,8.738,15.54,6.802,33.627,32.473,1.154,No comparable,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,4,2014,30,30,2014,8.83,17.189,8.359,33.633,32.521,1.112,No comparable,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,5,2014,31,31,2014,8.835,16.487,7.652,33.632,32.675,0.957,No comparable,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,6,2014,32,32,2014,8.999,16.314,7.315,33.626,32.905,0.721,No comparable,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,7,2014,33,33,2014,9.008,15.637,6.629,33.629,32.905,0.724,No comparable,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,8,2014,34,34,2014,9.141,14.377,5.236,33.613,33.009,0.604,No comparable,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,9,2014,35,35,2014,9.243,14.329,5.086,33.601,33.037,0.564,No comparable,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,10,2014,36,36,2014,9.127,14.114,4.987,33.589,32.963,0.626,Diferente,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,11,2014,37,37,2014,8.756,14.083,5.327,33.595,32.879,0.716,No comparable,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,12,2014,38,38,2014,8.573,14.107,5.534,33.595,32.775,0.82,No comparable,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,13,2014,39,39,2014,8.506,13.462,4.956,33.555,32.66,0.895,Diferente,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,14,2014,40,40,2014,8.45,12.801,4.351,33.577,32.644,0.933,Diferente,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,15,2014,41,41,2014,8.454,12.268,3.814,33.57,32.671,0.899,Diferente,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,16,2014,42,42,2014,8.166,11.708,3.542,33.561,32.643,0.918,Diferente,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,17,2014,43,43,2014,8.108,11.794,3.686,33.545,32.726,0.819,Diferente,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,18,2014,44,44,2014,7.926,11.593,3.667,33.535,32.76,0.775,Diferente,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,19,2014,45,45,2014,7.707,10.938,3.231,33.537,32.865,0.672,Diferente,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,20,2014,46,46,2014,7.376,10.488,3.112,33.539,32.983,0.556,Diferente,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,21,2014,47,47,2014,7.182,10.153,2.971,33.533,33.092,0.441,Muy similar,Muy similar,Comparable
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,22,2014,48,48,2014,7.117,10.045,2.928,33.51,33.196,0.314,Muy similar,Muy similar,Comparable
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,23,2014,49,49,2014,6.684,9.894,3.21,33.515,33.203,0.312,Diferente,Muy similar,No comparable / revisar
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,24,2014,50,50,2014,6.624,9.317,2.693,33.508,33.131,0.377,Muy similar,Muy similar,Comparable
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,25,2014,51,51,2014,6.471,8.607,2.136,33.508,33.236,0.272,Muy similar,Muy similar,Comparable
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,26,2014,52,52,2014,6.339,7.707,1.368,33.506,33.266,0.24,Muy similar,Muy similar,Comparable
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,27,2015,1,1,2015,6.191,7.634,1.443,33.488,33.597,0.109,Muy similar,Muy similar,Comparable
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,28,2015,2,2,2015,5.902,7.609,1.707,33.502,33.987,0.485,Muy similar,Muy similar,Comparable
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,29,2015,3,3,2015,5.817,7.194,1.377,33.492,34.072,0.58,Muy similar,Muy similar,Comparable
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,30,2015,4,4,2015,5.365,6.714,1.349,33.509,34.136,0.627,Muy similar,Muy similar,Comparable
120128_Semanal_2014_2024,Magallanes,32677_Semanal_2014_2024,Centro,2014,31,2015,5,5,2015,5.307,6.787,1.48,33.498,34.174,0.676,Muy similar,Muy similar,Comparable
