anio,semana,temperatura_media_C,salinidad_media_PSU,temperatura_min_C,temperatura_max_C,salinidad_min_PSU,salinidad_max_PSU,n_dias
2014,1,14.88,33.121,14.575,15.151,33.094,33.144,5
2014,2,15.523,33.158,15.304,16.004,33.144,33.18,7
2014,3,16.482,33.206,16.236,16.713,33.185,33.226,7
2014,4,15.814,33.213,15.276,16.666,33.2,33.232,7
2014,5,15.508,33.22,15.328,15.615,33.206,33.235,7
2014,6,15.384,33.195,15.289,15.463,33.168,33.216,7
2014,7,15.701,33.188,15.416,16.127,33.151,33.225,7
2014,8,15.925,33.258,15.436,16.456,33.226,33.305,7
2014,9,15.458,33.343,15.234,15.577,33.32,33.362,7
2014,10,15.506,33.376,15.194,15.674,33.369,33.382,7
2014,11,14.888,33.39,14.67,15.059,33.386,33.398,7
2014,12,14.43,33.424,14.147,14.626,33.404,33.459,7
2014,13,14.14,33.457,13.979,14.248,33.445,33.469,7
2014,14,13.835,33.462,13.774,13.882,33.447,33.472,7
2014,15,13.622,33.458,13.377,13.813,33.437,33.474,7
2014,16,13.194,33.448,13.009,13.389,33.437,33.46,7
2014,17,13.006,33.426,12.862,13.115,33.41,33.432,7
2014,18,12.653,33.372,12.464,12.814,33.303,33.429,7
2014,19,12.288,33.066,12.177,12.407,32.974,33.269,7
2014,20,11.95,32.951,11.725,12.119,32.792,33.019,7
2014,21,11.494,32.673,11.405,11.657,32.506,32.858,7
2014,22,11.404,32.807,11.33,11.461,32.718,32.916,7
2014,23,10.865,32.346,10.754,11.15,32.167,32.464,7
2014,24,10.644,32.281,10.496,10.83,32.137,32.459,7
2014,25,10.326,31.932,10.221,10.458,31.783,32.115,7
2014,26,10.331,31.974,10.295,10.366,31.838,32.048,7
2014,27,10.214,31.974,10.06,10.358,31.879,32.064,7
2014,28,9.889,31.9,9.777,10.036,31.861,31.959,7
2014,29,9.979,31.741,9.891,10.056,31.636,31.918,7
2014,30,9.772,31.827,9.637,9.989,31.634,31.968,7
2014,31,9.897,31.906,9.719,10.03,31.864,31.937,7
2014,32,10.022,31.919,9.987,10.042,31.863,31.957,7
2014,33,9.87,32.108,9.815,9.937,32.013,32.154,7
2014,34,10.176,32.089,10.028,10.381,32.018,32.137,7
2014,35,10.564,32.035,10.467,10.684,31.94,32.12,7
2014,36,10.868,31.787,10.721,11.005,31.68,31.862,7
2014,37,10.899,31.802,10.862,10.929,31.775,31.842,7
2014,38,11.031,31.931,10.968,11.11,31.88,31.994,7
2014,39,10.952,31.981,10.888,10.985,31.929,32.014,7
2014,40,11.333,31.901,11.024,11.677,31.874,31.927,7
2014,41,11.567,32.064,11.462,11.663,31.961,32.219,7
2014,42,11.741,32.254,11.488,11.839,32.168,32.291,7
2014,43,12.255,32.075,11.821,12.699,32.03,32.136,7
2014,44,12.485,32.183,12.228,12.801,32.111,32.24,7
2014,45,12.486,32.257,12.363,12.748,32.231,32.282,7
2014,46,13.062,32.293,12.858,13.579,32.222,32.36,7
2014,47,13.757,32.426,13.442,14.015,32.372,32.463,7
2014,48,14.242,32.487,13.992,14.371,32.469,32.519,7
2014,49,15.156,32.577,14.508,15.612,32.555,32.589,7
2014,50,15.115,32.696,14.69,15.468,32.59,32.824,7
2014,51,14.768,32.883,14.189,15.091,32.852,32.934,7
2014,52,14.429,32.915,14.27,14.647,32.853,32.945,7
2015,1,14.699,32.886,14.579,14.967,32.837,32.952,7
2015,2,14.95,33.012,14.869,15.045,32.966,33.056,7
2015,3,14.913,33.102,14.771,15.175,33.075,33.127,7
2015,4,15.737,33.13,15.131,16.413,33.109,33.145,7
2015,5,16.333,33.123,15.946,16.611,33.1,33.137,7
2015,6,16.421,33.169,16.259,16.602,33.147,33.184,7
2015,7,15.377,33.23,15.043,15.951,33.182,33.269,7
2015,8,14.592,33.33,14.224,15.171,33.277,33.375,7
2015,9,14.299,33.4,14.063,14.524,33.373,33.427,7
2015,10,14.603,33.374,14.456,14.724,33.35,33.395,7
2015,11,14.925,33.33,14.795,15.06,33.316,33.343,7
2015,12,14.696,33.298,14.463,14.834,33.283,33.33,7
2015,13,14.575,33.34,14.435,14.708,33.319,33.354,7
2015,14,14.211,33.344,14.025,14.457,33.338,33.35,7
2015,15,14.047,33.242,13.927,14.186,33.146,33.328,7
2015,16,13.88,33.164,13.717,14.035,33.136,33.187,7
2015,17,13.573,33.144,13.495,13.64,33.121,33.164,7
2015,18,13.372,33.106,13.174,13.534,33.074,33.162,7
2015,19,12.928,33.087,12.754,13.104,32.88,33.202,7
2015,20,12.662,32.757,12.554,12.724,32.658,32.812,7
2015,21,12.206,32.449,11.896,12.442,32.418,32.518,7
2015,22,11.716,32.33,11.6,11.831,32.208,32.447,7
2015,23,11.525,32.084,11.404,11.577,31.961,32.162,7
2015,24,11.141,31.975,11.071,11.265,31.828,32.177,7
2015,25,10.982,32.37,10.898,11.102,32.29,32.412,7
2015,26,10.802,32.365,10.76,10.851,32.28,32.428,7
2015,27,10.661,32.321,10.589,10.759,32.277,32.354,7
2015,28,10.577,32.22,10.426,10.676,32.065,32.348,7
2015,29,10.314,32.2,10.213,10.378,32.11,32.265,7
2015,30,10.266,32.07,10.135,10.432,31.973,32.144,7
2015,31,10.469,31.917,10.446,10.499,31.837,32.029,7
2015,32,10.391,31.929,10.29,10.469,31.888,32.015,7
2015,33,10.286,31.993,10.247,10.361,31.914,32.127,7
2015,34,10.351,32.155,10.306,10.43,32.069,32.205,7
2015,35,10.503,32.019,10.373,10.571,31.979,32.073,7
2015,36,10.506,31.96,10.436,10.582,31.925,31.985,7
2015,37,10.349,32.193,10.27,10.479,31.991,32.37,7
2015,38,10.204,32.45,10.171,10.282,32.398,32.486,7
2015,39,10.721,32.412,10.372,10.904,32.358,32.494,7
2015,40,10.897,32.226,10.834,10.967,32.179,32.362,7
2015,41,11.107,32.031,10.973,11.471,31.992,32.117,7
2015,42,11.497,32.051,11.394,11.585,32.018,32.093,7
2015,43,11.808,32.195,11.642,12.016,32.148,32.214,7
2015,44,12.091,32.255,11.905,12.25,32.205,32.353,7
2015,45,12.036,32.578,11.709,12.541,32.427,32.649,7
2015,46,12.965,32.609,12.593,13.263,32.598,32.626,7
2015,47,13.179,32.548,13.025,13.538,32.491,32.576,7
2015,48,13.922,32.366,13.69,14.308,32.295,32.44,7
2015,49,14.478,32.442,14.247,14.651,32.326,32.503,7
