anio,semana,temperatura_media_C,salinidad_media_PSU,temperatura_min_C,temperatura_max_C,salinidad_min_PSU,salinidad_max_PSU,n_dias
2014,1,8.242,33.586,8.078,8.324,33.549,33.61,5
2014,2,7.714,33.432,7.548,7.973,33.392,33.524,7
2014,3,7.183,33.408,6.846,7.478,33.362,33.44,7
2014,4,6.456,33.36,5.988,6.785,33.271,33.398,7
2014,5,5.684,33.24,5.587,5.808,33.223,33.259,7
2014,6,5.934,33.266,5.907,5.974,33.247,33.29,7
2014,7,5.906,33.246,5.797,6.006,33.188,33.299,7
2014,8,5.737,33.163,5.699,5.807,33.124,33.195,7
2014,9,5.558,32.933,5.436,5.696,32.804,33.087,7
2014,10,5.383,32.662,5.355,5.404,32.592,32.761,7
2014,11,5.338,32.494,5.316,5.371,32.433,32.581,7
2014,12,5.412,32.6,5.328,5.535,32.499,32.728,7
2014,13,5.786,32.625,5.577,6.025,32.557,32.711,7
2014,14,6.081,32.558,5.981,6.183,32.371,32.619,7
2014,15,6.467,32.159,6.354,6.58,32.122,32.247,7
2014,16,6.557,32.256,6.381,7.004,32.216,32.275,7
2014,17,7.447,32.28,7.07,7.824,32.245,32.314,7
2014,18,7.502,32.448,7.148,8.03,32.297,32.628,7
2014,19,7.846,32.556,7.254,8.499,32.499,32.617,7
2014,20,8.158,32.614,7.949,8.505,32.557,32.635,7
2014,21,9.719,32.438,9.166,10.129,32.349,32.573,7
2014,22,10.191,32.361,9.919,10.508,32.308,32.411,7
2014,23,12.089,32.018,10.668,13.505,31.723,32.297,7
2014,24,13.538,31.775,12.623,14.006,31.711,31.855,7
2014,25,10.141,32.54,8.959,11.471,32.163,32.929,7
2014,26,9.066,33.123,8.937,9.246,32.979,33.295,7
2014,27,9.932,33.317,9.047,11.432,32.979,33.457,7
2014,28,12.774,32.679,11.889,14.073,32.541,32.787,7
2014,29,15.229,32.441,14.522,15.903,32.293,32.574,7
2014,30,17.774,32.034,16.551,18.831,31.915,32.247,7
2014,31,18.677,31.748,18.296,19.157,31.358,31.943,7
2014,32,18.308,31.266,17.591,18.653,31.211,31.384,7
2014,33,16.647,31.412,16.225,17.166,31.398,31.439,7
2014,34,14.938,31.923,14.408,16.043,31.495,32.106,7
2014,35,14.54,32.042,14.305,15.064,31.851,32.125,7
2014,36,15.417,31.042,15.156,15.668,30.576,31.69,7
2014,37,15.592,30.679,15.484,15.721,30.551,30.726,7
2014,38,15.746,30.893,15.656,15.879,30.72,31.092,7
2014,39,14.775,31.423,14.508,15.131,31.15,31.745,7
2014,40,14.221,31.857,14.125,14.376,31.684,32.045,7
2014,41,13.689,32.296,13.504,14.009,31.967,32.545,7
2014,42,13.174,32.571,13.024,13.426,32.389,32.736,7
2014,43,13.288,32.715,13.073,13.458,32.688,32.748,7
2014,44,12.715,32.738,12.568,12.939,32.568,32.786,7
2014,45,12.208,32.401,11.922,12.573,32.139,32.505,7
2014,46,11.669,32.034,11.501,11.876,31.988,32.065,7
2014,47,11.267,32.094,11.051,11.449,31.993,32.274,7
2014,48,10.714,32.457,10.449,10.971,32.291,32.612,7
2014,49,10.164,32.756,10.027,10.348,32.65,32.822,7
2014,50,9.641,32.879,9.399,9.896,32.81,32.946,7
2014,51,8.978,33.044,8.699,9.271,32.969,33.101,7
2014,52,8.19,33.066,7.852,8.603,32.996,33.166,7
2015,1,8.164,33.504,7.913,8.339,33.161,33.667,7
2015,2,8.271,33.59,8.114,8.435,33.558,33.645,7
2015,3,8.158,33.505,8.05,8.245,33.454,33.574,7
2015,4,7.809,33.426,7.572,8.004,33.387,33.452,7
2015,5,7.409,33.369,7.331,7.518,33.357,33.378,7
2015,6,7.245,33.413,7.124,7.362,33.387,33.473,7
2015,7,7.004,33.436,6.871,7.173,33.396,33.481,7
2015,8,7.036,33.725,6.855,7.151,33.545,33.791,7
2015,9,6.562,33.711,6.338,6.79,33.657,33.751,7
2015,10,6.238,33.627,6.195,6.293,33.617,33.642,7
2015,11,6.237,33.563,6.218,6.256,33.5,33.607,7
2015,12,6.217,33.415,6.147,6.295,33.371,33.478,7
2015,13,6.16,33.357,6.128,6.198,33.35,33.383,7
2015,14,6.22,33.347,6.172,6.294,33.335,33.368,7
2015,15,6.35,33.293,6.304,6.394,33.168,33.355,7
2015,16,6.462,33.153,6.324,6.802,33.117,33.179,7
2015,17,6.879,33.182,6.774,6.956,33.169,33.204,7
2015,18,7.213,33.119,6.91,7.392,33.086,33.175,7
2015,19,7.573,32.892,7.309,7.8,32.708,33.085,7
2015,20,8.066,32.605,7.822,8.26,32.541,32.659,7
2015,21,8.59,32.457,8.251,8.924,32.407,32.563,7
2015,22,9.203,32.318,8.78,9.885,32.168,32.378,7
2015,23,9.779,32.268,9.537,10.05,32.156,32.348,7
2015,24,10.127,32.129,9.942,10.392,31.959,32.222,7
2015,25,10.929,31.637,10.27,11.802,31.22,31.931,7
2015,26,11.375,31.755,11.001,11.716,31.333,32.02,7
2015,27,12.406,31.552,12.011,12.958,31.272,31.692,7
2015,28,11.771,31.622,10.926,12.811,31.169,32.015,7
2015,29,12.032,31.973,11.81,12.367,31.854,32.09,7
2015,30,12.986,32.013,12.487,13.352,31.898,32.167,7
2015,31,12.249,32.451,11.351,13.038,31.944,32.827,7
2015,32,13.484,32.526,12.529,14.162,32.337,32.697,7
2015,33,14.673,32.065,14.352,15.114,31.923,32.189,7
2015,34,15.615,31.506,15.15,16.161,30.633,31.913,7
2015,35,16.452,30.07,16.335,16.545,29.771,30.53,7
2015,36,15.792,30.22,14.714,16.503,29.738,30.907,7
2015,37,14.372,31.315,14.15,14.61,31.074,31.476,7
2015,38,14.599,30.925,14.319,14.712,30.836,31.028,7
2015,39,14.183,30.78,14.055,14.239,30.55,31.042,7
2015,40,13.991,30.513,13.755,14.165,30.397,30.59,7
2015,41,13.592,30.514,13.525,13.673,30.471,30.579,7
2015,42,13.223,30.546,12.995,13.464,30.529,30.562,7
2015,43,12.627,30.641,12.296,12.902,30.548,30.802,7
2015,44,11.935,31.15,11.742,12.126,30.779,31.805,7
2015,45,11.796,31.838,11.588,12.013,31.722,32.07,7
2015,46,11.249,32.36,10.98,11.539,32.202,32.55,7
2015,47,10.451,32.42,9.854,10.886,32.306,32.545,7
2015,48,9.875,32.487,9.639,10.09,32.423,32.541,7
2015,49,9.337,32.592,9.169,9.609,32.486,32.825,7
2015,50,8.957,32.966,8.699,9.086,32.822,33.054,7
2015,51,8.655,33.084,8.519,8.839,32.996,33.201,7
2015,52,8.869,33.267,8.717,8.963,33.244,33.282,7
2015,53,8.554,33.311,8.353,8.69,33.264,33.359,7
2016,1,7.98,33.4,7.776,8.251,33.369,33.434,7
2016,2,7.463,33.476,7.251,7.649,33.453,33.486,7
2016,3,7.02,33.506,6.93,7.15,33.487,33.548,7
2016,4,7.028,33.593,6.873,7.089,33.563,33.613,7
2016,5,6.768,33.642,6.705,6.82,33.623,33.662,7
2016,6,6.582,33.643,6.46,6.671,33.625,33.669,7
2016,7,6.292,33.718,6.142,6.446,33.678,33.736,7
2016,8,6.015,33.723,5.919,6.095,33.711,33.735,7
2016,9,5.758,33.66,5.677,5.881,33.62,33.736,7
2016,10,5.756,33.682,5.653,5.907,33.643,33.73,7
2016,11,6.07,33.712,6.024,6.131,33.695,33.731,7
2016,12,6.067,33.719,5.968,6.119,33.603,33.751,7
2016,13,5.784,33.368,5.743,5.835,33.282,33.459,7
2016,14,6.152,33.229,5.939,6.349,33.177,33.262,7
2016,15,6.563,33.253,6.502,6.695,33.236,33.271,7
2016,16,6.51,33.256,6.471,6.543,33.192,33.349,7
2016,17,6.788,33.352,6.617,6.92,33.321,33.374,7
2016,18,7.373,33.207,6.874,8.204,33.154,33.279,7
