anio,semana,temperatura_media_C,salinidad_media_PSU,temperatura_min_C,temperatura_max_C,salinidad_min_PSU,salinidad_max_PSU,n_dias
2014,1,7.956,33.594,7.88,8.057,33.572,33.626,5
2014,2,7.641,33.614,7.147,7.886,33.59,33.639,7
2014,3,6.632,33.571,6.516,6.815,33.513,33.64,7
2014,4,6.154,33.485,5.873,6.387,33.466,33.505,7
2014,5,5.425,33.487,5.335,5.568,33.478,33.501,7
2014,6,5.764,33.44,5.698,5.837,33.383,33.492,7
2014,7,5.717,33.372,5.618,5.853,33.339,33.396,7
2014,8,5.596,33.333,5.369,5.72,33.272,33.378,7
2014,9,5.617,33.209,5.518,5.694,33.184,33.241,7
2014,10,5.524,33.135,5.444,5.611,33.098,33.175,7
2014,11,5.502,33.01,5.345,5.586,32.962,33.069,7
2014,12,5.438,32.992,5.333,5.529,32.915,33.031,7
2014,13,5.925,32.93,5.579,6.298,32.915,32.945,7
2014,14,6.334,32.951,6.177,6.443,32.828,32.998,7
2014,15,6.616,32.735,6.46,6.748,32.576,32.796,7
2014,16,6.546,32.631,6.357,6.959,32.612,32.654,7
2014,17,7.676,32.668,7.194,8.175,32.612,32.695,7
2014,18,7.482,32.805,7.08,8.269,32.691,32.903,7
2014,19,8.102,32.825,7.297,8.935,32.759,32.902,7
2014,20,8.333,32.886,8.038,8.699,32.789,32.969,7
2014,21,9.833,32.676,9.386,10.221,32.608,32.745,7
2014,22,10.252,32.76,9.869,10.58,32.731,32.801,7
2014,23,12.316,32.547,10.848,13.672,32.368,32.719,7
2014,24,13.629,32.413,12.799,14.063,32.35,32.543,7
2014,25,10.959,32.817,9.721,12.001,32.651,33.077,7
2014,26,8.949,33.499,8.649,9.467,33.183,33.706,7
2014,27,9.833,33.555,8.765,11.091,33.312,33.757,7
2014,28,12.337,33.233,11.279,13.688,33.138,33.291,7
2014,29,14.782,33.087,14.18,15.72,33.034,33.136,7
2014,30,17.288,32.792,16.416,18.033,32.684,32.935,7
2014,31,17.872,32.435,17.399,18.33,32.253,32.626,7
2014,32,18.022,32.119,17.429,18.314,31.999,32.204,7
2014,33,16.257,31.865,15.536,16.903,31.808,31.915,7
2014,34,13.748,32.415,13.111,15.186,31.958,32.676,7
2014,35,13.514,32.65,13.136,14.323,32.472,32.714,7
2014,36,14.82,31.927,14.468,15.059,31.724,32.372,7
2014,37,15.147,31.549,14.969,15.337,31.403,31.669,7
2014,38,15.406,31.341,15.199,15.482,31.186,31.426,7
2014,39,14.309,31.485,14.011,14.748,31.379,31.626,7
2014,40,13.86,31.881,13.801,13.91,31.67,32.132,7
2014,41,13.342,31.983,13.165,13.75,31.954,32.061,7
2014,42,12.713,32.178,12.349,13.213,32.093,32.513,7
2014,43,12.867,32.829,12.752,13.109,32.718,32.928,7
2014,44,12.299,32.856,11.949,12.57,32.779,32.904,7
2014,45,11.621,32.797,11.205,12.201,32.655,32.865,7
2014,46,11.401,32.59,11.11,11.759,32.543,32.617,7
2014,47,10.961,32.403,10.573,11.177,32.231,32.515,7
2014,48,10.341,32.277,9.959,10.687,32.208,32.351,7
2014,49,9.816,32.796,9.542,9.946,32.505,32.915,7
2014,50,9.146,33.129,8.866,9.457,32.971,33.309,7
2014,51,8.601,33.326,8.109,8.961,33.266,33.402,7
2014,52,7.588,33.502,7.006,8.163,33.424,33.521,7
2015,1,7.513,33.589,7.164,7.862,33.546,33.659,7
2015,2,7.651,33.71,7.194,7.902,33.667,33.749,7
2015,3,7.457,33.654,7.257,7.683,33.632,33.681,7
