variable,importancia_media,importancia_std
parasitos_totales,0.26003224886952336,0.049046112719934955
adultos_moviles,0.176042604908835,0.019387459420804425
hembras_ovigeras,0.10173690989132353,0.013014476278663697
parasitos_totales_media_4,0.05768148411069971,0.028043561129616194
juveniles,0.03661683445504149,0.027268796740818398
parasitos_totales_lag1,0.034573434131744116,0.02701513327988613
adultos_moviles_media_4,0.03242024653404041,0.011836812637372426
juveniles_media_4,0.03211361706975495,0.01802142608223343
juveniles_lag1,0.0317727239696068,0.024340218530347936
parasitos_totales_max_4,0.017788242799397568,0.023280400577280265
hembras_ovigeras_lag1,0.01526378667941799,0.0068666006011253704
adultos_moviles_lag1,0.011731487411315111,0.008023538041135177
hembras_ovigeras_media_4,0.00978256645948532,0.003384561173105346
adultos_moviles_lag4,0.0075073022261304525,0.001533276771320708
hembras_ovigeras_max_4,0.007347848948938651,0.005297338240472363
juveniles_max_4,0.0070731090061075365,0.00998726640895508
semana_sin,0.006294061395828087,0.002546276321353856
hembras_ovigeras_lag4,0.005123824386598664,0.006472539294201804
localidad,0.004621150276324482,0.0051231619197868805
adultos_moviles_lag2,0.004522522635205917,0.001533037429667753
adultos_moviles_lag3,0.0040157738583749495,0.004286569660708993
delta_parasitos_1,0.003913730282737671,0.002094714271849093
hembras_ovigeras_lag3,0.0034572726314481272,0.0028280850761604253
delta_hembras_1,0.003398061194062052,0.0029832980722485935
parasitos_totales_lag2,0.0033049194580976327,0.00323525888574935
hembras_ovigeras_lag2,0.0027578598303217737,0.0023693324818264837
semana_cos,0.0026180650985295983,0.0032238709317702987
zona,0.0013686387485967622,0.002106307367079889
estacion,0.00117954627813317,0.002315234552015831
salinidad_lag3,0.0010884737240957065,0.001334130510761209
adultos_moviles_max_4,0.0008002862190853221,0.011233483912450099
salinidad_lag1,0.0006011576554229237,0.0020211016334163823
temperatura_lag2,0.0004243051459533298,0.008329532377550096
pais,0.0,0.0
anio,0.0,0.0
temperatura_lag4,-2.2763726676799933e-05,0.010489699638290502
parasitos_totales_lag3,-0.00014654094015584818,0.0028599223713423375
delta_temperatura_1,-0.0003611271081352285,0.0008709346701629311
salinidad_lag4,-0.0005684540068346955,0.0011227628478570088
salinidad_lag2,-0.0013384753913139313,0.0011844431234979346
juveniles_lag2,-0.0015878457053173812,0.004260418402506073
salinidad,-0.0017264835501595854,0.002712881509202407
delta_juveniles_1,-0.0019236114511935298,0.0040902942620541635
delta_adultos_1,-0.0021305365798366615,0.0029256272868393987
temperatura_lag3,-0.0023888879174934095,0.00799835180395632
salinidad_media_4,-0.0028880285055418397,0.0013697288367191844
juveniles_lag4,-0.004096168016975455,0.0031058278223064268
temperatura_lag1,-0.004997982776049348,0.016258088517964238
temperatura_media_4,-0.0052983777701371085,0.011269168396425153
delta_salinidad_1,-0.008080859065606827,0.0033920133689810984
parasitos_totales_lag4,-0.009445394411626572,0.005788787476275625
juveniles_lag3,-0.010692787539332293,0.003485858359911507
temperatura,-0.012815100611772757,0.012224966354613153
