pais,zona,localidad,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,error_rf,error_abs_rf
Chile,Los Lagos,102424,2023,45,2023.0,46.0,0.2,0.22,0.3520857756132756,-0.13208577561327559,0.13208577561327559
Chile,Los Lagos,102424,2023,46,2023.0,47.0,0.22,3.3,0.4529398164682546,2.8470601835317453,2.8470601835317453
Chile,Los Lagos,102424,2023,47,2023.0,48.0,3.3,3.58,3.17317119047619,0.4068288095238102,0.4068288095238102
Chile,Los Lagos,102424,2023,48,2023.0,49.0,3.58,4.94,3.6660687797619005,1.2739312202381,1.2739312202381
Chile,Los Lagos,102424,2023,49,2023.0,50.0,4.94,5.35,5.0171282341269805,0.33287176587301914,0.33287176587301914
Chile,Los Lagos,102424,2023,50,2023.0,51.0,5.35,6.470000000000001,4.885305843253973,1.5846941567460275,1.5846941567460275
Chile,Los Lagos,102424,2023,51,2023.0,52.0,6.470000000000001,6.3,5.769442043650791,0.5305579563492087,0.5305579563492087
Chile,Los Lagos,102424,2023,52,2024.0,1.0,6.3,5.32,6.622175188492065,-1.3021751884920647,1.3021751884920647
Chile,Los Lagos,102424,2024,1,2024.0,2.0,5.32,5.1000000000000005,6.059731304563494,-0.9597313045634932,0.9597313045634932
Chile,Los Lagos,102424,2024,2,2024.0,3.0,5.1000000000000005,4.63,5.454784444444453,-0.824784444444453,0.824784444444453
Chile,Los Lagos,102424,2024,3,2024.0,4.0,4.63,4.75,4.820345317460326,-0.07034531746032613,0.07034531746032613
Chile,Los Lagos,102424,2024,4,2024.0,5.0,4.75,5.699999999999999,4.435410897817471,1.2645891021825282,1.2645891021825282
Chile,Los Lagos,102424,2024,5,2024.0,6.0,5.699999999999999,7.04,4.562241958874464,2.4777580411255364,2.4777580411255364
Chile,Los Lagos,102424,2024,6,2024.0,7.0,7.04,1.37,6.114341374007938,-4.744341374007938,4.744341374007938
Chile,Los Lagos,102424,2024,7,2024.0,8.0,1.37,2.5500000000000003,3.1560306795634925,-0.6060306795634922,0.6060306795634922
Chile,Los Lagos,102424,2024,8,2024.0,9.0,2.5500000000000003,3.68,3.843863949765514,-0.16386394976551388,0.16386394976551388
Chile,Los Lagos,102424,2024,9,2024.0,10.0,3.68,3.99,4.874239168470422,-0.8842391684704216,0.8842391684704216
Chile,Los Lagos,102424,2024,10,2024.0,11.0,3.99,5.760000000000001,4.383768859126985,1.3762311408730152,1.3762311408730152
Chile,Los Lagos,102424,2024,11,2024.0,12.0,5.760000000000001,6.3,4.519610699404769,1.780389300595231,1.780389300595231
