pais,zona,localidad,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,error_rf,error_abs_rf
Chile,Los Lagos,102424,2023,45,2023.0,46.0,0.2,0.22,0.33499972222222163,-0.11499972222222163,0.11499972222222163
Chile,Los Lagos,102424,2023,46,2023.0,47.0,0.22,3.3,0.5050853422619053,2.7949146577380946,2.7949146577380946
Chile,Los Lagos,102424,2023,47,2023.0,48.0,3.3,3.58,3.23459693452381,0.34540306547618993,0.34540306547618993
Chile,Los Lagos,102424,2023,48,2023.0,49.0,3.58,4.94,3.3450752132936463,1.594924786706354,1.594924786706354
Chile,Los Lagos,102424,2023,49,2023.0,50.0,4.94,5.35,4.83748451884921,0.5125154811507899,0.5125154811507899
Chile,Los Lagos,102424,2023,50,2023.0,51.0,5.35,6.470000000000001,5.248966428571433,1.2210335714285678,1.2210335714285678
Chile,Los Lagos,102424,2023,51,2023.0,52.0,6.470000000000001,6.3,5.830944402056267,0.46905559794373275,0.46905559794373275
Chile,Los Lagos,102424,2023,52,2024.0,1.0,6.3,5.32,6.45960657738095,-1.1396065773809498,1.1396065773809498
Chile,Los Lagos,102424,2024,1,2024.0,2.0,5.32,5.1000000000000005,5.6628026140873,-0.5628026140872997,0.5628026140872997
Chile,Los Lagos,102424,2024,2,2024.0,3.0,5.1000000000000005,4.63,5.355373504238812,-0.7253735042388119,0.7253735042388119
Chile,Los Lagos,102424,2024,3,2024.0,4.0,4.63,4.75,4.779382447691196,-0.029382447691196134,0.029382447691196134
Chile,Los Lagos,102424,2024,4,2024.0,5.0,4.75,5.699999999999999,4.539106698683269,1.1608933013167304,1.1608933013167304
Chile,Los Lagos,102424,2024,5,2024.0,6.0,5.699999999999999,7.04,4.878006639610391,2.1619933603896087,2.1619933603896087
Chile,Los Lagos,102424,2024,6,2024.0,7.0,7.04,1.37,5.70728564213564,-4.33728564213564,4.33728564213564
Chile,Los Lagos,102424,2024,7,2024.0,8.0,1.37,2.5500000000000003,3.7193637748015926,-1.1693637748015924,1.1693637748015924
Chile,Los Lagos,102424,2024,8,2024.0,9.0,2.5500000000000003,3.68,3.760245496031747,-0.08024549603174691,0.08024549603174691
Chile,Los Lagos,102424,2024,9,2024.0,10.0,3.68,3.99,4.748625248015875,-0.7586252480158748,0.7586252480158748
Chile,Los Lagos,102424,2024,10,2024.0,11.0,3.99,5.760000000000001,4.14985479662698,1.6101452033730208,1.6101452033730208
Chile,Los Lagos,102424,2024,11,2024.0,12.0,5.760000000000001,6.3,4.753426755952381,1.546573244047619,1.546573244047619
Chile,Los Lagos,102424,2024,12,2024.0,13.0,6.3,7.529999999999999,5.59980797844516,1.9301920215548396,1.9301920215548396
Chile,Los Lagos,102424,2024,13,2024.0,14.0,7.529999999999999,7.279999999999999,6.161621331619771,1.1183786683802284,1.1183786683802284
Chile,Los Lagos,102424,2024,14,2024.0,15.0,7.279999999999999,7.62,6.8618321230158745,0.7581678769841256,0.7581678769841256
Chile,Los Lagos,102424,2024,15,2024.0,16.0,7.62,5.21,7.0324011571067775,-1.8224011571067775,1.8224011571067775
Chile,Los Lagos,102424,2024,16,2024.0,17.0,5.21,6.48,5.9428321329365135,0.537167867063487,0.537167867063487
Chile,Los Lagos,102424,2024,17,2024.0,18.0,6.48,6.720000000000001,6.163242322781388,0.5567576772186129,0.5567576772186129
Chile,Los Lagos,102424,2024,18,2024.0,19.0,6.720000000000001,7.41,6.829285952380958,0.5807140476190424,0.5807140476190424
Chile,Los Lagos,102424,2024,19,2024.0,20.0,7.41,8.799999999999999,6.839988175955992,1.960011824044007,1.960011824044007
Chile,Los Lagos,102424,2024,20,2024.0,21.0,8.799999999999999,8.44,8.020683156114723,0.41931684388527657,0.41931684388527657
Chile,Los Lagos,102424,2024,21,2024.0,22.0,8.44,9.86,8.725289925595249,1.134710074404751,1.134710074404751
Chile,Los Lagos,102424,2024,22,2024.0,23.0,9.86,10.33,8.507600590277775,1.822399409722225,1.822399409722225
Chile,Los Lagos,102424,2024,23,2024.0,24.0,10.33,11.16,8.011644642857137,3.1483553571428633,3.1483553571428633
Chile,Los Lagos,102424,2024,24,2024.0,25.0,11.16,2.43,8.50226083829365,-6.07226083829365,6.07226083829365
Chile,Los Lagos,102424,2024,25,2024.0,26.0,2.43,2.3,5.75141248466812,-3.4514124846681202,3.4514124846681202
Chile,Los Lagos,102424,2024,26,2024.0,27.0,2.3,3.84,4.860894364628438,-1.0208943646284379,1.0208943646284379
Chile,Los Lagos,102424,2024,27,2024.0,28.0,3.84,4.83,6.783031334325404,-1.953031334325404,1.953031334325404
Chile,Los Lagos,102424,2024,28,2024.0,29.0,4.83,6.1,5.836564305104619,0.26343569489538066,0.26343569489538066
Chile,Los Lagos,102424,2024,29,2024.0,30.0,6.1,6.65,5.8450370851370925,0.8049629148629078,0.8049629148629078
Chile,Aysén,110758,2022,52,2023.0,1.0,4.42,9.28,5.881279625721516,3.3987203742784837,3.3987203742784837
Chile,Aysén,110758,2023,1,2023.0,2.0,9.28,4.949999999999999,7.975876681547615,-3.025876681547616,3.025876681547616
Chile,Aysén,110758,2023,2,2023.0,3.0,4.949999999999999,7.08,6.182558164682544,0.8974418353174558,0.8974418353174558
Chile,Aysén,110758,2023,3,2023.0,4.0,7.08,3.33,6.850714015151523,-3.5207140151515226,3.5207140151515226
