pais,zona,localidad,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,error_rf,error_abs_rf
Noruega,Norte,24175,2024,43,2024.0,44.0,0.0,0.0,0.1305682521645021,-0.1305682521645021,0.1305682521645021
Noruega,Norte,24175,2024,44,2024.0,45.0,0.0,0.0,0.14276961309523822,-0.14276961309523822,0.14276961309523822
Noruega,Norte,24175,2024,45,2024.0,46.0,0.0,0.0,0.07908929563492062,-0.07908929563492062,0.07908929563492062
Noruega,Norte,24175,2024,46,2024.0,47.0,0.0,0.0,0.07307634920634926,-0.07307634920634926,0.07307634920634926
Noruega,Norte,24175,2024,47,2024.0,48.0,0.0,0.0,0.088870193452381,-0.088870193452381,0.088870193452381
Noruega,Norte,24175,2024,48,2024.0,49.0,0.0,0.04,0.07021031746031758,-0.030210317460317583,0.030210317460317583
Noruega,Norte,24175,2024,49,2024.0,50.0,0.04,0.04,0.10411264880952385,-0.06411264880952386,0.06411264880952386
Noruega,Norte,24175,2024,50,2024.0,51.0,0.04,0.02,0.08099773313492063,-0.06099773313492063,0.06099773313492063
Noruega,Norte,24175,2024,51,2024.0,52.0,0.02,0.17,0.07325094742063488,0.09674905257936513,0.09674905257936513
Noruega,Centro,32677,2023,29,2023.0,30.0,0.0,0.0,0.17841624909812395,-0.17841624909812395,0.17841624909812395
Noruega,Centro,32677,2023,30,2023.0,31.0,0.0,0.0,0.21868907738095245,-0.21868907738095245,0.21868907738095245
Noruega,Centro,32677,2023,31,2023.0,32.0,0.0,0.02,0.15980751488095257,-0.13980751488095258,0.13980751488095258
Noruega,Centro,32677,2023,32,2023.0,33.0,0.02,0.33,0.2229164880952381,0.10708351190476192,0.10708351190476192
Noruega,Centro,32677,2023,33,2023.0,34.0,0.33,2.52,0.4933000595238093,2.026699940476191,2.026699940476191
Noruega,Centro,32677,2023,34,2023.0,35.0,2.52,6.48,2.5562078472222196,3.923792152777781,3.923792152777781
Noruega,Centro,32677,2023,35,2023.0,36.0,6.48,3.4000000000000004,4.948485211489898,-1.548485211489898,1.548485211489898
Noruega,Centro,32677,2023,36,2023.0,37.0,3.4000000000000004,0.42,3.9314192460317456,-3.5114192460317457,3.5114192460317457
Noruega,Centro,32677,2023,37,2023.0,38.0,0.42,0.21,2.599749990530301,-2.389749990530301,2.389749990530301
Noruega,Centro,32677,2023,38,2023.0,39.0,0.21,0.22,2.295896423611111,-2.075896423611111,2.075896423611111
Noruega,Centro,32677,2023,39,2023.0,40.0,0.22,0.43,1.4955541517857147,-1.0655541517857148,1.0655541517857148
Noruega,Centro,32677,2023,40,2023.0,41.0,0.43,0.54,0.678713214285715,-0.13871321428571493,0.13871321428571493
Noruega,Centro,32677,2023,41,2023.0,42.0,0.54,0.94,0.7368606944444446,0.20313930555555537,0.20313930555555537
Noruega,Centro,32677,2023,42,2023.0,43.0,0.94,1.22,1.1620880704365073,0.05791192956349267,0.05791192956349267
Noruega,Centro,32677,2023,43,2023.0,44.0,1.22,1.32,1.5207213244047637,-0.20072132440476365,0.20072132440476365
Noruega,Centro,32677,2023,44,2023.0,45.0,1.32,0.9,1.5276751289682529,-0.6276751289682528,0.6276751289682528
Noruega,Centro,32677,2023,45,2023.0,46.0,0.9,1.07,1.2306963428932156,-0.16069634289321555,0.16069634289321555
Noruega,Centro,32677,2023,46,2023.0,47.0,1.07,1.37,1.2490923351648353,0.1209076648351648,0.1209076648351648
Noruega,Centro,32677,2023,47,2023.0,48.0,1.37,1.26,1.4325996577380946,-0.1725996577380946,0.1725996577380946
Noruega,Centro,32677,2023,48,2023.0,49.0,1.26,1.7799999999999998,1.3824913095238085,0.3975086904761913,0.3975086904761913
