año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles
2014,1,32677,,,
2014,2,32677,0.07,0.37,0.13
2014,3,32677,0.0,0.25,0.37
2014,4,32677,0.0,0.25,0.28
2014,5,32677,0.02,0.62,0.6
2014,6,32677,0.13,1.08,0.3
2014,7,32677,0.03,1.46,0.1
2014,8,32677,0.21,1.15,0.41
2014,9,32677,0.21,0.95,0.15
2014,10,32677,0.09,0.85,0.38
2014,11,32677,,,
2014,12,32677,0.28,1.23,0.41
2014,13,32677,0.0,0.78,0.45
2014,14,32677,0.08,0.56,0.69
2014,15,32677,0.18,0.72,0.76
2014,16,32677,0.0,0.96,0.28
2014,17,32677,0.14,1.14,0.11
2014,18,32677,0.08,0.69,0.31
2014,19,32677,0.04,0.57,0.11
2014,20,32677,0.19,0.8,0.15
2014,21,32677,0.14,0.94,0.26
2014,22,32677,0.12,0.5,0.4
2014,23,32677,0.08,0.33,0.05
2014,24,32677,0.06,0.57,0.27
2014,25,32677,0.07,0.63,0.04
2014,26,32677,0.31,0.68,0.04
2014,27,32677,0.04,0.56,0.19
2014,28,32677,0.16,1.07,0.16
2014,29,32677,0.27,0.65,0.13
2014,30,32677,0.13,1.17,0.13
2014,31,32677,0.33,1.61,0.96
2014,32,32677,0.51,6.25,2.41
2014,33,32677,0.02,0.46,0.27
2014,34,32677,0.11,0.59,0.06
2014,35,32677,0.36,1.77,0.22
2014,36,32677,0.1,1.57,0.08
2014,37,32677,0.26,1.24,0.28
2014,38,32677,0.42,2.14,0.39
2014,39,32677,0.29,2.18,0.11
2014,40,32677,0.37,2.84,0.08
2014,41,32677,0.48,2.79,0.32
2014,42,32677,0.46,4.0,1.39
2014,43,32677,,,
2014,44,32677,,,
2014,45,32677,0.49,3.15,0.03
2014,46,32677,0.74,2.76,0.16
2014,47,32677,2.43,2.39,0.38
2014,48,32677,2.73,2.76,0.3
2014,49,32677,2.99,11.03,0.38
2014,50,32677,1.46,5.72,0.03
2014,51,32677,0.48,3.43,0.07
2014,52,32677,0.63,4.26,0.01
2015,1,32677,0.56,3.12,0.15
2015,2,32677,0.69,2.24,0.36
2015,3,32677,0.17,0.29,0.02
2015,4,32677,0.19,0.29,0.01
2015,5,32677,0.14,0.19,0.28
2015,6,32677,0.1,0.26,0.11
2015,7,32677,0.09,0.67,0.18
2015,8,32677,0.1,0.66,0.13
2015,9,32677,0.16,1.72,0.5
2015,10,32677,0.21,1.98,0.78
2015,11,32677,0.51,1.36,0.32
2015,12,32677,0.48,2.17,0.11
2015,13,32677,0.49,2.36,0.19
2015,14,32677,0.68,2.7,0.24
2015,15,32677,,,
2015,16,32677,,,
2015,17,32677,0.52,0.9,0.13
2015,18,32677,0.28,0.37,0.18
2015,19,32677,0.18,0.35,0.13
2015,20,32677,0.18,0.48,0.22
2015,21,32677,0.48,0.18,0.55
2015,22,32677,0.1,1.05,1.3
2015,23,32677,,,
2015,24,32677,,,
2015,25,32677,,,
2015,26,32677,,,
2015,27,32677,,,
2015,28,32677,,,
2015,29,32677,,,
2015,30,32677,,,
2015,31,32677,,,
2015,32,32677,,,
2015,33,32677,,,
2015,34,32677,0.0,0.02,0.25
2015,35,32677,0.0,0.13,0.42
2015,36,32677,0.0,0.16,0.11
2015,37,32677,0.01,0.19,0.48
2015,38,32677,0.0,0.31,0.59
2015,39,32677,,,
2015,40,32677,0.0,0.19,0.11
2015,41,32677,0.0,0.15,0.52
2015,42,32677,0.0,0.13,0.27
2015,43,32677,0.0,0.28,0.46
2015,44,32677,0.0,0.17,0.38
2015,45,32677,0.0,0.45,1.27
2015,46,32677,0.02,0.67,1.27
2015,47,32677,0.02,1.56,1.76
2015,48,32677,0.08,1.24,0.21
2015,49,32677,0.12,1.24,0.47
2015,50,32677,0.26,1.16,0.35
2015,51,32677,0.33,1.16,0.3
2015,52,32677,0.06,0.44,0.08
2016,1,32677,0.02,0.16,0.02
2016,2,32677,0.12,0.13,0.06
2016,3,32677,0.01,0.14,0.01
2016,4,32677,0.06,0.15,0.09
2016,5,32677,0.01,0.27,0.02
2016,6,32677,0.02,0.29,0.3
2016,7,32677,0.02,0.29,0.35
2016,8,32677,0.04,0.61,0.23
2016,9,32677,0.02,0.94,0.12
2016,10,32677,0.06,1.09,0.23
2016,11,32677,0.09,0.67,0.24
2016,12,32677,0.08,0.75,0.41
2016,13,32677,0.12,0.71,0.06
2016,14,32677,0.16,1.32,0.18
2016,15,32677,0.19,1.15,0.08
2016,16,32677,0.11,0.78,0.12
2016,17,32677,0.0,0.32,0.02
2016,18,32677,0.02,0.36,0.02
2016,19,32677,0.05,0.25,0.01
2016,20,32677,0.08,0.29,0.11
2016,21,32677,0.02,0.25,0.09
2016,22,32677,0.03,0.42,0.16
2016,23,32677,0.03,0.31,0.11
2016,24,32677,0.05,0.89,1.45
2016,25,32677,0.14,1.65,0.7
2016,26,32677,0.21,2.47,0.29
2016,27,32677,0.41,2.07,0.12
2016,28,32677,0.38,1.25,1.99
2016,29,32677,0.3,1.64,1.46
2016,30,32677,0.33,1.62,1.02
2016,31,32677,0.43,3.32,0.21
2016,32,32677,1.33,2.92,0.07
2016,33,32677,0.12,0.16,0.24
2016,34,32677,0.28,3.14,4.47
2016,35,32677,0.16,3.45,1.47
2016,36,32677,3.52,5.01,0.26
2016,37,32677,0.14,0.21,0.1
2016,38,32677,0.11,0.21,0.29
2016,39,32677,0.2,1.18,0.01
2016,40,32677,0.2,1.41,0.29
2016,41,32677,0.09,0.66,0.13
2016,42,32677,0.1,0.79,0.08
2016,43,32677,0.26,5.83,4.89
2016,44,32677,0.1,3.37,0.85
2016,45,32677,0.26,3.32,0.15
2016,46,32677,0.29,1.9,0.1
2016,47,32677,0.27,0.58,0.35
2016,48,32677,0.22,0.43,0.5
2016,49,32677,0.41,2.19,0.12
2016,50,32677,0.04,0.65,0.22
2016,51,32677,0.07,1.26,0.01
2016,52,32677,0.07,1.48,0.12
2017,1,32677,0.37,1.3,0.12
2017,2,32677,0.74,1.96,0.31
2017,3,32677,0.45,1.08,0.09
2017,4,32677,0.25,0.55,0.1
2017,5,32677,0.21,0.44,0.18
2017,6,32677,0.18,0.71,0.28
2017,7,32677,0.18,0.69,0.06
2017,8,32677,0.2,1.17,0.3
2017,9,32677,0.38,1.31,0.31
2017,10,32677,0.42,1.59,0.4
2017,11,32677,0.47,1.78,0.75
2017,12,32677,,,
2017,13,32677,,,
2017,14,32677,,,
2017,15,32677,,,
2017,16,32677,,,
2017,17,32677,,,
2017,18,32677,,,
2017,19,32677,,,
2017,20,32677,,,
2017,21,32677,,,
2017,22,32677,,,
2017,23,32677,,,
2017,24,32677,,,
2017,25,32677,,,
2017,26,32677,,,
2017,27,32677,,,
2017,28,32677,,,
2017,29,32677,,,
2017,30,32677,,,
2017,31,32677,,,
2017,32,32677,,,
2017,33,32677,0.0,0.0,0.0
2017,34,32677,0.0,0.06,0.08
2017,35,32677,0.0,0.19,0.14
2017,36,32677,0.0,0.32,0.32
2017,37,32677,0.0,0.32,0.01
2017,38,32677,0.01,0.05,0.21
2017,39,32677,0.01,0.16,0.26
2017,40,32677,0.01,0.25,0.35
2017,41,32677,0.01,0.11,0.05
2017,42,32677,0.0,0.12,0.01
2017,43,32677,0.0,0.05,0.06
2017,44,32677,0.0,0.06,0.04
2017,45,32677,0.01,0.06,0.06
2017,46,32677,0.0,0.03,0.04
2017,47,32677,0.01,0.09,0.03
2017,48,32677,0.01,0.06,0.05
2017,49,32677,0.01,0.24,0.02
2017,50,32677,0.02,0.1,0.02
2017,51,32677,0.0,0.11,0.01
2017,52,32677,0.01,0.07,0.01
2018,1,32677,0.02,0.07,0.02
2018,2,32677,0.01,0.08,0.0
2018,3,32677,0.02,0.04,0.01
2018,4,32677,0.0,0.05,0.0
2018,5,32677,0.04,0.03,0.01
2018,6,32677,0.01,0.02,0.02
2018,7,32677,0.02,0.05,0.02
2018,8,32677,0.01,0.04,0.01
2018,9,32677,0.0,0.03,0.02
2018,10,32677,0.0,0.04,0.03
2018,11,32677,0.02,0.03,0.01
2018,12,32677,0.03,0.03,0.01
2018,13,32677,0.01,0.07,0.02
2018,14,32677,0.02,0.12,0.09
2018,15,32677,0.03,0.09,0.01
2018,16,32677,0.04,0.08,0.02
2018,17,32677,0.02,0.18,0.02
2018,18,32677,0.04,0.13,0.0
2018,19,32677,0.03,0.15,0.0
2018,20,32677,0.02,0.08,0.0
2018,21,32677,0.03,0.09,0.05
2018,22,32677,0.05,0.13,0.02
2018,23,32677,0.04,0.1,0.07
2018,24,32677,0.05,0.23,0.13
2018,25,32677,0.06,0.66,0.15
2018,26,32677,0.15,1.07,0.29
2018,27,32677,0.28,1.54,1.13
2018,28,32677,0.14,0.86,2.39
2018,29,32677,0.18,1.35,2.71
2018,30,32677,0.27,4.16,3.85
2018,31,32677,0.26,2.93,1.22
2018,32,32677,0.23,2.29,1.16
2018,33,32677,0.3,2.86,0.67
2018,34,32677,0.37,1.42,0.07
2018,35,32677,0.36,1.08,0.14
2018,36,32677,0.24,0.76,0.11
2018,37,32677,0.28,1.02,0.1
2018,38,32677,0.28,0.98,0.1
2018,39,32677,0.21,1.92,0.09
2018,40,32677,0.24,1.23,0.05
2018,41,32677,0.36,1.07,0.38
2018,42,32677,0.16,1.01,0.33
2018,43,32677,0.17,1.73,0.98
2018,44,32677,0.22,3.52,0.93
2018,45,32677,0.27,6.52,0.35
2018,46,32677,0.15,2.04,0.81
2018,47,32677,0.48,2.05,0.98
2018,48,32677,0.34,5.86,0.74
2018,49,32677,0.4,3.95,0.58
2018,50,32677,0.49,0.65,0.15
2018,51,32677,0.49,0.68,0.79
2018,52,32677,0.46,1.26,0.62
2019,1,32677,0.4,1.46,0.28
2019,2,32677,0.42,3.08,0.98
2019,3,32677,0.45,4.62,1.15
2019,4,32677,0.45,3.15,0.15
2019,5,32677,0.45,4.2,0.45
2019,6,32677,,,
2019,7,32677,,,
2019,8,32677,,,
2019,9,32677,,,
2019,10,32677,,,
2019,11,32677,,,
2019,12,32677,,,
2019,13,32677,,,
2019,14,32677,,,
2019,15,32677,,,
2019,16,32677,,,
2019,17,32677,,,
2019,18,32677,,,
2019,19,32677,,,
2019,20,32677,,,
2019,21,32677,,,
2019,22,32677,,,
2019,23,32677,,,
2019,24,32677,,,
2019,25,32677,,,
2019,26,32677,,,
2019,27,32677,,,
2019,28,32677,,,
2019,29,32677,,,
2019,30,32677,,,
2019,31,32677,,,
2019,32,32677,,,
2019,33,32677,,,
2019,34,32677,0.0,0.0,0.0
2019,35,32677,0.0,0.0,0.0
2019,36,32677,0.0,0.0,0.35
2019,37,32677,0.0,0.02,0.01
2019,38,32677,0.0,0.06,1.51
2019,39,32677,0.0,0.73,0.08
2019,40,32677,0.0,0.88,0.49
2019,41,32677,0.08,0.45,0.46
2019,42,32677,0.06,0.66,0.68
2019,43,32677,0.07,1.48,0.11
2019,44,32677,0.04,0.75,0.09
2019,45,32677,0.22,1.07,0.06
2019,46,32677,0.14,0.7,0.12
2019,47,32677,0.18,0.76,0.03
2019,48,32677,0.16,0.64,0.06
2019,49,32677,0.13,0.49,0.14
2019,50,32677,0.14,0.76,0.08
2019,51,32677,0.15,0.89,0.03
2019,52,32677,0.15,0.67,0.07
2020,1,32677,0.19,0.42,0.05
2020,2,32677,0.1,0.58,0.02
2020,3,32677,0.21,0.49,0.06
2020,4,32677,0.18,0.51,0.08
2020,5,32677,0.22,0.62,0.06
2020,6,32677,0.12,0.62,0.04
2020,7,32677,0.17,0.74,0.02
2020,8,32677,0.13,0.43,0.08
2020,9,32677,0.21,0.49,0.07
2020,10,32677,0.18,0.53,0.18
2020,11,32677,0.16,0.65,0.25
2020,12,32677,0.13,0.69,0.28
2020,13,32677,0.19,0.9,0.22
2020,14,32677,0.15,0.81,0.09
2020,15,32677,0.08,0.95,0.21
2020,16,32677,0.17,0.86,0.16
2020,17,32677,0.15,1.25,0.09
2020,18,32677,0.26,0.87,0.07
2020,19,32677,0.19,0.71,0.14
2020,20,32677,0.19,0.65,0.05
2020,21,32677,0.26,0.55,0.09
