año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles
2014,1,102424,0.43,0.25,0.08
2014,2,102424,0.38,0.17,0.05
2014,3,102424,0.3,0.1,0.08
2014,4,102424,0.17,0.25,0.05
2014,5,102424,0.28,0.2,0.13
2014,6,102424,0.45,0.28,0.22
2014,7,102424,0.3,0.22,0.13
2014,8,102424,0.63,0.25,0.1
2014,9,102424,0.68,0.35,0.15
2014,10,102424,0.75,0.52,0.17
2014,11,102424,0.95,0.73,0.17
2014,12,102424,1.02,0.57,0.13
2014,13,102424,0.95,0.8,0.08
2014,14,102424,0.73,0.73,0.08
2014,15,102424,0.98,0.47,0.0
2014,16,102424,0.63,0.35,0.0
2014,17,102424,0.55,0.38,0.05
2014,18,102424,0.63,0.47,0.1
2014,19,102424,0.32,0.15,0.03
2014,20,102424,0.47,0.4,0.17
2014,21,102424,0.5,0.4,0.25
2014,22,102424,0.47,0.4,0.17
2014,23,102424,0.7,0.3,0.17
2014,24,102424,0.7,0.32,0.28
2014,25,102424,0.55,0.43,0.22
2014,26,102424,0.73,0.55,0.13
2014,27,102424,0.7,0.52,0.17
2014,28,102424,0.68,0.5,0.4
2014,29,102424,0.7,0.52,0.3
2014,30,102424,0.68,0.55,0.45
2014,31,102424,0.75,0.88,0.15
2014,32,102424,1.33,1.52,0.2
2014,33,102424,1.58,1.08,0.13
2014,34,102424,0.0,0.0,0.17
2014,35,102424,0.1,0.1,0.17
2014,36,102424,0.28,0.1,0.08
2014,37,102424,0.15,0.2,0.3
2014,38,102424,0.4,0.25,0.2
2014,39,102424,0.45,0.3,0.15
2014,40,102424,0.57,0.43,0.05
2014,41,102424,1.0,0.6,0.08
2014,42,102424,1.13,0.7,0.15
2014,43,102424,1.0,0.93,0.1
2014,44,102424,1.1,0.73,0.32
2014,45,102424,1.3,1.02,0.13
2014,46,102424,1.35,1.15,0.15
2014,47,102424,2.08,1.27,0.05
2014,48,102424,2.4,1.23,0.13
2014,49,102424,1.95,1.55,0.28
2014,50,102424,2.03,1.08,0.4
2014,51,102424,2.55,1.4,0.32
2014,52,102424,2.53,1.5,0.4
2015,1,102424,2.6,1.8,0.35
2015,2,102424,2.53,1.88,0.35
2015,3,102424,1.95,1.77,0.35
2015,4,102424,2.4,1.8,0.4
2015,5,102424,2.58,1.9,0.38
2015,6,102424,2.63,2.0,0.4
2015,7,102424,2.7,2.15,0.3
2015,8,102424,2.83,2.13,0.17
2015,9,102424,2.85,2.25,0.15
2015,10,102424,3.0,2.22,0.25
2015,11,102424,3.2,1.75,0.25
2015,12,102424,2.8,1.7,0.5
2015,13,102424,NA,NA,NA
2015,14,102424,NA,NA,NA
2015,15,102424,NA,NA,NA
2015,16,102424,NA,NA,NA
2015,17,102424,NA,NA,NA
2015,18,102424,NA,NA,NA
2015,19,102424,NA,NA,NA
2015,20,102424,NA,NA,NA
2015,21,102424,NA,NA,NA
2015,22,102424,NA,NA,NA
2015,23,102424,NA,NA,NA
2015,24,102424,NA,NA,NA
2015,25,102424,NA,NA,NA
2015,26,102424,NA,NA,NA
2015,27,102424,NA,NA,NA
2015,28,102424,NA,NA,NA
2015,29,102424,NA,NA,NA
2015,30,102424,NA,NA,NA
2015,31,102424,NA,NA,NA
2015,32,102424,NA,NA,NA
2015,33,102424,NA,NA,NA
2015,34,102424,NA,NA,NA
2015,35,102424,NA,NA,NA
2015,36,102424,NA,NA,NA
2015,37,102424,NA,NA,NA
2015,38,102424,NA,NA,NA
2015,39,102424,NA,NA,NA
2015,40,102424,NA,NA,NA
2015,41,102424,NA,NA,NA
2015,42,102424,0.0,0.0,0.0
2015,43,102424,0.0,0.03,0.03
2015,44,102424,0.0,0.05,0.03
2015,45,102424,0.05,0.15,0.15
2015,46,102424,0.05,0.2,0.2
2015,47,102424,0.15,0.22,0.13
2015,48,102424,0.08,0.0,0.08
2015,49,102424,0.13,0.08,0.3
2015,50,102424,0.17,0.35,0.13
2015,51,102424,0.47,0.32,0.25
2015,52,102424,0.43,0.35,0.32
2016,1,102424,0.47,0.22,0.25
2016,2,102424,0.5,0.32,0.15
2016,3,102424,0.32,0.38,0.08
2016,4,102424,0.6,0.38,0.17
2016,5,102424,0.47,0.65,0.1
2016,6,102424,0.43,0.52,0.13
2016,7,102424,0.73,0.52,0.2
2016,8,102424,0.7,0.55,0.22
2016,9,102424,0.63,0.55,0.13
2016,10,102424,0.63,0.25,0.15
2016,11,102424,0.4,0.35,0.13
2016,12,102424,0.28,0.35,0.15
2016,13,102424,0.35,0.32,0.28
2016,14,102424,0.43,0.4,0.28
2016,15,102424,0.32,0.4,0.3
2016,16,102424,0.55,0.5,0.32
2016,17,102424,0.52,0.5,0.28
2016,18,102424,0.52,0.47,0.2
2016,19,102424,0.6,0.43,0.22
2016,20,102424,0.57,0.5,0.17
2016,21,102424,0.5,0.52,0.2
2016,22,102424,0.5,0.4,0.25
2016,23,102424,0.43,0.4,0.17
2016,24,102424,0.4,0.4,0.2
2016,25,102424,0.45,0.38,0.13
2016,26,102424,0.6,0.38,0.17
2016,27,102424,0.32,0.25,0.2
2016,28,102424,0.52,0.27,0.12
2016,29,102424,0.47,0.43,0.1
2016,30,102424,0.45,0.45,0.1
2016,31,102424,0.45,0.47,0.1
2016,32,102424,0.6,0.43,0.05
2016,33,102424,0.52,0.38,0.1
2016,34,102424,0.68,0.35,0.17
2016,35,102424,0.65,0.4,0.2
2016,36,102424,0.5,0.38,0.2
2016,37,102424,0.65,0.43,0.2
2016,38,102424,0.6,0.43,0.25
2016,39,102424,0.6,0.38,0.17
2016,40,102424,0.65,0.43,0.15
2016,41,102424,0.7,0.57,0.22
2016,42,102424,0.55,0.47,0.15
2016,43,102424,0.7,0.45,0.25
2016,44,102424,0.75,0.57,0.17
2016,45,102424,0.6,0.5,0.25
2016,46,102424,0.9,0.52,0.15
2016,47,102424,0.95,0.57,0.25
2016,48,102424,0.8,0.63,0.22
2016,49,102424,1.05,0.57,0.22
2016,50,102424,1.4,0.85,0.25
2016,51,102424,1.0,0.95,0.28
2016,52,102424,1.25,0.8,0.35
2017,1,102424,1.5,0.85,0.32
2017,2,102424,1.02,0.82,0.3
2017,3,102424,1.1,0.88,0.25
2017,4,102424,1.15,0.95,0.3
2017,5,102424,0.85,0.93,0.28
2017,6,102424,1.5,1.15,0.3
