anio_chile,semana_chile,anio_noruega,semana_noruega,temperatura_chile_C,temperatura_noruega_C,delta_temperatura_C,delta_temperatura_abs_C,salinidad_chile_PSU,salinidad_noruega_PSU,delta_salinidad_PSU,delta_salinidad_abs_PSU,cumple_temperatura,cumple_salinidad,cumple_ambos_criterios,comparabilidad_general
2014,1,2014,27,14.942,9.932,5.01,5.01,33.137,33.317,-0.18,0.18,False,True,False,No comparable
2014,2,2014,28,15.428,12.774,2.654,2.654,33.182,32.679,0.503,0.503,True,True,True,Comparable
2014,3,2014,29,16.371,15.229,1.142,1.142,33.24,32.441,0.799,0.799,True,True,True,Comparable
2014,4,2014,30,15.815,17.774,-1.959,1.959,33.238,32.034,1.204,1.204,True,True,True,Comparable
2014,5,2014,31,15.504,18.677,-3.173,3.173,33.246,31.748,1.498,1.498,False,True,False,No comparable
2014,6,2014,32,15.325,18.308,-2.983,2.983,33.251,31.266,1.985,1.985,True,True,True,Comparable
2014,7,2014,33,15.613,16.647,-1.034,1.034,33.28,31.412,1.868,1.868,True,True,True,Comparable
2014,8,2014,34,15.911,14.938,0.973,0.973,33.321,31.923,1.398,1.398,True,True,True,Comparable
2014,9,2014,35,15.515,14.54,0.975,0.975,33.396,32.042,1.354,1.354,True,True,True,Comparable
2014,10,2014,36,15.511,15.417,0.094,0.094,33.424,31.042,2.382,2.382,True,True,True,Comparable
2014,11,2014,37,14.904,15.592,-0.688,0.688,33.427,30.679,2.748,2.748,True,True,True,Comparable
2014,12,2014,38,14.462,15.746,-1.284,1.284,33.454,30.893,2.561,2.561,True,True,True,Comparable
2014,13,2014,39,14.181,14.775,-0.594,0.594,33.484,31.423,2.061,2.061,True,True,True,Comparable
2014,14,2014,40,13.765,14.221,-0.456,0.456,33.509,31.857,1.652,1.652,True,True,True,Comparable
2014,15,2014,41,13.538,13.689,-0.151,0.151,33.513,32.296,1.217,1.217,True,True,True,Comparable
2014,16,2014,42,13.088,13.174,-0.086,0.086,33.504,32.571,0.933,0.933,True,True,True,Comparable
2014,17,2014,43,12.885,13.288,-0.403,0.403,33.499,32.715,0.784,0.784,True,True,True,Comparable
2014,18,2014,44,12.524,12.715,-0.191,0.191,33.491,32.738,0.753,0.753,True,True,True,Comparable
2014,19,2014,45,12.172,12.208,-0.036,0.036,33.434,32.401,1.033,1.033,True,True,True,Comparable
2014,20,2014,46,11.927,11.669,0.258,0.258,33.423,32.034,1.389,1.389,True,True,True,Comparable
2014,21,2014,47,11.676,11.267,0.409,0.409,33.383,32.094,1.289,1.289,True,True,True,Comparable
2014,22,2014,48,11.44,10.714,0.726,0.726,33.417,32.457,0.96,0.96,True,True,True,Comparable
2014,23,2014,49,10.908,10.164,0.744,0.744,33.157,32.756,0.401,0.401,True,True,True,Comparable
2014,24,2014,50,10.741,9.641,1.1,1.1,33.188,32.879,0.309,0.309,True,True,True,Comparable
2014,25,2014,51,10.477,8.978,1.499,1.499,32.921,33.044,-0.123,0.123,True,True,True,Comparable
2014,26,2014,52,10.429,8.19,2.239,2.239,32.868,33.066,-0.198,0.198,True,True,True,Comparable
2014,27,2015,1,10.27,8.164,2.106,2.106,32.78,33.504,-0.724,0.724,True,True,True,Comparable
2014,28,2015,2,9.976,8.271,1.705,1.705,32.515,33.59,-1.075,1.075,True,True,True,Comparable
2014,29,2015,3,10.005,8.158,1.847,1.847,32.471,33.505,-1.034,1.034,True,True,True,Comparable
2014,30,2015,4,9.84,7.809,2.031,2.031,32.523,33.426,-0.903,0.903,True,True,True,Comparable
2014,31,2015,5,9.911,7.409,2.502,2.502,32.711,33.369,-0.658,0.658,True,True,True,Comparable
2014,32,2015,6,9.987,7.245,2.742,2.742,32.773,33.413,-0.64,0.64,True,True,True,Comparable
2014,33,2015,7,9.845,7.004,2.841,2.841,32.676,33.436,-0.76,0.76,True,True,True,Comparable
2014,34,2015,8,10.159,7.036,3.123,3.123,32.705,33.725,-1.02,1.02,False,True,False,No comparable
2014,35,2015,9,10.457,6.562,3.895,3.895,32.58,33.711,-1.131,1.131,False,True,False,No comparable
2014,36,2015,10,10.735,6.238,4.497,4.497,32.598,33.627,-1.029,1.029,False,True,False,No comparable
2014,37,2015,11,10.796,6.237,4.559,4.559,32.532,33.563,-1.031,1.031,False,True,False,No comparable
2014,38,2015,12,10.939,6.217,4.722,4.722,32.406,33.415,-1.009,1.009,False,True,False,No comparable
2014,39,2015,13,10.86,6.16,4.7,4.7,32.412,33.357,-0.945,0.945,False,True,False,No comparable
2014,40,2015,14,11.246,6.22,5.026,5.026,32.304,33.347,-1.043,1.043,False,True,False,No comparable
2014,41,2015,15,11.428,6.35,5.078,5.078,32.495,33.293,-0.798,0.798,False,True,False,No comparable
2014,42,2015,16,11.579,6.462,5.117,5.117,32.658,33.153,-0.495,0.495,False,True,False,No comparable
2014,43,2015,17,12.018,6.879,5.139,5.139,32.596,33.182,-0.586,0.586,False,True,False,No comparable
2014,44,2015,18,12.214,7.213,5.001,5.001,32.649,33.119,-0.47,0.47,False,True,False,No comparable
2014,45,2015,19,12.218,7.573,4.645,4.645,32.711,32.892,-0.181,0.181,False,True,False,No comparable
2014,46,2015,20,12.745,8.066,4.679,4.679,32.775,32.605,0.17,0.17,False,True,False,No comparable
2014,47,2015,21,13.507,8.59,4.917,4.917,32.812,32.457,0.355,0.355,False,True,False,No comparable
2014,48,2015,22,13.962,9.203,4.759,4.759,32.854,32.318,0.536,0.536,False,True,False,No comparable
2014,49,2015,23,14.845,9.779,5.066,5.066,32.901,32.268,0.633,0.633,False,True,False,No comparable
2014,50,2015,24,14.863,10.127,4.736,4.736,32.994,32.129,0.865,0.865,False,True,False,No comparable
2014,51,2015,25,14.669,10.929,3.74,3.74,33.122,31.637,1.485,1.485,False,True,False,No comparable
2014,52,2015,26,14.237,11.375,2.862,2.862,33.121,31.755,1.366,1.366,True,True,True,Comparable
2015,1,2015,27,14.511,12.406,2.105,2.105,33.083,31.552,1.531,1.531,True,True,True,Comparable
2015,2,2015,28,14.717,11.771,2.946,2.946,33.141,31.622,1.519,1.519,True,True,True,Comparable
2015,3,2015,29,14.721,12.032,2.689,2.689,33.168,31.973,1.195,1.195,True,True,True,Comparable
2015,4,2015,30,15.564,12.986,2.578,2.578,33.19,32.013,1.177,1.177,True,True,True,Comparable
2015,5,2015,31,16.194,12.249,3.945,3.945,33.182,32.451,0.731,0.731,False,True,False,No comparable
2015,6,2015,32,16.373,13.484,2.889,2.889,33.204,32.526,0.678,0.678,True,True,True,Comparable
2015,7,2015,33,15.489,14.673,0.816,0.816,33.247,32.065,1.182,1.182,True,True,True,Comparable
2015,8,2015,34,14.848,15.615,-0.767,0.767,33.325,31.506,1.819,1.819,True,True,True,Comparable
2015,9,2015,35,14.552,16.452,-1.9,1.9,33.392,30.07,3.322,3.322,True,False,False,No comparable
2015,10,2015,36,14.667,15.792,-1.125,1.125,33.385,30.22,3.165,3.165,True,False,False,No comparable
2015,11,2015,37,14.969,14.372,0.597,0.597,33.363,31.315,2.048,2.048,True,True,True,Comparable
2015,12,2015,38,14.697,14.599,0.098,0.098,33.354,30.925,2.429,2.429,True,True,True,Comparable
2015,13,2015,39,14.603,14.183,0.42,0.42,33.401,30.78,2.621,2.621,True,True,True,Comparable
2015,14,2015,40,14.197,13.991,0.206,0.206,33.406,30.513,2.893,2.893,True,True,True,Comparable
2015,15,2015,41,14.069,13.592,0.477,0.477,33.391,30.514,2.877,2.877,True,True,True,Comparable
2015,16,2015,42,13.917,13.223,0.694,0.694,33.372,30.546,2.826,2.826,True,True,True,Comparable
2015,17,2015,43,13.569,12.627,0.942,0.942,33.373,30.641,2.732,2.732,True,True,True,Comparable
2015,18,2015,44,13.381,11.935,1.446,1.446,33.375,31.15,2.225,2.225,True,True,True,Comparable
2015,19,2015,45,12.945,11.796,1.149,1.149,33.39,31.838,1.552,1.552,True,True,True,Comparable
2015,20,2015,46,12.724,11.249,1.475,1.475,33.332,32.36,0.972,0.972,True,True,True,Comparable
2015,21,2015,47,12.305,10.451,1.854,1.854,33.284,32.42,0.864,0.864,True,True,True,Comparable
2015,22,2015,48,11.896,9.875,2.021,2.021,33.221,32.487,0.734,0.734,True,True,True,Comparable
2015,23,2015,49,11.806,9.337,2.469,2.469,33.076,32.592,0.484,0.484,True,True,True,Comparable
2015,24,2015,50,11.484,8.957,2.527,2.527,32.955,32.966,-0.011,0.011,True,True,True,Comparable
2015,25,2015,51,11.174,8.655,2.519,2.519,33.0,33.084,-0.084,0.084,True,True,True,Comparable
2015,26,2015,52,11.004,8.869,2.135,2.135,32.991,33.267,-0.276,0.276,True,True,True,Comparable
2015,27,2016,1,10.909,7.98,2.929,2.929,33.011,33.4,-0.389,0.389,True,True,True,Comparable
2015,28,2016,2,10.803,7.463,3.34,3.34,33.002,33.476,-0.474,0.474,False,True,False,No comparable
2015,29,2016,3,10.585,7.02,3.565,3.565,33.015,33.506,-0.491,0.491,False,True,False,No comparable
2015,30,2016,4,10.459,7.028,3.431,3.431,32.845,33.593,-0.748,0.748,False,True,False,No comparable
2015,31,2016,5,10.528,6.768,3.76,3.76,32.706,33.642,-0.936,0.936,False,True,False,No comparable
2015,32,2016,6,10.458,6.582,3.876,3.876,32.708,33.643,-0.935,0.935,False,True,False,No comparable
