año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,zona,semana_homologada,año_homologado,fecha_homologada
2014,1,110758,3.8,1.65,1.6,11.579,33.566,Chile,Verano,7.049999999999999,Aysén,27,2014,2014-06-30
2014,2,110758,2.42,2.38,2.47,12.063,33.586,Chile,Verano,7.27,Aysén,28,2014,2014-07-07
2014,3,110758,3.78,3.28,4.4,13.511,33.472,Chile,Verano,11.46,Aysén,29,2014,2014-07-14
2014,4,110758,4.38,3.03,1.1,12.662,33.529,Chile,Verano,8.51,Aysén,30,2014,2014-07-21
2014,5,110758,6.6,5.45,1.77,12.076,33.591,Chile,Verano,13.82,Aysén,31,2014,2014-07-28
2014,6,110758,0.0,0.03,1.05,11.976,33.598,Chile,Verano,1.08,Aysén,32,2014,2014-08-04
2014,7,110758,0.0,0.2,0.45,12.448,33.5,Chile,Verano,0.65,Aysén,33,2014,2014-08-11
2014,8,110758,0.08,0.65,0.43,12.719,33.497,Chile,Verano,1.16,Aysén,34,2014,2014-08-18
2014,9,110758,0.45,1.92,4.05,12.549,33.575,Chile,Verano,6.42,Aysén,35,2014,2014-08-25
2014,10,110758,1.85,4.55,2.03,13.129,33.544,Chile,Verano,8.43,Aysén,36,2014,2014-09-01
2014,11,110758,4.35,3.78,2.7,12.18,33.591,Chile,Verano,10.829999999999998,Aysén,37,2014,2014-09-08
2014,12,110758,4.57,3.65,2.88,11.099,33.693,Chile,Verano,11.1,Aysén,38,2014,2014-09-15
2014,13,110758,4.0,3.53,2.9,11.077,33.663,Chile,Verano,10.43,Aysén,39,2014,2014-09-22
2014,14,110758,3.75,2.15,1.45,10.721,33.6,Chile,Otoño,7.35,Aysén,40,2014,2014-09-29
2014,15,110758,8.75,4.13,2.4,11.074,33.561,Chile,Otoño,15.28,Aysén,41,2014,2014-10-06
2014,16,110758,8.32,4.28,3.28,10.477,33.613,Chile,Otoño,15.88,Aysén,42,2014,2014-10-13
2014,17,110758,0.0,0.0,2.88,10.667,33.512,Chile,Otoño,2.88,Aysén,43,2014,2014-10-20
2014,18,110758,0.22,0.28,3.3,10.602,33.541,Chile,Otoño,3.8,Aysén,44,2014,2014-10-27
2014,19,110758,1.42,1.27,2.22,10.49,33.497,Chile,Otoño,4.91,Aysén,45,2014,2014-11-03
2014,20,110758,2.17,2.55,3.3,10.176,33.434,Chile,Otoño,8.02,Aysén,46,2014,2014-11-10
2014,21,110758,2.67,2.75,3.15,9.772,33.272,Chile,Otoño,8.57,Aysén,47,2014,2014-11-17
2014,22,110758,3.45,3.38,3.63,9.855,33.454,Chile,Otoño,10.46,Aysén,48,2014,2014-11-24
2014,23,110758,3.72,3.92,4.68,9.49,33.26,Chile,Otoño,12.32,Aysén,49,2014,2014-12-01
2014,24,110758,2.5,4.2,4.6,9.522,33.389,Chile,Otoño,11.3,Aysén,50,2014,2014-12-08
2014,25,110758,2.1,5.4,7.2,9.481,33.313,Chile,Otoño,14.7,Aysén,51,2014,2014-12-15
2014,26,110758,NA,NA,NA,9.645,33.362,Chile,Otoño,NA,Aysén,52,2014,2014-12-22
2014,27,110758,NA,NA,NA,9.64,33.416,Chile,Invierno,NA,Aysén,1,2015,2014-12-29
2014,28,110758,NA,NA,NA,9.2,33.293,Chile,Invierno,NA,Aysén,2,2015,2015-01-05
2014,29,110758,NA,NA,NA,9.243,33.293,Chile,Invierno,NA,Aysén,3,2015,2015-01-12
2014,30,110758,NA,NA,NA,9.017,33.274,Chile,Invierno,NA,Aysén,4,2015,2015-01-19
2014,31,110758,NA,NA,NA,9.01,33.268,Chile,Invierno,NA,Aysén,5,2015,2015-01-26
2014,32,110758,NA,NA,NA,9.218,33.316,Chile,Invierno,NA,Aysén,6,2015,2015-02-02
2014,33,110758,NA,NA,NA,9.041,33.291,Chile,Invierno,NA,Aysén,7,2015,2015-02-09
2014,34,110758,NA,NA,NA,9.254,33.214,Chile,Invierno,NA,Aysén,8,2015,2015-02-16
2014,35,110758,NA,NA,NA,9.49,33.147,Chile,Invierno,NA,Aysén,9,2015,2015-02-23
2014,36,110758,NA,NA,NA,9.829,33.169,Chile,Invierno,NA,Aysén,10,2015,2015-03-02
2014,37,110758,NA,NA,NA,9.746,33.192,Chile,Invierno,NA,Aysén,11,2015,2015-03-09
2014,38,110758,NA,NA,NA,9.694,33.161,Chile,Invierno,NA,Aysén,12,2015,2015-03-16
2014,39,110758,NA,NA,NA,9.644,33.144,Chile,Invierno,NA,Aysén,13,2015,2015-03-23
2014,40,110758,NA,NA,NA,10.028,32.973,Chile,Primavera,NA,Aysén,14,2015,2015-03-30
2014,41,110758,NA,NA,NA,10.18,33.071,Chile,Primavera,NA,Aysén,15,2015,2015-04-06
2014,42,110758,NA,NA,NA,10.266,33.076,Chile,Primavera,NA,Aysén,16,2015,2015-04-13
2014,43,110758,NA,NA,NA,10.967,33.02,Chile,Primavera,NA,Aysén,17,2015,2015-04-20
2014,44,110758,NA,NA,NA,10.804,33.077,Chile,Primavera,NA,Aysén,18,2015,2015-04-27
2014,45,110758,NA,NA,NA,10.785,33.128,Chile,Primavera,NA,Aysén,19,2015,2015-05-04
2014,46,110758,NA,NA,NA,11.168,33.14,Chile,Primavera,NA,Aysén,20,2015,2015-05-11
2014,47,110758,NA,NA,NA,11.721,33.092,Chile,Primavera,NA,Aysén,21,2015,2015-05-18
2014,48,110758,NA,NA,NA,12.125,33.087,Chile,Primavera,NA,Aysén,22,2015,2015-05-25
2014,49,110758,NA,NA,NA,12.874,33.078,Chile,Primavera,NA,Aysén,23,2015,2015-06-01
2014,50,110758,NA,NA,NA,12.676,33.162,Chile,Primavera,NA,Aysén,24,2015,2015-06-08
2014,51,110758,NA,NA,NA,11.849,33.341,Chile,Primavera,NA,Aysén,25,2015,2015-06-15
2014,52,110758,NA,NA,NA,11.695,33.421,Chile,Primavera,NA,Aysén,26,2015,2015-06-22
2015,1,110758,NA,NA,NA,12.519,33.291,Chile,Verano,NA,Aysén,27,2015,2015-06-29
2015,2,110758,NA,NA,NA,12.002,33.428,Chile,Verano,NA,Aysén,28,2015,2015-07-06
2015,3,110758,NA,NA,NA,11.999,33.479,Chile,Verano,NA,Aysén,29,2015,2015-07-13
2015,4,110758,NA,NA,NA,12.857,33.438,Chile,Verano,NA,Aysén,30,2015,2015-07-20
2015,5,110758,NA,NA,NA,13.867,33.332,Chile,Verano,NA,Aysén,31,2015,2015-07-27
2015,6,110758,NA,NA,NA,13.913,33.302,Chile,Verano,NA,Aysén,32,2015,2015-08-03
2015,7,110758,NA,NA,NA,12.453,33.496,Chile,Verano,NA,Aysén,33,2015,2015-08-10
2015,8,110758,NA,NA,NA,11.579,33.614,Chile,Verano,NA,Aysén,34,2015,2015-08-17
2015,9,110758,NA,NA,NA,11.144,33.679,Chile,Verano,NA,Aysén,35,2015,2015-08-24
