año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales
2014,1,102424,0.43,0.25,0.08,14.942,33.137,Chile,Verano,0.7599999999999999
2014,2,102424,0.38,0.17,0.05,15.428,33.182,Chile,Verano,0.6000000000000001
2014,3,102424,0.3,0.1,0.08,16.371,33.24,Chile,Verano,0.48000000000000004
2014,4,102424,0.17,0.25,0.05,15.815,33.238,Chile,Verano,0.47000000000000003
2014,5,102424,0.28,0.2,0.13,15.504,33.246,Chile,Verano,0.6100000000000001
2014,6,102424,0.45,0.28,0.22,15.325,33.251,Chile,Verano,0.95
2014,7,102424,0.3,0.22,0.13,15.613,33.28,Chile,Verano,0.65
2014,8,102424,0.63,0.25,0.1,15.911,33.321,Chile,Verano,0.98
2014,9,102424,0.68,0.35,0.15,15.515,33.396,Chile,Verano,1.18
2014,10,102424,0.75,0.52,0.17,15.511,33.424,Chile,Verano,1.44
2014,11,102424,0.95,0.73,0.17,14.904,33.427,Chile,Verano,1.8499999999999999
2014,12,102424,1.02,0.57,0.13,14.462,33.454,Chile,Verano,1.7199999999999998
2014,13,102424,0.95,0.8,0.08,14.181,33.484,Chile,Verano,1.83
2014,14,102424,0.73,0.73,0.08,13.765,33.509,Chile,Otoño,1.54
2014,15,102424,0.98,0.47,0.0,13.538,33.513,Chile,Otoño,1.45
2014,16,102424,0.63,0.35,0.0,13.088,33.504,Chile,Otoño,0.98
2014,17,102424,0.55,0.38,0.05,12.885,33.499,Chile,Otoño,0.9800000000000001
2014,18,102424,0.63,0.47,0.1,12.524,33.491,Chile,Otoño,1.2000000000000002
2014,19,102424,0.32,0.15,0.03,12.172,33.434,Chile,Otoño,0.5
2014,20,102424,0.47,0.4,0.17,11.927,33.423,Chile,Otoño,1.04
2014,21,102424,0.5,0.4,0.25,11.676,33.383,Chile,Otoño,1.15
2014,22,102424,0.47,0.4,0.17,11.44,33.417,Chile,Otoño,1.04
2014,23,102424,0.7,0.3,0.17,10.908,33.157,Chile,Otoño,1.17
2014,24,102424,0.7,0.32,0.28,10.741,33.188,Chile,Otoño,1.3
