año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales
2014,1,120128,NA,NA,NA,8.199,33.651,Chile,Verano,NA
2014,2,120128,NA,NA,NA,8.443,33.635,Chile,Verano,NA
2014,3,120128,NA,NA,NA,8.738,33.627,Chile,Verano,NA
2014,4,120128,NA,NA,NA,8.83,33.633,Chile,Verano,NA
2014,5,120128,0.0,0.0,0.0,8.835,33.632,Chile,Verano,0.0
2014,6,120128,NA,NA,NA,8.999,33.626,Chile,Verano,NA
2014,7,120128,NA,NA,NA,9.008,33.629,Chile,Verano,NA
2014,8,120128,NA,NA,NA,9.141,33.613,Chile,Verano,NA
2014,9,120128,0.0,0.0,0.0,9.243,33.601,Chile,Verano,0.0
2014,10,120128,NA,NA,NA,9.127,33.589,Chile,Verano,NA
2014,11,120128,NA,NA,NA,8.756,33.595,Chile,Verano,NA
2014,12,120128,NA,NA,NA,8.573,33.595,Chile,Verano,NA
2014,13,120128,0.0,0.0,0.0,8.506,33.555,Chile,Verano,0.0
2014,14,120128,NA,NA,NA,8.45,33.577,Chile,Otoño,NA
2014,15,120128,NA,NA,NA,8.454,33.57,Chile,Otoño,NA
2014,16,120128,NA,NA,NA,8.166,33.561,Chile,Otoño,NA
2014,17,120128,0.0,0.0,0.0,8.108,33.545,Chile,Otoño,0.0
2014,18,120128,NA,NA,NA,7.926,33.535,Chile,Otoño,NA
2014,19,120128,NA,NA,NA,7.707,33.537,Chile,Otoño,NA
2014,20,120128,NA,NA,NA,7.376,33.539,Chile,Otoño,NA
2014,21,120128,NA,NA,NA,7.182,33.533,Chile,Otoño,NA
2014,22,120128,0.0,0.0,0.0,7.117,33.51,Chile,Otoño,0.0
2014,23,120128,NA,NA,NA,6.684,33.515,Chile,Otoño,NA
2014,24,120128,NA,NA,NA,6.624,33.508,Chile,Otoño,NA
2014,25,120128,NA,NA,NA,6.471,33.508,Chile,Otoño,NA
2014,26,120128,0.0,0.0,0.0,6.339,33.506,Chile,Otoño,0.0
2014,27,120128,NA,NA,NA,6.191,33.488,Chile,Invierno,NA
2014,28,120128,NA,NA,NA,5.902,33.502,Chile,Invierno,NA
2014,29,120128,NA,NA,NA,5.817,33.492,Chile,Invierno,NA
2014,30,120128,NA,NA,NA,5.365,33.509,Chile,Invierno,NA
2014,31,120128,0.0,0.0,0.0,5.307,33.498,Chile,Invierno,0.0
2014,32,120128,NA,NA,NA,5.305,33.493,Chile,Invierno,NA
2014,33,120128,NA,NA,NA,5.181,33.496,Chile,Invierno,NA
2014,34,120128,NA,NA,NA,5.103,33.5,Chile,Invierno,NA
2014,35,120128,0.0,0.0,0.0,5.272,33.482,Chile,Invierno,0.0
2014,36,120128,NA,NA,NA,5.447,33.478,Chile,Invierno,NA
2014,37,120128,NA,NA,NA,5.485,33.484,Chile,Invierno,NA
2014,38,120128,NA,NA,NA,5.419,33.497,Chile,Invierno,NA
2014,39,120128,0.0,0.0,0.0,5.519,33.499,Chile,Invierno,0.0
