año,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales
2014,1,33077,0.3,0.85,0.95,8.242,33.586,Noruega,Invierno,2.0999999999999996
2014,2,33077,0.35,1.1,1.3,7.714,33.432,Noruega,Invierno,2.75
2014,3,33077,0.46,1.88,0.88,7.183,33.408,Noruega,Invierno,3.2199999999999998
2014,4,33077,NA,NA,NA,6.456,33.36,Noruega,Invierno,NA
2014,5,33077,NA,NA,NA,5.684,33.24,Noruega,Invierno,NA
2014,6,33077,0.0,0.0,0.0,5.934,33.266,Noruega,Invierno,0.0
2014,7,33077,0.0,0.0,2.15,5.906,33.246,Noruega,Invierno,2.15
2014,8,33077,0.0,0.15,3.25,5.737,33.163,Noruega,Invierno,3.4
2014,9,33077,0.0,0.35,2.05,5.558,32.933,Noruega,Invierno,2.4
2014,10,33077,0.0,1.25,2.0,5.383,32.662,Noruega,Invierno,3.25
2014,11,33077,0.0,1.7,1.7,5.338,32.494,Noruega,Invierno,3.4
2014,12,33077,0.0,0.4,0.25,5.412,32.6,Noruega,Invierno,0.65
2014,13,33077,0.0,0.35,1.05,5.786,32.625,Noruega,Invierno,1.4
2014,14,33077,0.0,0.7,1.0,6.081,32.558,Noruega,Primavera,1.7
2014,15,33077,0.1,0.95,1.05,6.467,32.159,Noruega,Primavera,2.1
2014,16,33077,NA,NA,NA,6.557,32.256,Noruega,Primavera,NA
2014,17,33077,0.25,3.7,2.45,7.447,32.28,Noruega,Primavera,6.4
2014,18,33077,0.4,2.9,1.55,7.502,32.448,Noruega,Primavera,4.85
2014,19,33077,0.46,3.22,2.42,7.846,32.556,Noruega,Primavera,6.1
2014,20,33077,0.02,0.32,0.0,8.158,32.614,Noruega,Primavera,0.34
2014,21,33077,0.05,0.55,0.23,9.719,32.438,Noruega,Primavera,0.8300000000000001
2014,22,33077,0.08,0.15,1.4,10.191,32.361,Noruega,Primavera,1.63
2014,23,33077,0.07,0.4,0.9,12.089,32.018,Noruega,Primavera,1.37
2014,24,33077,0.2,0.87,0.0,13.538,31.775,Noruega,Primavera,1.07
2014,25,33077,0.23,0.8,0.0,10.141,32.54,Noruega,Primavera,1.03
2014,26,33077,0.47,1.27,0.0,9.066,33.123,Noruega,Primavera,1.74
2014,27,33077,NA,NA,NA,9.932,33.317,Noruega,Verano,NA
2014,28,33077,0.2,0.65,0.0,12.774,32.679,Noruega,Verano,0.8500000000000001
2014,29,33077,0.1,0.8,0.0,15.229,32.441,Noruega,Verano,0.9
2014,30,33077,0.1,0.7,0.35,17.774,32.034,Noruega,Verano,1.15
2014,31,33077,0.35,1.05,0.7,18.677,31.748,Noruega,Verano,2.0999999999999996
2014,32,33077,0.4,1.85,0.0,18.308,31.266,Noruega,Verano,2.25
2014,33,33077,0.35,0.8,0.0,16.647,31.412,Noruega,Verano,1.15
2014,34,33077,0.45,1.2,0.3,14.938,31.923,Noruega,Verano,1.95
2014,35,33077,0.5,1.3,0.3,14.54,32.042,Noruega,Verano,2.1
2014,36,33077,0.8,5.1,3.9,15.417,31.042,Noruega,Verano,9.799999999999999
2014,37,33077,0.1,0.3,0.0,15.592,30.679,Noruega,Verano,0.4
