pais,zona,localidad,localidad_id,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Chile,Los Lagos,102424,102424,2023,45,2023.0,46.0,0.2,0.22,0.4151146428571428,0.2,-0.19511464285714278,0.19511464285714278
Chile,Los Lagos,102424,102424,2023,46,2023.0,47.0,0.22,3.3,0.4628791666666664,0.22,2.8371208333333335,2.8371208333333335
Chile,Los Lagos,102424,102424,2023,47,2023.0,48.0,3.3,3.58,2.9178519047619043,3.3,0.6621480952380958,0.6621480952380958
Chile,Los Lagos,102424,102424,2023,48,2023.0,49.0,3.58,4.94,3.4362922619047596,3.58,1.5037077380952408,1.5037077380952408
Chile,Los Lagos,102424,102424,2023,49,2023.0,50.0,4.94,5.35,5.055124973544974,4.94,0.29487502645502595,0.29487502645502595
Chile,Los Lagos,102424,102424,2023,50,2023.0,51.0,5.35,6.470000000000001,5.0705690476190455,5.35,1.3994309523809552,1.3994309523809552
Chile,Los Lagos,102424,102424,2023,51,2023.0,52.0,6.470000000000001,6.3,5.803458981481477,6.470000000000001,0.4965410185185224,0.4965410185185224
Chile,Los Lagos,102424,102424,2023,52,2024.0,1.0,6.3,5.32,6.409217372534871,6.3,-1.089217372534871,1.089217372534871
Chile,Los Lagos,102424,102424,2024,1,2024.0,2.0,5.32,5.1000000000000005,5.780056380471381,5.32,-0.6800563804713802,0.6800563804713802
Chile,Los Lagos,102424,102424,2024,2,2024.0,3.0,5.1000000000000005,4.63,5.2647330206830185,5.1000000000000005,-0.6347330206830186,0.6347330206830186
Chile,Los Lagos,102424,102424,2024,3,2024.0,4.0,4.63,4.75,4.655080833333332,4.63,0.094919166666668,0.094919166666668
Chile,Los Lagos,102424,102424,2024,4,2024.0,5.0,4.75,5.699999999999999,4.5193279629629615,4.75,1.1806720370370378,1.1806720370370378
Chile,Los Lagos,102424,102424,2024,5,2024.0,6.0,5.699999999999999,7.04,4.638492486772492,5.699999999999999,2.401507513227508,2.401507513227508
Chile,Los Lagos,102424,102424,2024,6,2024.0,7.0,7.04,1.37,6.17379488095238,7.04,-4.80379488095238,4.80379488095238
Chile,Los Lagos,102424,102424,2024,7,2024.0,8.0,1.37,2.5500000000000003,3.278912923280423,1.37,-0.7289129232804226,0.7289129232804226
Chile,Los Lagos,102424,102424,2024,8,2024.0,9.0,2.5500000000000003,3.68,3.654256031746034,2.5500000000000003,0.025743968253966187,0.025743968253966187
Chile,Los Lagos,102424,102424,2024,9,2024.0,10.0,3.68,3.99,4.663017457912456,3.68,-0.6730174579124562,0.6730174579124562
Chile,Los Lagos,102424,102424,2024,10,2024.0,11.0,3.99,5.760000000000001,4.328992671957668,3.99,1.431007328042333,1.431007328042333
Chile,Los Lagos,102424,102424,2024,11,2024.0,12.0,5.760000000000001,6.3,4.580231243386242,5.760000000000001,1.7197687566137576,1.7197687566137576
Chile,Los Lagos,102424,102424,2024,12,2024.0,13.0,6.3,7.529999999999999,5.534824775132274,6.3,1.995175224867725,1.995175224867725
