pais,zona,localidad,localidad_id,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Chile,Los Lagos,102424,102424,2023,45,2023.0,46.0,0.2,0.22,0.3494701851851852,0.2,-0.1294701851851852,0.1294701851851852
Chile,Los Lagos,102424,102424,2023,46,2023.0,47.0,0.22,3.3,0.4858682407407411,0.22,2.8141317592592587,2.8141317592592587
Chile,Los Lagos,102424,102424,2023,47,2023.0,48.0,3.3,3.58,3.1933481349206336,3.3,0.38665186507936644,0.38665186507936644
Chile,Los Lagos,102424,102424,2023,48,2023.0,49.0,3.58,4.94,3.26422667989418,3.58,1.6757733201058205,1.6757733201058205
Chile,Los Lagos,102424,102424,2023,49,2023.0,50.0,4.94,5.35,5.226079047619049,4.94,0.12392095238095102,0.12392095238095102
Chile,Los Lagos,102424,102424,2023,50,2023.0,51.0,5.35,6.470000000000001,5.368477341269845,5.35,1.1015226587301559,1.1015226587301559
Chile,Los Lagos,102424,102424,2023,51,2023.0,52.0,6.470000000000001,6.3,5.513860357142858,6.470000000000001,0.7861396428571421,0.7861396428571421
Chile,Los Lagos,102424,102424,2023,52,2024.0,1.0,6.3,5.32,6.118632010582007,6.3,-0.7986320105820068,0.7986320105820068
Chile,Los Lagos,102424,102424,2024,1,2024.0,2.0,5.32,5.1000000000000005,5.671896904761906,5.32,-0.5718969047619051,0.5718969047619051
Chile,Los Lagos,102424,102424,2024,2,2024.0,3.0,5.1000000000000005,4.63,5.45248564814815,5.1000000000000005,-0.8224856481481497,0.8224856481481497
Chile,Los Lagos,102424,102424,2024,3,2024.0,4.0,4.63,4.75,4.88189761904762,4.63,-0.13189761904761976,0.13189761904761976
Chile,Los Lagos,102424,102424,2024,4,2024.0,5.0,4.75,5.699999999999999,4.721968730158733,4.75,0.9780312698412663,0.9780312698412663
Chile,Los Lagos,102424,102424,2024,5,2024.0,6.0,5.699999999999999,7.04,4.843355753968253,5.699999999999999,2.196644246031747,2.196644246031747
Chile,Los Lagos,102424,102424,2024,6,2024.0,7.0,7.04,1.37,5.606756719576721,7.04,-4.236756719576721,4.236756719576721
Chile,Los Lagos,102424,102424,2024,7,2024.0,8.0,1.37,2.5500000000000003,3.382651547619046,1.37,-0.8326515476190459,0.8326515476190459
Chile,Los Lagos,102424,102424,2024,8,2024.0,9.0,2.5500000000000003,3.68,4.028826693121691,2.5500000000000003,-0.348826693121691,0.348826693121691
Chile,Los Lagos,102424,102424,2024,9,2024.0,10.0,3.68,3.99,4.801953814333814,3.68,-0.8119538143338136,0.8119538143338136
Chile,Los Lagos,102424,102424,2024,10,2024.0,11.0,3.99,5.760000000000001,3.9913676298701324,3.99,1.7686323701298683,1.7686323701298683
Chile,Los Lagos,102424,102424,2024,11,2024.0,12.0,5.760000000000001,6.3,4.784263123249301,5.760000000000001,1.5157368767506991,1.5157368767506991
Chile,Los Lagos,102424,102424,2024,12,2024.0,13.0,6.3,7.529999999999999,5.579831402116404,6.3,1.9501685978835956,1.9501685978835956
Chile,Los Lagos,102424,102424,2024,13,2024.0,14.0,7.529999999999999,7.279999999999999,6.179461640211636,7.529999999999999,1.1005383597883638,1.1005383597883638
Chile,Los Lagos,102424,102424,2024,14,2024.0,15.0,7.279999999999999,7.62,6.724625476190481,7.279999999999999,0.8953745238095188,0.8953745238095188
Chile,Los Lagos,102424,102424,2024,15,2024.0,16.0,7.62,5.21,6.984278095238094,7.62,-1.7742780952380937,1.7742780952380937
Chile,Los Lagos,102424,102424,2024,16,2024.0,17.0,5.21,6.48,5.912965238095241,5.21,0.5670347619047593,0.5670347619047593
Chile,Los Lagos,102424,102424,2024,17,2024.0,18.0,6.48,6.720000000000001,6.254070912698412,6.48,0.4659290873015882,0.4659290873015882
Chile,Los Lagos,102424,102424,2024,18,2024.0,19.0,6.720000000000001,7.41,6.69962166666666,6.720000000000001,0.71037833333334,0.71037833333334
Chile,Los Lagos,102424,102424,2024,19,2024.0,20.0,7.41,8.799999999999999,6.875745833333329,7.41,1.9242541666666702,1.9242541666666702
Chile,Los Lagos,102424,102424,2024,20,2024.0,21.0,8.799999999999999,8.44,8.136629828042324,8.799999999999999,0.3033701719576758,0.3033701719576758
Chile,Los Lagos,102424,102424,2024,21,2024.0,22.0,8.44,9.86,8.414305939153445,8.44,1.445694060846554,1.445694060846554
Chile,Los Lagos,102424,102424,2024,22,2024.0,23.0,9.86,10.33,8.915970703463207,9.86,1.4140292965367927,1.4140292965367927
Chile,Los Lagos,102424,102424,2024,23,2024.0,24.0,10.33,11.16,8.166740187590188,10.33,2.9932598124098124,2.9932598124098124
Chile,Los Lagos,102424,102424,2024,24,2024.0,25.0,11.16,2.43,8.662902290764796,11.16,-6.232902290764796,6.232902290764796
Chile,Los Lagos,102424,102424,2024,25,2024.0,26.0,2.43,2.3,5.9440021428571415,2.43,-3.6440021428571416,3.6440021428571416
Chile,Los Lagos,102424,102424,2024,26,2024.0,27.0,2.3,3.84,5.2432705158730135,2.3,-1.4032705158730137,1.4032705158730137
Chile,Los Lagos,102424,102424,2024,27,2024.0,28.0,3.84,4.83,6.590226435786433,3.84,-1.760226435786433,1.760226435786433
Chile,Los Lagos,102424,102424,2024,28,2024.0,29.0,4.83,6.1,5.806649682539682,4.83,0.2933503174603178,0.2933503174603178
Chile,Los Lagos,102424,102424,2024,29,2024.0,30.0,6.1,6.65,6.059523134920636,6.1,0.5904768650793644,0.5904768650793644
Chile,Aysén,110758,110758,2022,52,2023.0,1.0,4.42,9.28,5.785284880952382,4.42,3.4947151190476173,3.4947151190476173
Chile,Aysén,110758,110758,2023,1,2023.0,2.0,9.28,4.949999999999999,7.4346944047619115,9.28,-2.484694404761912,2.484694404761912
Chile,Aysén,110758,110758,2023,2,2023.0,3.0,4.949999999999999,7.08,6.259965079365075,4.949999999999999,0.8200349206349253,0.8200349206349253
Chile,Aysén,110758,110758,2023,3,2023.0,4.0,7.08,3.33,6.5991223015873,7.08,-3.2691223015873003,3.2691223015873003
Chile,Aysén,110758,110758,2023,4,2023.0,5.0,3.33,7.999999999999999,5.875354960317458,3.33,2.124645039682541,2.124645039682541
Chile,Aysén,110758,110758,2023,5,2023.0,6.0,7.999999999999999,4.39,6.845669589947085,7.999999999999999,-2.4556695899470853,2.4556695899470853
Chile,Aysén,110758,110758,2023,6,2023.0,7.0,4.39,7.029999999999999,6.777413650793648,4.39,0.2525863492063509,0.2525863492063509
Chile,Aysén,110758,110758,2023,7,2023.0,8.0,7.029999999999999,4.84,6.17129373015873,7.029999999999999,-1.3312937301587304,1.3312937301587304
Chile,Aysén,110758,110758,2023,8,2023.0,9.0,4.84,5.34,7.514374603174601,4.84,-2.174374603174601,2.174374603174601
Chile,Aysén,110758,110758,2023,9,2023.0,10.0,5.34,6.98,5.459939933862436,5.34,1.5200600661375647,1.5200600661375647
Chile,Aysén,110758,110758,2023,10,2023.0,11.0,6.98,6.21,6.843099193121693,6.98,-0.6330991931216934,0.6330991931216934
Chile,Aysén,110758,110758,2023,11,2023.0,12.0,6.21,4.52,6.845007023809521,6.21,-2.3250070238095217,2.3250070238095217
