pais,zona,localidad,localidad_id,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Noruega,Norte,24175,24175,2024,43,2024.0,44.0,0.0,0.0,0.19548891839641833,0.0,-0.19548891839641833,0.19548891839641833
Noruega,Norte,24175,24175,2024,44,2024.0,45.0,0.0,0.0,0.15518322751322755,0.0,-0.15518322751322755,0.15518322751322755
Noruega,Norte,24175,24175,2024,45,2024.0,46.0,0.0,0.0,0.08974763227513227,0.0,-0.08974763227513227,0.08974763227513227
Noruega,Norte,24175,24175,2024,46,2024.0,47.0,0.0,0.0,0.10060210317460318,0.0,-0.10060210317460318,0.10060210317460318
Noruega,Norte,24175,24175,2024,47,2024.0,48.0,0.0,0.0,0.10426927404295053,0.0,-0.10426927404295053,0.10426927404295053
Noruega,Norte,24175,24175,2024,48,2024.0,49.0,0.0,0.04,0.08651776610644259,0.0,-0.046517766106442586,0.046517766106442586
Noruega,Norte,24175,24175,2024,49,2024.0,50.0,0.04,0.04,0.103719300497977,0.04,-0.063719300497977,0.063719300497977
Noruega,Norte,24175,24175,2024,50,2024.0,51.0,0.04,0.02,0.09488222222222222,0.04,-0.07488222222222221,0.07488222222222221
Noruega,Norte,24175,24175,2024,51,2024.0,52.0,0.02,0.17,0.08773224867724862,0.02,0.0822677513227514,0.0822677513227514
Noruega,Centro,32677,32677,2023,29,2023.0,30.0,0.0,0.0,0.2303840771265771,0.0,-0.2303840771265771,0.2303840771265771
Noruega,Centro,32677,32677,2023,30,2023.0,31.0,0.0,0.0,0.23397670634920648,0.0,-0.23397670634920648,0.23397670634920648
Noruega,Centro,32677,32677,2023,31,2023.0,32.0,0.0,0.02,0.15645642857142866,0.0,-0.13645642857142867,0.13645642857142867
Noruega,Centro,32677,32677,2023,32,2023.0,33.0,0.02,0.33,0.20939483044733037,0.02,0.12060516955266964,0.12060516955266964
Noruega,Centro,32677,32677,2023,33,2023.0,34.0,0.33,2.52,0.4668013780663779,0.33,2.053198621933622,2.053198621933622
Noruega,Centro,32677,32677,2023,34,2023.0,35.0,2.52,6.48,2.235269431216931,2.52,4.244730568783069,4.244730568783069
Noruega,Centro,32677,32677,2023,35,2023.0,36.0,6.48,3.4000000000000004,4.490684947089947,6.48,-1.0906849470899465,1.0906849470899465
Noruega,Centro,32677,32677,2023,36,2023.0,37.0,3.4000000000000004,0.42,3.575437539682539,3.4000000000000004,-3.155437539682539,3.155437539682539
Noruega,Centro,32677,32677,2023,37,2023.0,38.0,0.42,0.21,2.722889246031745,0.42,-2.512889246031745,2.512889246031745
Noruega,Centro,32677,32677,2023,38,2023.0,39.0,0.21,0.22,2.435216904761904,0.21,-2.215216904761904,2.215216904761904
Noruega,Centro,32677,32677,2023,39,2023.0,40.0,0.22,0.43,1.8133458597883578,0.22,-1.383345859788358,1.383345859788358
Noruega,Centro,32677,32677,2023,40,2023.0,41.0,0.43,0.54,0.7649025264550273,0.43,-0.22490252645502729,0.22490252645502729
Noruega,Centro,32677,32677,2023,41,2023.0,42.0,0.54,0.94,0.7508793915343914,0.54,0.18912060846560852,0.18912060846560852
Noruega,Centro,32677,32677,2023,42,2023.0,43.0,0.94,1.22,1.1380313227513228,0.94,0.08196867724867718,0.08196867724867718
Noruega,Centro,32677,32677,2023,43,2023.0,44.0,1.22,1.32,1.496126984126985,1.22,-0.17612698412698502,0.17612698412698502
Noruega,Centro,32677,32677,2023,44,2023.0,45.0,1.32,0.9,1.6082746957671972,1.32,-0.7082746957671971,0.7082746957671971
Noruega,Centro,32677,32677,2023,45,2023.0,46.0,0.9,1.07,1.262596940836942,0.9,-0.1925969408369419,0.1925969408369419
Noruega,Centro,32677,32677,2023,46,2023.0,47.0,1.07,1.37,1.3183068121693136,1.07,0.05169318783068655,0.05169318783068655
Noruega,Centro,32677,32677,2023,47,2023.0,48.0,1.37,1.26,1.4632269047619058,1.37,-0.20322690476190575,0.20322690476190575
Noruega,Centro,32677,32677,2023,48,2023.0,49.0,1.26,1.7799999999999998,1.3581856349206363,1.26,0.42181436507936354,0.42181436507936354
Noruega,Centro,32677,32677,2023,49,2023.0,50.0,1.7799999999999998,0.1999999999999999,1.8386319708994723,1.7799999999999998,-1.6386319708994723,1.6386319708994723
Noruega,Centro,32677,32677,2023,50,2023.0,51.0,0.1999999999999999,0.16,1.0983082804232793,0.1999999999999999,-0.9383082804232793,0.9383082804232793
Noruega,Centro,32677,32677,2023,51,2023.0,52.0,0.16,0.1699999999999999,0.8070920634920634,0.16,-0.6370920634920635,0.6370920634920635
Noruega,Centro,32677,32677,2023,52,2024.0,1.0,0.1699999999999999,0.27,0.779114828042328,0.1699999999999999,-0.509114828042328,0.509114828042328
Noruega,Centro,32677,32677,2024,1,2024.0,2.0,0.27,0.4399999999999999,0.41958103174603173,0.27,0.02041896825396816,0.02041896825396816
Noruega,Centro,32677,32677,2024,2,2024.0,3.0,0.4399999999999999,0.64,0.5064582936507934,0.4399999999999999,0.1335417063492066,0.1335417063492066
Noruega,Centro,32677,32677,2024,3,2024.0,4.0,0.64,0.6500000000000001,0.6968599206349207,0.64,-0.046859920634920615,0.046859920634920615
Noruega,Centro,32677,32677,2024,4,2024.0,5.0,0.6500000000000001,0.88,0.7963864550264558,0.6500000000000001,0.08361354497354423,0.08361354497354423
Noruega,Centro,32677,32677,2024,5,2024.0,6.0,0.88,0.75,0.975906772486773,0.88,-0.22590677248677304,0.22590677248677304
Noruega,Centro,32677,32677,2024,6,2024.0,7.0,0.75,0.8200000000000001,0.9257723677248682,0.75,-0.10577236772486809,0.10577236772486809
Noruega,Centro,32677,32677,2024,7,2024.0,8.0,0.8200000000000001,1.09,0.8912841534391538,0.8200000000000001,0.1987158465608463,0.1987158465608463
Noruega,Centro,32677,32677,2024,8,2024.0,9.0,1.09,0.7999999999999999,1.1475521031746034,1.09,-0.3475521031746035,0.3475521031746035
Noruega,Centro,32677,32677,2024,9,2024.0,10.0,0.7999999999999999,0.0,0.9414887169312173,0.7999999999999999,-0.9414887169312173,0.9414887169312173
Noruega,Centro,32677,32677,2024,10,2024.0,11.0,0.0,0.06,0.6365293253968255,0.0,-0.5765293253968256,0.5765293253968256
Noruega,Centro,32677,32677,2024,11,2024.0,12.0,0.06,0.08,0.5966172222222225,0.06,-0.5166172222222225,0.5166172222222225
Noruega,Centro,32677,32677,2024,12,2024.0,13.0,0.08,0.04,0.4396047222222225,0.08,-0.39960472222222254,0.39960472222222254
Noruega,Centro,32677,32677,2024,13,2024.0,14.0,0.04,0.12,0.15928975396825404,0.04,-0.03928975396825404,0.03928975396825404
Noruega,Centro,32677,32677,2024,14,2024.0,15.0,0.12,0.18,0.14025288359788357,0.12,0.03974711640211642,0.03974711640211642
Noruega,Centro,32677,32677,2024,15,2024.0,16.0,0.18,0.18,0.16557575396825389,0.18,0.014424246031746107,0.014424246031746107
Noruega,Centro,32677,32677,2024,16,2024.0,17.0,0.18,0.37,0.1799437661071871,0.18,0.1900562338928129,0.1900562338928129
Noruega,Centro,32677,32677,2024,17,2024.0,18.0,0.37,0.8900000000000001,0.42757878306878305,0.37,0.46242121693121707,0.46242121693121707
Noruega,Centro,32677,32677,2024,18,2024.0,19.0,0.8900000000000001,1.2000000000000002,0.9887205158730158,0.8900000000000001,0.21127948412698438,0.21127948412698438
Noruega,Centro,32677,32677,2024,19,2024.0,20.0,1.2000000000000002,1.4600000000000002,1.3286988852813846,1.2000000000000002,0.1313011147186156,0.1313011147186156
Noruega,Centro,32677,32677,2024,20,2024.0,21.0,1.4600000000000002,1.29,1.7474208333333316,1.4600000000000002,-0.4574208333333316,0.4574208333333316
Noruega,Centro,32677,32677,2024,21,2024.0,22.0,1.29,0.4899999999999999,1.6420351058201061,1.29,-1.1520351058201062,1.1520351058201062
Noruega,Centro,32677,32677,2024,22,2024.0,23.0,0.4899999999999999,0.61,1.0467102676027675,0.4899999999999999,-0.43671026760276754,0.43671026760276754
Noruega,Centro,32677,32677,2024,23,2024.0,24.0,0.61,1.27,1.0417361111111114,0.61,0.2282638888888886,0.2282638888888886
Noruega,Centro,32677,32677,2024,24,2024.0,25.0,1.27,3.77,1.5692538095238104,1.27,2.2007461904761896,2.2007461904761896
Noruega,Centro,32677,32677,2024,25,2024.0,26.0,3.77,2.0900000000000003,3.6949814682539666,3.77,-1.6049814682539663,1.6049814682539663
Noruega,Centro,32677,32677,2024,26,2024.0,27.0,2.0900000000000003,3.47,2.884141388888889,2.0900000000000003,0.585858611111111,0.585858611111111
Noruega,Centro,32677,32677,2024,27,2024.0,28.0,3.47,3.71,3.9305565079365095,3.47,-0.2205565079365095,0.2205565079365095
Noruega,Centro,32677,32677,2024,28,2024.0,29.0,3.71,1.14,3.141800933140934,3.71,-2.0018009331409337,2.0018009331409337
Noruega,Centro,32677,32677,2024,29,2024.0,30.0,1.14,3.1300000000000003,3.072233611111113,1.14,0.0577663888888873,0.0577663888888873
Noruega,Centro,32677,32677,2024,30,2024.0,31.0,3.1300000000000003,0.45,3.355982261904763,3.1300000000000003,-2.9059822619047626,2.9059822619047626
Noruega,Centro,32677,32677,2024,31,2024.0,32.0,0.45,2.79,2.3450798544973526,0.45,0.44492014550264747,0.44492014550264747
Noruega,Centro,32677,32677,2024,32,2024.0,33.0,2.79,7.890000000000001,3.2460594877344864,2.79,4.643940512265514,4.643940512265514
Noruega,Centro,32677,32677,2024,33,2024.0,34.0,7.890000000000001,11.66,5.650268293650797,7.890000000000001,6.0097317063492035,6.0097317063492035
Noruega,Centro,32677,32677,2024,34,2024.0,35.0,11.66,1.18,7.105959603174599,11.66,-5.925959603174599,5.925959603174599
Noruega,Sur/Oeste,33077,33077,2023,17,2023.0,18.0,0.0,0.2,0.2658267094017095,0.0,-0.06582670940170948,0.06582670940170948
Noruega,Sur/Oeste,33077,33077,2023,18,2023.0,19.0,0.2,0.15,0.30077249999999994,0.2,-0.15077249999999995,0.15077249999999995
Noruega,Sur/Oeste,33077,33077,2023,19,2023.0,20.0,0.15,0.35,0.24486571428571413,0.15,0.10513428571428585,0.10513428571428585
Noruega,Sur/Oeste,33077,33077,2023,20,2023.0,21.0,0.35,0.25,0.6044210978835983,0.35,-0.3544210978835983,0.3544210978835983
Noruega,Sur/Oeste,33077,33077,2023,21,2023.0,22.0,0.25,0.1,0.5136433201058204,0.25,-0.4136433201058204,0.4136433201058204
Noruega,Sur/Oeste,33077,33077,2023,22,2023.0,23.0,0.1,0.04,0.3778043650793652,0.1,-0.33780436507936523,0.33780436507936523
Noruega,Sur/Oeste,33077,33077,2023,23,2023.0,24.0,0.04,0.04,0.2954861772486773,0.04,-0.25548617724867734,0.25548617724867734
Noruega,Sur/Oeste,33077,33077,2023,24,2023.0,25.0,0.04,0.05,0.2771116402116401,0.04,-0.2271116402116401,0.2271116402116401
Noruega,Sur/Oeste,33077,33077,2023,25,2023.0,26.0,0.05,0.14,0.26902415343915337,0.05,-0.12902415343915336,0.12902415343915336
Noruega,Sur/Oeste,33077,33077,2023,26,2023.0,27.0,0.14,0.2,0.31214369047619056,0.14,-0.11214369047619055,0.11214369047619055
Noruega,Sur/Oeste,33077,33077,2023,27,2023.0,28.0,0.2,0.21,0.3350530687830688,0.2,-0.1250530687830688,0.1250530687830688
Noruega,Sur/Oeste,33077,33077,2023,28,2023.0,29.0,0.21,0.49,0.35495597883597907,0.21,0.13504402116402092,0.13504402116402092
Noruega,Sur/Oeste,33077,33077,2023,29,2023.0,30.0,0.49,0.56,0.6989650000000002,0.49,-0.13896500000000012,0.13896500000000012
Noruega,Sur/Oeste,33077,33077,2023,30,2023.0,31.0,0.56,1.12,0.7449805555555555,0.56,0.37501944444444457,0.37501944444444457
Noruega,Sur/Oeste,33077,33077,2023,31,2023.0,32.0,1.12,1.34,1.5976405555555562,1.12,-0.2576405555555561,0.2576405555555561
Noruega,Sur/Oeste,33077,33077,2023,32,2023.0,33.0,1.34,1.78,1.885092182539683,1.34,-0.10509218253968289,0.10509218253968289
Noruega,Sur/Oeste,33077,33077,2023,33,2023.0,34.0,1.78,0.08,2.513194402356903,1.78,-2.4331944023569028,2.4331944023569028
Noruega,Sur/Oeste,33077,33077,2023,34,2023.0,35.0,0.08,1.85,1.452425116642616,0.08,0.397574883357384,0.397574883357384
Noruega,Sur/Oeste,33077,33077,2023,35,2023.0,36.0,1.85,3.6,2.386095555555555,1.85,1.2139044444444451,1.2139044444444451
Noruega,Sur/Oeste,33077,33077,2023,36,2023.0,37.0,3.6,0.37,3.9650811375661372,3.6,-3.595081137566137,3.595081137566137
Noruega,Sur/Oeste,33077,33077,2023,37,2023.0,38.0,0.37,2.32,2.154214523809524,0.37,0.165785476190476,0.165785476190476
Noruega,Sur/Oeste,33077,33077,2023,38,2023.0,39.0,2.32,5.44,3.700736044973543,2.32,1.7392639550264573,1.7392639550264573
Noruega,Sur/Oeste,33077,33077,2023,39,2023.0,40.0,5.44,5.220000000000001,4.816272380952382,5.44,0.40372761904761845,0.40372761904761845
Noruega,Sur/Oeste,33077,33077,2023,40,2023.0,41.0,5.220000000000001,2.17,3.3188399206349213,5.220000000000001,-1.1488399206349214,1.1488399206349214
Noruega,Sur/Oeste,33077,33077,2023,41,2023.0,42.0,2.17,13.579999999999998,4.81240242063492,2.17,8.767597579365077,8.767597579365077
Noruega,Sur/Oeste,33077,33077,2023,42,2023.0,43.0,13.579999999999998,10.19,10.297925132275132,13.579999999999998,-0.1079251322751329,0.1079251322751329
Noruega,Sur/Oeste,33077,33077,2023,43,2023.0,44.0,10.19,3.2,9.61155439153439,10.19,-6.41155439153439,6.41155439153439
Noruega,Sur/Oeste,33077,33077,2023,44,2023.0,45.0,3.2,8.31,8.214418981481481,3.2,0.0955810185185193,0.0955810185185193
Noruega,Sur/Oeste,33077,33077,2023,45,2023.0,46.0,8.31,11.28,10.95835931216932,8.31,0.3216406878306799,0.3216406878306799
Noruega,Sur/Oeste,33077,33077,2023,46,2023.0,47.0,11.28,5.720000000000001,9.775949246031745,11.28,-4.055949246031744,4.055949246031744
Noruega,Sur/Oeste,33077,33077,2023,47,2023.0,48.0,5.720000000000001,0.75,5.409950000000004,5.720000000000001,-4.659950000000004,4.659950000000004
Noruega,Sur/Oeste,33077,33077,2023,48,2023.0,49.0,0.75,2.25,3.4789248941798934,0.75,-1.2289248941798934,1.2289248941798934
Noruega,Sur/Oeste,33077,33077,2023,49,2023.0,50.0,2.25,4.51,4.726843412698415,2.25,-0.2168434126984149,0.2168434126984149
Noruega,Sur/Oeste,33077,33077,2023,50,2023.0,51.0,4.51,5.2700000000000005,8.604115965608468,4.51,-3.3341159656084676,3.3341159656084676
Noruega,Sur/Oeste,33077,33077,2023,51,2023.0,52.0,5.2700000000000005,6.84,5.928413095238093,5.2700000000000005,0.911586904761907,0.911586904761907
Noruega,Sur/Oeste,33077,33077,2023,52,2024.0,1.0,6.84,7.76,5.902431554834054,6.84,1.8575684451659455,1.8575684451659455
Noruega,Sur/Oeste,33077,33077,2024,1,2024.0,2.0,7.76,0.45,6.730446349206346,7.76,-6.280446349206346,6.280446349206346
Noruega,Sur/Oeste,33077,33077,2024,2,2024.0,3.0,0.45,1.55,3.7100043915343925,0.45,-2.1600043915343923,2.1600043915343923
Noruega,Sur/Oeste,33077,33077,2024,3,2024.0,4.0,1.55,1.86,3.779637513227511,1.55,-1.9196375132275108,1.9196375132275108
Noruega,Sur/Oeste,33077,33077,2024,4,2024.0,5.0,1.86,2.28,4.592134066859065,1.86,-2.312134066859065,2.312134066859065
Noruega,Sur/Oeste,33077,33077,2024,5,2024.0,6.0,2.28,1.39,3.0756338095238114,2.28,-1.6856338095238115,1.6856338095238115
Noruega,Sur/Oeste,33077,33077,2024,6,2024.0,7.0,1.39,3.52,2.1893286014911033,1.39,1.3306713985088967,1.3306713985088967
Noruega,Sur/Oeste,33077,33077,2024,7,2024.0,8.0,3.52,3.49,3.6562587433862404,3.52,-0.16625874338624014,0.16625874338624014
Noruega,Sur/Oeste,33077,33077,2024,8,2024.0,9.0,3.49,0.14,3.395227764550262,3.49,-3.255227764550262,3.255227764550262
Noruega,Sur/Oeste,33077,33077,2024,9,2024.0,10.0,0.14,0.6,1.739377936507936,0.14,-1.1393779365079362,1.1393779365079362
Noruega,Sur/Oeste,33077,33077,2024,10,2024.0,11.0,0.6,0.38,1.8737368253968256,0.6,-1.4937368253968257,1.4937368253968257
Noruega,Sur/Oeste,33077,33077,2024,11,2024.0,12.0,0.38,0.75,1.5903469047619045,0.38,-0.8403469047619045,0.8403469047619045
Noruega,Sur/Oeste,33077,33077,2024,12,2024.0,13.0,0.75,0.62,1.0901426719576723,0.75,-0.47014267195767234,0.47014267195767234
Noruega,Sur/Oeste,33077,33077,2024,13,2024.0,14.0,0.62,0.6000000000000001,0.8590680651755658,0.62,-0.2590680651755657,0.2590680651755657
Noruega,Sur/Oeste,33077,33077,2024,14,2024.0,15.0,0.6000000000000001,0.7200000000000001,0.7952633068783067,0.6000000000000001,-0.07526330687830662,0.07526330687830662
Noruega,Sur/Oeste,33077,33077,2024,15,2024.0,16.0,0.7200000000000001,0.4599999999999999,0.8968619708994708,0.7200000000000001,-0.43686197089947093,0.43686197089947093
Noruega,Sur/Oeste,33077,33077,2024,16,2024.0,17.0,0.4599999999999999,0.14,0.7579080555555557,0.4599999999999999,-0.6179080555555557,0.6179080555555557
Noruega,Sur/Oeste,33077,33077,2024,17,2024.0,18.0,0.14,0.42,0.5412137301587304,0.14,-0.12121373015873044,0.12121373015873044
Noruega,Sur/Oeste,33077,33077,2024,18,2024.0,19.0,0.42,0.64,0.7578272222222217,0.42,-0.11782722222222164,0.11782722222222164
Noruega,Sur/Oeste,33077,33077,2024,19,2024.0,20.0,0.64,0.5,0.852618055555555,0.64,-0.35261805555555503,0.35261805555555503
Noruega,Sur/Oeste,33077,33077,2024,20,2024.0,21.0,0.5,0.8200000000000001,0.8923124603174606,0.5,-0.07231246031746053,0.07231246031746053
Noruega,Sur/Oeste,33077,33077,2024,21,2024.0,22.0,0.8200000000000001,0.8300000000000001,1.2207265079365084,0.8200000000000001,-0.3907265079365083,0.3907265079365083
Noruega,Sur/Oeste,33077,33077,2024,22,2024.0,23.0,0.8300000000000001,0.67,1.377293174603176,0.8300000000000001,-0.707293174603176,0.707293174603176
Noruega,Sur/Oeste,33077,33077,2024,23,2024.0,24.0,0.67,1.25,1.1669491269841283,0.67,0.08305087301587166,0.08305087301587166
