anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,archivo_origen,localidad_id,zona,semana_homologada,anio_homologado,fecha_t,parasitos_totales_t1,anio_objetivo,semana_objetivo,fecha_t1,es_semana_siguiente,fecha_lag1,parasitos_totales_lag1,hembras_ovigeras_lag1,adultos_moviles_lag1,juveniles_lag1,temperatura_lag1,salinidad_lag1,fecha_lag2,parasitos_totales_lag2,hembras_ovigeras_lag2,adultos_moviles_lag2,juveniles_lag2,temperatura_lag2,salinidad_lag2,fecha_lag3,parasitos_totales_lag3,hembras_ovigeras_lag3,adultos_moviles_lag3,juveniles_lag3,temperatura_lag3,salinidad_lag3,fecha_lag4,parasitos_totales_lag4,hembras_ovigeras_lag4,adultos_moviles_lag4,juveniles_lag4,temperatura_lag4,salinidad_lag4,parasitos_totales_media_4,hembras_ovigeras_media_4,adultos_moviles_media_4,juveniles_media_4,temperatura_media_4,salinidad_media_4,parasitos_totales_max_4,hembras_ovigeras_max_4,adultos_moviles_max_4,juveniles_max_4,delta_parasitos_1,delta_hembras_1,delta_adultos_1,delta_juveniles_1,delta_temperatura_1,delta_salinidad_1,semana_sin,semana_cos
2014,1,102424,0.43,0.25,0.08,14.942,33.137,Chile,Verano,0.7599999999999999,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,27,2014,2013-12-30,0.6000000000000001,2014.0,2.0,2014-01-06,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12053668025532283,-0.992708874098054
2014,2,102424,0.38,0.17,0.05,15.428,33.182,Chile,Verano,0.6000000000000001,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,28,2014,2014-01-06,0.48,2014.0,3.0,2014-01-13,True,2013-12-30,0.7599999999999999,0.43,0.25,0.08,14.942,33.137,,,,,,,,,,,,,,,,,,,,,,0.6799999999999999,0.405,0.21000000000000002,0.065,15.185,33.1595,0.7599999999999999,0.43,0.25,0.08,-0.1599999999999998,-0.04999999999999999,-0.07999999999999999,-0.03,0.48600000000000065,0.045000000000001705,-0.23931566428755743,-0.9709418174260521
2014,3,102424,0.3,0.1,0.08,16.371,33.24,Chile,Verano,0.48,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,29,2014,2014-01-13,0.47,2014.0,4.0,2014-01-20,True,2014-01-06,0.6000000000000001,0.38,0.17,0.05,15.428,33.182,2013-12-30,0.7599999999999999,0.43,0.25,0.08,14.942,33.137,,,,,,,,,,,,,,,0.6133333333333333,0.36999999999999994,0.17333333333333334,0.07,15.580333333333334,33.18633333333333,0.7599999999999999,0.43,0.25,0.08,-0.1200000000000001,-0.08000000000000002,-0.07,0.03,0.9429999999999978,0.05799999999999983,-0.3546048870425356,-0.9350162426854148
2014,4,102424,0.17,0.25,0.05,15.815,33.238,Chile,Verano,0.47,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,30,2014,2014-01-20,0.6100000000000001,2014.0,5.0,2014-01-27,True,2014-01-13,0.48,0.3,0.1,0.08,16.371,33.24,2014-01-06,0.6000000000000001,0.38,0.17,0.05,15.428,33.182,2013-12-30,0.7599999999999999,0.43,0.25,0.08,14.942,33.137,,,,,,,,0.5775,0.32,0.1925,0.065,15.639000000000001,33.199250000000006,0.7599999999999999,0.43,0.25,0.08,-0.010000000000000009,-0.12999999999999998,0.15,-0.03,-0.5559999999999992,-0.0020000000000024443,-0.46472317204376806,-0.8854560256532101
2014,5,102424,0.28,0.2,0.13,15.504,33.246,Chile,Verano,0.6100000000000001,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,31,2014,2014-01-27,0.95,2014.0,6.0,2014-02-03,True,2014-01-20,0.47,0.17,0.25,0.05,15.815,33.238,2014-01-13,0.48,0.3,0.1,0.08,16.371,33.24,2014-01-06,0.6000000000000001,0.38,0.17,0.05,15.428,33.182,2013-12-30,0.7599999999999999,0.43,0.25,0.08,14.942,33.137,0.54,0.2825,0.18000000000000002,0.0775,15.779499999999999,33.2265,0.6100000000000001,0.38,0.25,0.13,0.14000000000000012,0.11000000000000001,-0.04999999999999999,0.08,-0.31099999999999994,0.008000000000002672,-0.5680647467311556,-0.8229838658936566
2014,6,102424,0.45,0.28,0.22,15.325,33.251,Chile,Verano,0.95,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,32,2014,2014-02-03,0.65,2014.0,7.0,2014-02-10,True,2014-01-27,0.6100000000000001,0.28,0.2,0.13,15.504,33.246,2014-01-20,0.47,0.17,0.25,0.05,15.815,33.238,2014-01-13,0.48,0.3,0.1,0.08,16.371,33.24,2014-01-06,0.6000000000000001,0.38,0.17,0.05,15.428,33.182,0.6275000000000001,0.3,0.2075,0.12,15.75375,33.24375,0.95,0.45,0.28,0.22,0.33999999999999986,0.16999999999999998,0.08000000000000002,0.09,-0.17900000000000027,0.0049999999999954525,-0.663122658240795,-0.7485107481711013
2014,7,102424,0.3,0.22,0.13,15.613,33.28,Chile,Verano,0.65,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,33,2014,2014-02-10,0.98,2014.0,8.0,2014-02-17,True,2014-02-03,0.95,0.45,0.28,0.22,15.325,33.251,2014-01-27,0.6100000000000001,0.28,0.2,0.13,15.504,33.246,2014-01-20,0.47,0.17,0.25,0.05,15.815,33.238,2014-01-13,0.48,0.3,0.1,0.08,16.371,33.24,0.6699999999999999,0.3,0.2375,0.1325,15.56425,33.253750000000004,0.95,0.45,0.28,0.22,-0.29999999999999993,-0.15000000000000002,-0.060000000000000026,-0.09,0.28800000000000026,0.029000000000003467,-0.7485107481711011,-0.6631226582407952
2014,8,102424,0.63,0.25,0.1,15.911,33.321,Chile,Verano,0.98,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,34,2014,2014-02-17,1.18,2014.0,9.0,2014-02-24,True,2014-02-10,0.65,0.3,0.22,0.13,15.613,33.28,2014-02-03,0.95,0.45,0.28,0.22,15.325,33.251,2014-01-27,0.6100000000000001,0.28,0.2,0.13,15.504,33.246,2014-01-20,0.47,0.17,0.25,0.05,15.815,33.238,0.7975000000000001,0.415,0.2375,0.14500000000000002,15.58825,33.2745,0.98,0.63,0.28,0.22,0.32999999999999996,0.33,0.03,-0.03,0.29800000000000004,0.04099999999999682,-0.8229838658936564,-0.5680647467311559
2014,9,102424,0.68,0.35,0.15,15.515,33.396,Chile,Verano,1.18,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,35,2014,2014-02-24,1.44,2014.0,10.0,2014-03-03,True,2014-02-17,0.98,0.63,0.25,0.1,15.911,33.321,2014-02-10,0.65,0.3,0.22,0.13,15.613,33.28,2014-02-03,0.95,0.45,0.28,0.22,15.325,33.251,2014-01-27,0.6100000000000001,0.28,0.2,0.13,15.504,33.246,0.94,0.515,0.275,0.15,15.591000000000001,33.312,1.18,0.68,0.35,0.22,0.19999999999999996,0.050000000000000044,0.09999999999999998,0.04999999999999999,-0.395999999999999,0.07500000000000284,-0.8854560256532096,-0.4647231720437691
2014,10,102424,0.75,0.52,0.17,15.511,33.424,Chile,Verano,1.44,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,36,2014,2014-03-03,1.85,2014.0,11.0,2014-03-10,True,2014-02-24,1.18,0.68,0.35,0.15,15.515,33.396,2014-02-17,0.98,0.63,0.25,0.1,15.911,33.321,2014-02-10,0.65,0.3,0.22,0.13,15.613,33.28,2014-02-03,0.95,0.45,0.28,0.22,15.325,33.251,1.0625,0.59,0.335,0.1375,15.6375,33.35525,1.44,0.75,0.52,0.17,0.26,0.06999999999999995,0.17000000000000004,0.020000000000000018,-0.004000000000001336,0.027999999999998693,-0.9350162426854147,-0.3546048870425359
2014,11,102424,0.95,0.73,0.17,14.904,33.427,Chile,Verano,1.85,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,37,2014,2014-03-10,1.7199999999999998,2014.0,12.0,2014-03-17,True,2014-03-03,1.44,0.75,0.52,0.17,15.511,33.424,2014-02-24,1.18,0.68,0.35,0.15,15.515,33.396,2014-02-17,0.98,0.63,0.25,0.1,15.911,33.321,2014-02-10,0.65,0.3,0.22,0.13,15.613,33.28,1.3624999999999998,0.7525,0.4625,0.1475,15.46025,33.391999999999996,1.85,0.95,0.73,0.17,0.41000000000000014,0.19999999999999996,0.20999999999999996,0.0,-0.6069999999999993,0.0030000000000001137,-0.970941817426052,-0.23931566428755774
2014,12,102424,1.02,0.57,0.13,14.462,33.454,Chile,Verano,1.7199999999999998,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,38,2014,2014-03-17,1.83,2014.0,13.0,2014-03-24,True,2014-03-10,1.85,0.95,0.73,0.17,14.904,33.427,2014-03-03,1.44,0.75,0.52,0.17,15.511,33.424,2014-02-24,1.18,0.68,0.35,0.15,15.515,33.396,2014-02-17,0.98,0.63,0.25,0.1,15.911,33.321,1.5474999999999999,0.85,0.5425,0.15500000000000003,15.097999999999999,33.425250000000005,1.85,1.02,0.73,0.17,-0.13000000000000034,0.07000000000000006,-0.16000000000000003,-0.04000000000000001,-0.44200000000000017,0.027000000000001023,-0.992708874098054,-0.12053668025532357
2014,13,102424,0.95,0.8,0.08,14.181,33.484,Chile,Verano,1.83,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,39,2014,2014-03-24,1.54,2014.0,14.0,2014-03-31,True,2014-03-17,1.7199999999999998,1.02,0.57,0.13,14.462,33.454,2014-03-10,1.85,0.95,0.73,0.17,14.904,33.427,2014-03-03,1.44,0.75,0.52,0.17,15.511,33.424,2014-02-24,1.18,0.68,0.35,0.15,15.515,33.396,1.71,0.9175,0.655,0.1375,14.764499999999998,33.447250000000004,1.85,1.02,0.8,0.17,0.11000000000000032,-0.07000000000000006,0.2300000000000001,-0.05,-0.2810000000000006,0.030000000000001137,-1.0,-1.8369701987210297e-16
2014,14,102424,0.73,0.73,0.08,13.765,33.509,Chile,Otoño,1.54,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,40,2014,2014-03-31,1.45,2014.0,15.0,2014-04-07,True,2014-03-24,1.83,0.95,0.8,0.08,14.181,33.484,2014-03-17,1.7199999999999998,1.02,0.57,0.13,14.462,33.454,2014-03-10,1.85,0.95,0.73,0.17,14.904,33.427,2014-03-03,1.44,0.75,0.52,0.17,15.511,33.424,1.7349999999999999,0.9125000000000001,0.7075,0.11500000000000002,14.328,33.4685,1.85,1.02,0.8,0.17,-0.29000000000000004,-0.21999999999999997,-0.07000000000000006,0.0,-0.4159999999999986,0.02499999999999858,-0.992708874098054,0.1205366802553232
2014,15,102424,0.98,0.47,0.0,13.538,33.513,Chile,Otoño,1.45,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,41,2014,2014-04-07,0.98,2014.0,16.0,2014-04-14,True,2014-03-31,1.54,0.73,0.73,0.08,13.765,33.509,2014-03-24,1.83,0.95,0.8,0.08,14.181,33.484,2014-03-17,1.7199999999999998,1.02,0.57,0.13,14.462,33.454,2014-03-10,1.85,0.95,0.73,0.17,14.904,33.427,1.635,0.92,0.6425,0.07250000000000001,13.9865,33.49,1.83,1.02,0.8,0.13,-0.09000000000000008,0.25,-0.26,-0.08,-0.2270000000000003,0.003999999999997783,-0.9709418174260521,0.23931566428755738
