pais,zona,localidad,localidad_id,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Chile,Los Lagos,102424,102424,2023,45,2023.0,46.0,0.2,0.22,0.34999577099829443,0.2,-0.12999577099829443,0.12999577099829443
Chile,Los Lagos,102424,102424,2023,46,2023.0,47.0,0.22,3.3,0.46427146420028814,0.22,2.8357285357997117,2.8357285357997117
Chile,Los Lagos,102424,102424,2023,47,2023.0,48.0,3.3,3.58,3.31944577058419,3.3,0.26055422941580986,0.26055422941580986
Chile,Los Lagos,102424,102424,2023,48,2023.0,49.0,3.58,4.94,3.2739684675047176,3.58,1.6660315324952828,1.6660315324952828
Chile,Los Lagos,102424,102424,2023,49,2023.0,50.0,4.94,5.35,4.992734803576052,4.94,0.3572651964239473,0.3572651964239473
Chile,Los Lagos,102424,102424,2023,50,2023.0,51.0,5.35,6.470000000000001,5.2773545755170765,5.35,1.192645424482924,1.192645424482924
Chile,Los Lagos,102424,102424,2023,51,2023.0,52.0,6.470000000000001,6.3,5.775357889749136,6.470000000000001,0.5246421102508636,0.5246421102508636
Chile,Los Lagos,102424,102424,2023,52,2024.0,1.0,6.3,5.32,6.488825115532613,6.3,-1.1688251155326128,1.1688251155326128
Chile,Los Lagos,102424,102424,2024,1,2024.0,2.0,5.32,5.1000000000000005,5.832336228863723,5.32,-0.7323362288637227,0.7323362288637227
Chile,Los Lagos,102424,102424,2024,2,2024.0,3.0,5.1000000000000005,4.63,5.496352186794681,5.1000000000000005,-0.8663521867946811,0.8663521867946811
Chile,Los Lagos,102424,102424,2024,3,2024.0,4.0,4.63,4.75,4.813574229104228,4.63,-0.06357422910422805,0.06357422910422805
Chile,Los Lagos,102424,102424,2024,4,2024.0,5.0,4.75,5.699999999999999,4.554851626382879,4.75,1.1451483736171202,1.1451483736171202
Chile,Los Lagos,102424,102424,2024,5,2024.0,6.0,5.699999999999999,7.04,5.1856438021238,5.699999999999999,1.8543561978762,1.8543561978762
Chile,Los Lagos,102424,102424,2024,6,2024.0,7.0,7.04,1.37,5.625937352046101,7.04,-4.255937352046101,4.255937352046101
Chile,Los Lagos,102424,102424,2024,7,2024.0,8.0,1.37,2.5500000000000003,3.742369979269095,1.37,-1.192369979269095,1.192369979269095
Chile,Los Lagos,102424,102424,2024,8,2024.0,9.0,2.5500000000000003,3.68,3.451285154533575,2.5500000000000003,0.22871484546642495,0.22871484546642495
Chile,Los Lagos,102424,102424,2024,9,2024.0,10.0,3.68,3.99,4.701234670838422,3.68,-0.7112346708384214,0.7112346708384214
Chile,Los Lagos,102424,102424,2024,10,2024.0,11.0,3.99,5.760000000000001,4.094723043372749,3.99,1.6652769566272516,1.6652769566272516
Chile,Los Lagos,102424,102424,2024,11,2024.0,12.0,5.760000000000001,6.3,4.971832756965254,5.760000000000001,1.3281672430347458,1.3281672430347458
Chile,Los Lagos,102424,102424,2024,12,2024.0,13.0,6.3,7.529999999999999,5.5451661402948895,6.3,1.9848338597051098,1.9848338597051098
Chile,Los Lagos,102424,102424,2024,13,2024.0,14.0,7.529999999999999,7.279999999999999,5.854439741508491,7.529999999999999,1.4255602584915081,1.4255602584915081
Chile,Los Lagos,102424,102424,2024,14,2024.0,15.0,7.279999999999999,7.62,6.483468121138123,7.279999999999999,1.1365318788618772,1.1365318788618772
Chile,Los Lagos,102424,102424,2024,15,2024.0,16.0,7.62,5.21,6.925220695878197,7.62,-1.7152206958781973,1.7152206958781973
Chile,Los Lagos,102424,102424,2024,16,2024.0,17.0,5.21,6.48,5.98211377816628,5.21,0.49788622183372055,0.49788622183372055
