variable,shap_importancia_media_abs
parasitos_totales,0.6453217105058137
adultos_moviles,0.5096637805034118
hembras_ovigeras,0.31951019982775486
parasitos_totales_max_4,0.25947415941833185
juveniles,0.24958036793785984
parasitos_totales_lag1,0.23976743413878987
parasitos_totales_media_4,0.21010461377919504
juveniles_lag1,0.16429680466687288
adultos_moviles_media_4,0.15750404188461384
juveniles_media_4,0.15201696797987801
adultos_moviles_lag1,0.1148536880410541
juveniles_max_4,0.10461330096469229
adultos_moviles_max_4,0.08742528727190951
hembras_ovigeras_max_4,0.08083791274622659
juveniles_lag2,0.08036116616537677
temperatura_media_4,0.07705919478910314
hembras_ovigeras_media_4,0.07631118174514878
temperatura,0.07323374608111584
parasitos_totales_lag2,0.058770185922875244
temperatura_lag4,0.0551001855562181
temperatura_lag2,0.05337646351521268
temperatura_lag1,0.05208142832012866
temperatura_lag3,0.05185413337494284
hembras_ovigeras_lag1,0.04914222616928072
juveniles_lag3,0.049029160672201526
delta_hembras_1,0.03744642351948633
delta_adultos_1,0.03695434557098264
delta_parasitos_1,0.033628790174078466
hembras_ovigeras_lag4,0.03178225182298969
parasitos_totales_lag4,0.025407274919427212
juveniles_lag4,0.02449409183047911
delta_salinidad_1,0.02329276039906326
parasitos_totales_lag3,0.023231060641943732
adultos_moviles_lag3,0.021036025500715927
salinidad,0.020033022473961336
hembras_ovigeras_lag3,0.018730944127235208
salinidad_lag1,0.017477980089693538
salinidad_media_4,0.016828267875296912
delta_juveniles_1,0.016404843436369065
hembras_ovigeras_lag2,0.016226320764123545
adultos_moviles_lag4,0.01601152171474101
semana_sin,0.015617354242083305
salinidad_lag2,0.013724948824664308
semana_cos,0.013040586310166635
salinidad_lag3,0.012926732370213466
adultos_moviles_lag2,0.012499457364577518
salinidad_lag4,0.011691614591503674
delta_temperatura_1,0.00656339062601476
