pais,zona,localidad,localidad_id,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Noruega,Norte,24175,24175,2024,43,2024.0,44.0,0.0,0.0,0.10077638888888892,0.0,-0.10077638888888892,0.10077638888888892
Noruega,Norte,24175,24175,2024,44,2024.0,45.0,0.0,0.0,0.148009880952381,0.0,-0.148009880952381,0.148009880952381
Noruega,Norte,24175,24175,2024,45,2024.0,46.0,0.0,0.0,0.06471535714285713,0.0,-0.06471535714285713,0.06471535714285713
Noruega,Norte,24175,24175,2024,46,2024.0,47.0,0.0,0.0,0.08669317460317466,0.0,-0.08669317460317466,0.08669317460317466
Noruega,Norte,24175,24175,2024,47,2024.0,48.0,0.0,0.0,0.09440407407407404,0.0,-0.09440407407407404,0.09440407407407404
Noruega,Norte,24175,24175,2024,48,2024.0,49.0,0.0,0.04,0.07281201058201059,0.0,-0.03281201058201059,0.03281201058201059
Noruega,Norte,24175,24175,2024,49,2024.0,50.0,0.04,0.04,0.0883372727012123,0.04,-0.048337272701212304,0.048337272701212304
Noruega,Norte,24175,24175,2024,50,2024.0,51.0,0.04,0.02,0.061969959114959124,0.04,-0.04196995911495913,0.04196995911495913
Noruega,Norte,24175,24175,2024,51,2024.0,52.0,0.02,0.17,0.07056208500370764,0.02,0.09943791499629237,0.09943791499629237
Noruega,Centro,32677,32677,2023,29,2023.0,30.0,0.0,0.0,0.1543770502645503,0.0,-0.1543770502645503,0.1543770502645503
Noruega,Centro,32677,32677,2023,30,2023.0,31.0,0.0,0.0,0.15893380952380964,0.0,-0.15893380952380964,0.15893380952380964
Noruega,Centro,32677,32677,2023,31,2023.0,32.0,0.0,0.02,0.08712182539682546,0.0,-0.06712182539682546,0.06712182539682546
Noruega,Centro,32677,32677,2023,32,2023.0,33.0,0.02,0.33,0.1852604761904761,0.02,0.14473952380952393,0.14473952380952393
Noruega,Centro,32677,32677,2023,33,2023.0,34.0,0.33,2.52,0.42428882275132285,0.33,2.095711177248677,2.095711177248677
Noruega,Centro,32677,32677,2023,34,2023.0,35.0,2.52,6.48,2.3701380555555525,2.52,4.109861944444448,4.109861944444448
Noruega,Centro,32677,32677,2023,35,2023.0,36.0,6.48,3.4000000000000004,4.839304656084658,6.48,-1.4393046560846576,1.4393046560846576
Noruega,Centro,32677,32677,2023,36,2023.0,37.0,3.4000000000000004,0.42,3.723168201058204,3.4000000000000004,-3.303168201058204,3.303168201058204
Noruega,Centro,32677,32677,2023,37,2023.0,38.0,0.42,0.21,2.6546265079365075,0.42,-2.4446265079365075,2.4446265079365075
Noruega,Centro,32677,32677,2023,38,2023.0,39.0,0.21,0.22,2.0646912429312425,0.21,-1.8446912429312425,1.8446912429312425
Noruega,Centro,32677,32677,2023,39,2023.0,40.0,0.22,0.43,1.4939625897325879,0.22,-1.063962589732588,1.063962589732588
Noruega,Centro,32677,32677,2023,40,2023.0,41.0,0.43,0.54,0.6917385582010587,0.43,-0.15173855820105864,0.15173855820105864
Noruega,Centro,32677,32677,2023,41,2023.0,42.0,0.54,0.94,0.7685743783068786,0.54,0.17142562169312137,0.17142562169312137
Noruega,Centro,32677,32677,2023,42,2023.0,43.0,0.94,1.22,1.2210203571428566,0.94,-0.0010203571428566427,0.0010203571428566427
Noruega,Centro,32677,32677,2023,43,2023.0,44.0,1.22,1.32,1.5104628446934332,1.22,-0.1904628446934331,0.1904628446934331
Noruega,Centro,32677,32677,2023,44,2023.0,45.0,1.32,0.9,1.5032541005291014,1.32,-0.6032541005291013,0.6032541005291013
Noruega,Centro,32677,32677,2023,45,2023.0,46.0,0.9,1.07,1.242699801587302,0.9,-0.17269980158730203,0.17269980158730203
Noruega,Centro,32677,32677,2023,46,2023.0,47.0,1.07,1.37,1.275495489417991,1.07,0.09450451058200904,0.09450451058200904
Noruega,Centro,32677,32677,2023,47,2023.0,48.0,1.37,1.26,1.4521214682539676,1.37,-0.1921214682539676,0.1921214682539676
Noruega,Centro,32677,32677,2023,48,2023.0,49.0,1.26,1.7799999999999998,1.3372127513227505,1.26,0.4427872486772493,0.4427872486772493
Noruega,Centro,32677,32677,2023,49,2023.0,50.0,1.7799999999999998,0.1999999999999999,1.8983146550671526,1.7799999999999998,-1.6983146550671526,1.6983146550671526
Noruega,Centro,32677,32677,2023,50,2023.0,51.0,0.1999999999999999,0.16,0.9233572222222224,0.1999999999999999,-0.7633572222222224,0.7633572222222224
Noruega,Centro,32677,32677,2023,51,2023.0,52.0,0.16,0.1699999999999999,0.7989344684944683,0.16,-0.6289344684944683,0.6289344684944683
Noruega,Centro,32677,32677,2023,52,2024.0,1.0,0.1699999999999999,0.27,0.7185199603174602,0.1699999999999999,-0.4485199603174602,0.4485199603174602
Noruega,Centro,32677,32677,2024,1,2024.0,2.0,0.27,0.4399999999999999,0.40738566485658567,0.27,0.03261433514341422,0.03261433514341422
Noruega,Centro,32677,32677,2024,2,2024.0,3.0,0.4399999999999999,0.64,0.5051451719576723,0.4399999999999999,0.13485482804232773,0.13485482804232773
Noruega,Centro,32677,32677,2024,3,2024.0,4.0,0.64,0.6500000000000001,0.5763266738816742,0.64,0.07367332611832589,0.07367332611832589
Noruega,Centro,32677,32677,2024,4,2024.0,5.0,0.6500000000000001,0.88,0.6801704365079363,0.6500000000000001,0.1998295634920637,0.1998295634920637
Noruega,Centro,32677,32677,2024,5,2024.0,6.0,0.88,0.75,0.9399025132275134,0.88,-0.1899025132275134,0.1899025132275134
Noruega,Centro,32677,32677,2024,6,2024.0,7.0,0.75,0.8200000000000001,0.842972301587302,0.75,-0.022972301587301902,0.022972301587301902
Noruega,Centro,32677,32677,2024,7,2024.0,8.0,0.8200000000000001,1.09,0.9328403571428572,0.8200000000000001,0.1571596428571429,0.1571596428571429
Noruega,Centro,32677,32677,2024,8,2024.0,9.0,1.09,0.7999999999999999,1.1448597354497352,1.09,-0.34485973544973525,0.34485973544973525
Noruega,Centro,32677,32677,2024,9,2024.0,10.0,0.7999999999999999,0.0,0.9442153703703703,0.7999999999999999,-0.9442153703703703,0.9442153703703703
Noruega,Centro,32677,32677,2024,10,2024.0,11.0,0.0,0.06,0.5691178439153435,0.0,-0.5091178439153434,0.5091178439153434
Noruega,Centro,32677,32677,2024,11,2024.0,12.0,0.06,0.08,0.6079374999999992,0.06,-0.5279374999999993,0.5279374999999993
Noruega,Centro,32677,32677,2024,12,2024.0,13.0,0.08,0.04,0.4900274789915965,0.08,-0.4500274789915965,0.4500274789915965
Noruega,Centro,32677,32677,2024,13,2024.0,14.0,0.04,0.12,0.15123303783935363,0.04,-0.031233037839353633,0.031233037839353633
Noruega,Centro,32677,32677,2024,14,2024.0,15.0,0.12,0.18,0.11577964907097263,0.12,0.06422035092902736,0.06422035092902736
Noruega,Centro,32677,32677,2024,15,2024.0,16.0,0.18,0.18,0.1410999118909413,0.18,0.038900088109058706,0.038900088109058706
Noruega,Centro,32677,32677,2024,16,2024.0,17.0,0.18,0.37,0.15283571591264014,0.18,0.21716428408735985,0.21716428408735985
Noruega,Centro,32677,32677,2024,17,2024.0,18.0,0.37,0.8900000000000001,0.3839731084656087,0.37,0.5060268915343914,0.5060268915343914
Noruega,Centro,32677,32677,2024,18,2024.0,19.0,0.8900000000000001,1.2000000000000002,0.9420409523809523,0.8900000000000001,0.25795904761904787,0.25795904761904787
Noruega,Centro,32677,32677,2024,19,2024.0,20.0,1.2000000000000002,1.4600000000000002,1.301449497354497,1.2000000000000002,0.1585505026455032,0.1585505026455032
Noruega,Centro,32677,32677,2024,20,2024.0,21.0,1.4600000000000002,1.29,1.6906515873015866,1.4600000000000002,-0.40065158730158656,0.40065158730158656
Noruega,Centro,32677,32677,2024,21,2024.0,22.0,1.29,0.4899999999999999,1.6236456746031753,1.29,-1.1336456746031756,1.1336456746031756
Noruega,Centro,32677,32677,2024,22,2024.0,23.0,0.4899999999999999,0.61,1.0410773292448292,0.4899999999999999,-0.4310773292448292,0.4310773292448292
Noruega,Centro,32677,32677,2024,23,2024.0,24.0,0.61,1.27,1.084224219576719,0.61,0.1857757804232809,0.1857757804232809
Noruega,Centro,32677,32677,2024,24,2024.0,25.0,1.27,3.77,1.693778558201058,1.27,2.0762214417989417,2.0762214417989417
Noruega,Centro,32677,32677,2024,25,2024.0,26.0,3.77,2.0900000000000003,3.9285187764550287,3.77,-1.8385187764550284,1.8385187764550284
Noruega,Centro,32677,32677,2024,26,2024.0,27.0,2.0900000000000003,3.47,3.0489307709495197,2.0900000000000003,0.4210692290504805,0.4210692290504805
Noruega,Centro,32677,32677,2024,27,2024.0,28.0,3.47,3.71,3.68077480820106,3.47,0.02922519179894012,0.02922519179894012
