pais,zona,localidad,localidad_id,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Chile,Los Lagos,102424,102424,2023,45,2023.0,46.0,0.2,0.22,0.3914936147186148,0.2,-0.17149361471861482,0.17149361471861482
Chile,Los Lagos,102424,102424,2023,46,2023.0,47.0,0.22,3.3,0.47225637566137557,0.22,2.8277436243386243,2.8277436243386243
Chile,Los Lagos,102424,102424,2023,47,2023.0,48.0,3.3,3.58,2.7920358032708035,3.3,0.7879641967291966,0.7879641967291966
Chile,Los Lagos,102424,102424,2023,48,2023.0,49.0,3.58,4.94,3.509096071428571,3.58,1.4309039285714293,1.4309039285714293
Chile,Los Lagos,102424,102424,2023,49,2023.0,50.0,4.94,5.35,5.170973320105817,4.94,0.17902667989418308,0.17902667989418308
Chile,Los Lagos,102424,102424,2023,50,2023.0,51.0,5.35,6.470000000000001,4.892907789802794,5.35,1.5770922101972067,1.5770922101972067
Chile,Los Lagos,102424,102424,2023,51,2023.0,52.0,6.470000000000001,6.3,5.700721666666667,6.470000000000001,0.5992783333333325,0.5992783333333325
Chile,Los Lagos,102424,102424,2023,52,2024.0,1.0,6.3,5.32,6.4667813095238085,6.3,-1.1467813095238082,1.1467813095238082
Chile,Los Lagos,102424,102424,2024,1,2024.0,2.0,5.32,5.1000000000000005,5.802275833333331,5.32,-0.7022758333333305,0.7022758333333305
Chile,Los Lagos,102424,102424,2024,2,2024.0,3.0,5.1000000000000005,4.63,5.426487632275132,5.1000000000000005,-0.7964876322751318,0.7964876322751318
Chile,Los Lagos,102424,102424,2024,3,2024.0,4.0,4.63,4.75,4.910159616402117,4.63,-0.16015961640211707,0.16015961640211707
Chile,Los Lagos,102424,102424,2024,4,2024.0,5.0,4.75,5.699999999999999,4.675227817460321,4.75,1.024772182539678,1.024772182539678
Chile,Los Lagos,102424,102424,2024,5,2024.0,6.0,5.699999999999999,7.04,4.916118452380953,5.699999999999999,2.123881547619047,2.123881547619047
Chile,Los Lagos,102424,102424,2024,6,2024.0,7.0,7.04,1.37,6.51071915343915,7.04,-5.14071915343915,5.14071915343915
Chile,Los Lagos,102424,102424,2024,7,2024.0,8.0,1.37,2.5500000000000003,3.269389960317462,1.37,-0.7193899603174616,0.7193899603174616
Chile,Los Lagos,102424,102424,2024,8,2024.0,9.0,2.5500000000000003,3.68,3.7490455952380946,2.5500000000000003,-0.06904559523809439,0.06904559523809439
Chile,Los Lagos,102424,102424,2024,9,2024.0,10.0,3.68,3.99,4.690195965608469,3.68,-0.7001959656084686,0.7001959656084686
Chile,Los Lagos,102424,102424,2024,10,2024.0,11.0,3.99,5.760000000000001,4.383539113756617,3.99,1.3764608862433834,1.3764608862433834
Chile,Los Lagos,102424,102424,2024,11,2024.0,12.0,5.760000000000001,6.3,4.533563902116403,5.760000000000001,1.766436097883597,1.766436097883597
Chile,Los Lagos,102424,102424,2024,12,2024.0,13.0,6.3,7.529999999999999,5.746519880952377,6.3,1.7834801190476224,1.7834801190476224
Chile,Los Lagos,102424,102424,2024,13,2024.0,14.0,7.529999999999999,7.279999999999999,6.644789312169307,7.529999999999999,0.6352106878306927,0.6352106878306927
Chile,Los Lagos,102424,102424,2024,14,2024.0,15.0,7.279999999999999,7.62,6.700181058201057,7.279999999999999,0.9198189417989431,0.9198189417989431
Chile,Los Lagos,102424,102424,2024,15,2024.0,16.0,7.62,5.21,7.488675281385279,7.62,-2.2786752813852793,2.2786752813852793
Chile,Los Lagos,102424,102424,2024,16,2024.0,17.0,5.21,6.48,5.876312424242424,5.21,0.6036875757575766,0.6036875757575766
Chile,Los Lagos,102424,102424,2024,17,2024.0,18.0,6.48,6.720000000000001,5.7125217099567065,6.48,1.0074782900432941,1.0074782900432941
Chile,Los Lagos,102424,102424,2024,18,2024.0,19.0,6.720000000000001,7.41,6.550146339586338,6.720000000000001,0.8598536604136617,0.8598536604136617
Chile,Los Lagos,102424,102424,2024,19,2024.0,20.0,7.41,8.799999999999999,7.047228244348242,7.41,1.7527717556517572,1.7527717556517572
Chile,Los Lagos,102424,102424,2024,20,2024.0,21.0,8.799999999999999,8.44,8.12334611111111,8.799999999999999,0.3166538888888901,0.3166538888888901
Chile,Los Lagos,102424,102424,2024,21,2024.0,22.0,8.44,9.86,8.51996955026455,8.44,1.3400304497354494,1.3400304497354494
Chile,Los Lagos,102424,102424,2024,22,2024.0,23.0,9.86,10.33,8.312070978835974,9.86,2.0179290211640257,2.0179290211640257
Chile,Los Lagos,102424,102424,2024,23,2024.0,24.0,10.33,11.16,8.39288435185185,10.33,2.7671156481481507,2.7671156481481507
Chile,Los Lagos,102424,102424,2024,24,2024.0,25.0,11.16,2.43,8.262044391534388,11.16,-5.832044391534389,5.832044391534389
