pais,zona,localidad,localidad_id,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Chile,Los Lagos,102424,102424,2023,45,2023.0,46.0,0.2,0.22,0.35548727243532424,0.2,-0.13548727243532424,0.13548727243532424
Chile,Los Lagos,102424,102424,2023,46,2023.0,47.0,0.22,3.3,0.4685011736411737,0.22,2.831498826358826,2.831498826358826
Chile,Los Lagos,102424,102424,2023,47,2023.0,48.0,3.3,3.58,3.1645611640211646,3.3,0.41543883597883546,0.41543883597883546
Chile,Los Lagos,102424,102424,2023,48,2023.0,49.0,3.58,4.94,3.3709201541689464,3.58,1.569079845831054,1.569079845831054
Chile,Los Lagos,102424,102424,2023,49,2023.0,50.0,4.94,5.35,4.902738194444444,4.94,0.4472618055555557,0.4472618055555557
Chile,Los Lagos,102424,102424,2023,50,2023.0,51.0,5.35,6.470000000000001,5.105562162014231,5.35,1.3644378379857693,1.3644378379857693
Chile,Los Lagos,102424,102424,2023,51,2023.0,52.0,6.470000000000001,6.3,5.813087261904763,6.470000000000001,0.4869127380952367,0.4869127380952367
Chile,Los Lagos,102424,102424,2023,52,2024.0,1.0,6.3,5.32,6.2226782010582005,6.3,-0.9026782010582002,0.9026782010582002
Chile,Los Lagos,102424,102424,2024,1,2024.0,2.0,5.32,5.1000000000000005,5.475600820105818,5.32,-0.3756008201058174,0.3756008201058174
Chile,Los Lagos,102424,102424,2024,2,2024.0,3.0,5.1000000000000005,4.63,5.365710198412698,5.1000000000000005,-0.7357101984126979,0.7357101984126979
Chile,Los Lagos,102424,102424,2024,3,2024.0,4.0,4.63,4.75,5.178389074074075,4.63,-0.428389074074075,0.428389074074075
Chile,Los Lagos,102424,102424,2024,4,2024.0,5.0,4.75,5.699999999999999,4.7295847274749745,4.75,0.9704152725250248,0.9704152725250248
Chile,Los Lagos,102424,102424,2024,5,2024.0,6.0,5.699999999999999,7.04,4.902409599761054,5.699999999999999,2.1375904002389463,2.1375904002389463
Chile,Los Lagos,102424,102424,2024,6,2024.0,7.0,7.04,1.37,5.866601031746033,7.04,-4.4966010317460325,4.4966010317460325
Chile,Los Lagos,102424,102424,2024,7,2024.0,8.0,1.37,2.5500000000000003,3.684463108465608,1.37,-1.1344631084656078,1.1344631084656078
Chile,Los Lagos,102424,102424,2024,8,2024.0,9.0,2.5500000000000003,3.68,3.934630674603174,2.5500000000000003,-0.2546306746031739,0.2546306746031739
Chile,Los Lagos,102424,102424,2024,9,2024.0,10.0,3.68,3.99,5.292308809523813,3.68,-1.3023088095238124,1.3023088095238124
Chile,Los Lagos,102424,102424,2024,10,2024.0,11.0,3.99,5.760000000000001,4.262797250729797,3.99,1.4972027492702038,1.4972027492702038
Chile,Los Lagos,102424,102424,2024,11,2024.0,12.0,5.760000000000001,6.3,4.709021721629267,5.760000000000001,1.5909782783707325,1.5909782783707325
Chile,Los Lagos,102424,102424,2024,12,2024.0,13.0,6.3,7.529999999999999,5.4781563492063485,6.3,2.051843650793651,2.051843650793651
Chile,Los Lagos,102424,102424,2024,13,2024.0,14.0,7.529999999999999,7.279999999999999,6.072124404761906,7.529999999999999,1.207875595238093,1.207875595238093
Chile,Los Lagos,102424,102424,2024,14,2024.0,15.0,7.279999999999999,7.62,6.513840992063492,7.279999999999999,1.1061590079365082,1.1061590079365082
Chile,Los Lagos,102424,102424,2024,15,2024.0,16.0,7.62,5.21,6.932821878306876,7.62,-1.7228218783068758,1.7228218783068758
Chile,Los Lagos,102424,102424,2024,16,2024.0,17.0,5.21,6.48,6.005983359788367,5.21,0.4740166402116337,0.4740166402116337
Chile,Los Lagos,102424,102424,2024,17,2024.0,18.0,6.48,6.720000000000001,6.0985960846560845,6.48,0.6214039153439161,0.6214039153439161
Chile,Los Lagos,102424,102424,2024,18,2024.0,19.0,6.720000000000001,7.41,6.936510211640211,6.720000000000001,0.47348978835978883,0.47348978835978883
Chile,Los Lagos,102424,102424,2024,19,2024.0,20.0,7.41,8.799999999999999,6.921394656084655,7.41,1.8786053439153436,1.8786053439153436
Chile,Los Lagos,102424,102424,2024,20,2024.0,21.0,8.799999999999999,8.44,7.9566269312169275,8.799999999999999,0.48337306878307196,0.48337306878307196
Chile,Los Lagos,102424,102424,2024,21,2024.0,22.0,8.44,9.86,8.578114338624337,8.44,1.2818856613756626,1.2818856613756626
Chile,Los Lagos,102424,102424,2024,22,2024.0,23.0,9.86,10.33,8.849092145262146,9.86,1.480907854737854,1.480907854737854
Chile,Los Lagos,102424,102424,2024,23,2024.0,24.0,10.33,11.16,8.147253227513229,10.33,3.0127467724867714,3.0127467724867714
Chile,Los Lagos,102424,102424,2024,24,2024.0,25.0,11.16,2.43,8.931268201058199,11.16,-6.501268201058199,6.501268201058199
Chile,Los Lagos,102424,102424,2024,25,2024.0,26.0,2.43,2.3,5.600924417989417,2.43,-3.3009244179894175,3.3009244179894175
Chile,Los Lagos,102424,102424,2024,26,2024.0,27.0,2.3,3.84,5.135097433862438,2.3,-1.2950974338624386,1.2950974338624386
Chile,Los Lagos,102424,102424,2024,27,2024.0,28.0,3.84,4.83,6.94020150793651,3.84,-2.1102015079365097,2.1102015079365097
Chile,Los Lagos,102424,102424,2024,28,2024.0,29.0,4.83,6.1,5.869325119047619,4.83,0.23067488095238087,0.23067488095238087
Chile,Los Lagos,102424,102424,2024,29,2024.0,30.0,6.1,6.65,5.5402323027898035,6.1,1.1097676972101969,1.1097676972101969
Chile,Aysén,110758,110758,2022,52,2023.0,1.0,4.42,9.28,5.969692482211276,4.42,3.310307517788724,3.310307517788724
Chile,Aysén,110758,110758,2023,1,2023.0,2.0,9.28,4.949999999999999,7.027257548348839,9.28,-2.0772575483488396,2.0772575483488396
Chile,Aysén,110758,110758,2023,2,2023.0,3.0,4.949999999999999,7.08,5.691603267195768,4.949999999999999,1.3883967328042317,1.3883967328042317
Chile,Aysén,110758,110758,2023,3,2023.0,4.0,7.08,3.33,6.669506613756612,7.08,-3.339506613756612,3.339506613756612
Chile,Aysén,110758,110758,2023,4,2023.0,5.0,3.33,7.999999999999999,5.530279920634922,3.33,2.469720079365077,2.469720079365077
Chile,Aysén,110758,110758,2023,5,2023.0,6.0,7.999999999999999,4.39,6.880015727513228,7.999999999999999,-2.490015727513228,2.490015727513228
Chile,Aysén,110758,110758,2023,6,2023.0,7.0,4.39,7.029999999999999,6.347522314814815,4.39,0.6824776851851846,0.6824776851851846
Chile,Aysén,110758,110758,2023,7,2023.0,8.0,7.029999999999999,4.84,6.357347126022125,7.029999999999999,-1.5173471260221252,1.5173471260221252
Chile,Aysén,110758,110758,2023,8,2023.0,9.0,4.84,5.34,6.709668716931218,4.84,-1.3696687169312183,1.3696687169312183
Chile,Aysén,110758,110758,2023,9,2023.0,10.0,5.34,6.98,5.375496931216929,5.34,1.604503068783071,1.604503068783071
Chile,Aysén,110758,110758,2023,10,2023.0,11.0,6.98,6.21,6.661445568783071,6.98,-0.45144556878307096,0.45144556878307096
Chile,Aysén,110758,110758,2023,11,2023.0,12.0,6.21,4.52,6.513652447089949,6.21,-1.993652447089949,1.993652447089949
Chile,Aysén,110758,110758,2023,12,2023.0,13.0,4.52,4.84,6.07814042328042,4.52,-1.23814042328042,1.23814042328042
Chile,Aysén,110758,110758,2023,13,2023.0,14.0,4.84,5.35,6.2312438888888915,4.84,-0.8812438888888918,0.8812438888888918
Chile,Aysén,110758,110758,2024,19,2024.0,20.0,0.93,0.33,1.040564276055486,0.93,-0.710564276055486,0.710564276055486
Chile,Aysén,110758,110758,2024,20,2024.0,21.0,0.33,0.9,0.836260873015873,0.33,0.06373912698412698,0.06373912698412698
Chile,Aysén,110758,110758,2024,21,2024.0,22.0,0.9,0.4399999999999999,1.2558531216931221,0.9,-0.8158531216931222,0.8158531216931222
Chile,Aysén,110758,110758,2024,22,2024.0,23.0,0.4399999999999999,2.85,0.9475765873015871,0.4399999999999999,1.902423412698413,1.902423412698413
Chile,Aysén,110758,110758,2024,23,2024.0,24.0,2.85,3.32,2.9306968386243373,2.85,0.38930316137566257,0.38930316137566257
Chile,Aysén,110758,110758,2024,24,2024.0,25.0,3.32,5.6,3.375154470899471,3.32,2.2248455291005285,2.2248455291005285
Chile,Aysén,110758,110758,2024,25,2024.0,26.0,5.6,4.1,5.481404821428576,5.6,-1.3814048214285766,1.3814048214285766
Chile,Aysén,110758,110758,2024,26,2024.0,27.0,4.1,0.99,5.362098497993065,4.1,-4.372098497993065,4.372098497993065
Chile,Aysén,110758,110758,2024,27,2024.0,28.0,0.99,1.62,2.9643369841269838,0.99,-1.3443369841269837,1.3443369841269837
Chile,Aysén,110758,110758,2024,28,2024.0,29.0,1.62,0.84,2.7003682455507456,1.62,-1.8603682455507458,1.8603682455507458
Chile,Aysén,110758,110758,2024,29,2024.0,30.0,0.84,2.8,2.0162645153920136,0.84,0.7837354846079863,0.7837354846079863
Chile,Magallanes,120128,120128,2022,52,2023.0,1.0,0.0,0.0,0.0011054480147209198,0.0,-0.0011054480147209198,0.0011054480147209198
Chile,Magallanes,120128,120128,2023,1,2023.0,2.0,0.0,0.0,0.002208225792498697,0.0,-0.002208225792498697,0.002208225792498697
Chile,Magallanes,120128,120128,2023,2,2023.0,3.0,0.0,0.0,0.0015377712470441517,0.0,-0.0015377712470441517,0.0015377712470441517
Chile,Magallanes,120128,120128,2023,3,2023.0,4.0,0.0,0.0,0.0007766601359330407,0.0,-0.0007766601359330407,0.0007766601359330407
Chile,Magallanes,120128,120128,2023,4,2023.0,5.0,0.0,0.0,0.002491508620781526,0.0,-0.002491508620781526,0.002491508620781526
Chile,Magallanes,120128,120128,2023,5,2023.0,6.0,0.0,0.06,0.0025077784620513664,0.0,0.05749222153794863,0.05749222153794863
Chile,Magallanes,120128,120128,2023,6,2023.0,7.0,0.06,0.03,0.09021671888053472,0.06,-0.06021671888053472,0.06021671888053472
Chile,Magallanes,120128,120128,2023,7,2023.0,8.0,0.03,0.16,0.07289001253132839,0.03,0.08710998746867162,0.08710998746867162
Chile,Magallanes,120128,120128,2023,8,2023.0,9.0,0.16,0.08,0.18106663951545535,0.16,-0.10106663951545534,0.10106663951545534
Chile,Magallanes,120128,120128,2023,9,2023.0,10.0,0.08,0.18,0.1699092857142858,0.08,0.010090714285714203,0.010090714285714203
Chile,Magallanes,120128,120128,2023,10,2023.0,11.0,0.18,0.18,0.219539398656899,0.18,-0.03953939865689901,0.03953939865689901
Chile,Magallanes,120128,120128,2023,11,2023.0,12.0,0.18,0.08,0.24486301587301593,0.18,-0.16486301587301594,0.16486301587301594
Chile,Magallanes,120128,120128,2023,12,2023.0,13.0,0.08,0.35,0.20794913787737304,0.08,0.14205086212262694,0.14205086212262694
Chile,Magallanes,120128,120128,2023,13,2023.0,14.0,0.35,0.51,0.4019475661375661,0.35,0.1080524338624339,0.1080524338624339
Chile,Magallanes,120128,120128,2023,14,2023.0,15.0,0.51,0.57,0.5504900949975953,0.51,0.01950990500240468,0.01950990500240468
Chile,Magallanes,120128,120128,2023,15,2023.0,16.0,0.57,0.65,0.70657343915344,0.57,-0.05657343915343993,0.05657343915343993
Chile,Magallanes,120128,120128,2023,16,2023.0,17.0,0.65,0.73,0.8781735582010581,0.65,-0.14817355820105815,0.14817355820105815
Chile,Magallanes,120128,120128,2023,17,2023.0,18.0,0.73,0.67,0.9022411309523805,0.73,-0.23224113095238041,0.23224113095238041
Chile,Magallanes,120128,120128,2023,18,2023.0,19.0,0.67,2.35,0.9214428338328332,0.67,1.4285571661671668,1.4285571661671668
Chile,Magallanes,120128,120128,2023,19,2023.0,20.0,2.35,3.03,2.3384495238095244,2.35,0.6915504761904754,0.6915504761904754
Chile,Magallanes,120128,120128,2023,20,2023.0,21.0,3.03,3.69,2.8555549735449746,3.03,0.8344450264550254,0.8344450264550254
Chile,Magallanes,120128,120128,2023,21,2023.0,22.0,3.69,4.050000000000001,3.3729427579365083,3.69,0.6770572420634924,0.6770572420634924
Chile,Magallanes,120128,120128,2023,22,2023.0,23.0,4.050000000000001,3.49,3.81863392526455,4.050000000000001,-0.3286339252645498,0.3286339252645498
Chile,Magallanes,120128,120128,2023,23,2023.0,24.0,3.49,5.01,3.5029521792328056,3.49,1.5070478207671942,1.5070478207671942
Chile,Magallanes,120128,120128,2023,24,2023.0,25.0,5.01,7.949999999999999,4.937231042673106,5.01,3.0127689573268936,3.0127689573268936
Chile,Magallanes,120128,120128,2023,25,2023.0,26.0,7.949999999999999,7.15,8.32349164021163,7.949999999999999,-1.1734916402116298,1.1734916402116298
Chile,Magallanes,120128,120128,2023,26,2023.0,27.0,7.15,12.81,6.878984431216927,7.15,5.9310155687830735,5.9310155687830735
Chile,Magallanes,120128,120128,2023,27,2023.0,28.0,12.81,3.55,9.842925952380954,12.81,-6.292925952380954,6.292925952380954
Chile,Magallanes,120128,120128,2023,28,2023.0,29.0,3.55,2.1,6.4938898015873034,3.55,-4.393889801587303,4.393889801587303
Chile,Magallanes,120128,120128,2023,29,2023.0,30.0,2.1,7.25,4.524965674603178,2.1,2.7250343253968223,2.7250343253968223
Chile,Magallanes,120128,120128,2023,30,2023.0,31.0,7.25,6.529999999999999,6.792261613756613,7.25,-0.26226161375661405,0.26226161375661405
Chile,Magallanes,120128,120128,2023,31,2023.0,32.0,6.529999999999999,4.92,5.911566598228664,6.529999999999999,-0.9915665982286637,0.9915665982286637
Chile,Magallanes,120128,120128,2023,32,2023.0,33.0,4.92,6.699999999999999,5.400457989417988,4.92,1.2995420105820115,1.2995420105820115
Chile,Magallanes,120128,120128,2023,33,2023.0,34.0,6.699999999999999,6.05,6.599358796296296,6.699999999999999,-0.5493587962962962,0.5493587962962962
Chile,Magallanes,120128,120128,2023,34,2023.0,35.0,6.05,3.85,6.523140158730159,6.05,-2.6731401587301593,2.6731401587301593
Chile,Magallanes,120128,120128,2023,35,2023.0,36.0,3.85,6.66,5.485319986772489,3.85,1.174680013227511,1.174680013227511
Chile,Magallanes,120128,120128,2023,36,2023.0,37.0,6.66,5.36,6.986572896825394,6.66,-1.6265728968253939,1.6265728968253939
Chile,Magallanes,120128,120128,2023,37,2023.0,38.0,5.36,6.62,6.350191759259256,5.36,0.26980824074074405,0.26980824074074405
Chile,Magallanes,120128,120128,2023,38,2023.0,39.0,6.62,1.29,6.561454484126989,6.62,-5.271454484126989,5.271454484126989
Chile,Magallanes,120128,120128,2023,39,2023.0,40.0,1.29,0.5,3.794625357142858,1.29,-3.294625357142858,3.294625357142858
Chile,Magallanes,120128,120128,2023,40,2023.0,41.0,0.5,0.68,2.3060914862914874,0.5,-1.6260914862914873,1.6260914862914873
Chile,Magallanes,120128,120128,2023,41,2023.0,42.0,0.68,1.75,2.1255101106301115,0.68,-0.3755101106301115,0.3755101106301115
Chile,Magallanes,120128,120128,2023,42,2023.0,43.0,1.75,3.13,2.2480408201058206,1.75,0.8819591798941793,0.8819591798941793
Chile,Magallanes,120128,120128,2023,43,2023.0,44.0,3.13,2.45,3.442855621693123,3.13,-0.9928556216931228,0.9928556216931228
Chile,Magallanes,120128,120128,2023,44,2023.0,45.0,2.45,2.85,3.17278030830281,2.45,-0.3227803083028098,0.3227803083028098
Chile,Magallanes,120128,120128,2023,45,2023.0,46.0,2.85,4.749999999999999,3.208791501322754,2.85,1.541208498677245,1.541208498677245
Chile,Magallanes,120128,120128,2023,46,2023.0,47.0,4.749999999999999,5.08,5.2370405952380965,4.749999999999999,-0.15704059523809644,0.15704059523809644
Chile,Magallanes,120128,120128,2023,47,2023.0,48.0,5.08,4.15,4.814400024154589,5.08,-0.6644000241545882,0.6644000241545882
Chile,Magallanes,120128,120128,2023,48,2023.0,49.0,4.15,2.55,4.618566135265702,4.15,-2.0685661352657023,2.0685661352657023
Chile,Magallanes,120128,120128,2023,49,2023.0,50.0,2.55,1.28,3.7663577645502633,2.55,-2.486357764550263,2.486357764550263
Chile,Magallanes,120128,120128,2023,50,2023.0,51.0,1.28,1.9,2.8562262049062044,1.28,-0.9562262049062045,0.9562262049062045
Chile,Magallanes,120128,120128,2023,51,2023.0,52.0,1.9,8.5,2.7580539814814813,1.9,5.741946018518519,5.741946018518519
Chile,Magallanes,120128,120128,2023,52,2024.0,1.0,8.5,18.0,6.2901353174603205,8.5,11.70986468253968,11.70986468253968
Chile,Magallanes,120128,120128,2024,1,2024.0,2.0,18.0,14.98,11.745078558201056,18.0,3.234921441798944,3.234921441798944
Chile,Magallanes,120128,120128,2024,2,2024.0,3.0,14.98,15.28,11.059553928571441,14.98,4.220446071428558,4.220446071428558
Chile,Magallanes,120128,120128,2024,3,2024.0,4.0,15.28,6.409999999999999,9.00683902116402,15.28,-2.59683902116402,2.59683902116402
Chile,Magallanes,120128,120128,2024,4,2024.0,5.0,6.409999999999999,29.99,7.1432353439153395,6.409999999999999,22.84676465608466,22.84676465608466
Chile,Magallanes,120128,120128,2024,5,2024.0,6.0,29.99,7.31,11.725591587301594,29.99,-4.415591587301594,4.415591587301594
Chile,Magallanes,120128,120128,2024,6,2024.0,7.0,7.31,7.78,7.621001666666661,7.31,0.15899833333333913,0.15899833333333913
Chile,Magallanes,120128,120128,2024,7,2024.0,8.0,7.78,7.5,7.675896904761902,7.78,-0.17589690476190167,0.17589690476190167
Chile,Magallanes,120128,120128,2024,8,2024.0,9.0,7.5,7.32,7.974525954785954,7.5,-0.6545259547859539,0.6545259547859539
Chile,Magallanes,120128,120128,2024,9,2024.0,10.0,7.32,11.75,7.359311944444443,7.32,4.390688055555557,4.390688055555557
Chile,Magallanes,120128,120128,2024,10,2024.0,11.0,11.75,18.88,8.158248452380947,11.75,10.721751547619052,10.721751547619052
Chile,Magallanes,120128,120128,2024,11,2024.0,12.0,18.88,13.93,9.699411005291005,18.88,4.230588994708995,4.230588994708995
Chile,Magallanes,120128,120128,2024,12,2024.0,13.0,13.93,6.879999999999999,8.804814603174606,13.93,-1.9248146031746067,1.9248146031746067
Chile,Magallanes,120128,120128,2024,13,2024.0,14.0,6.879999999999999,5.35,7.144185912698411,6.879999999999999,-1.7941859126984117,1.7941859126984117
Chile,Magallanes,120128,120128,2024,14,2024.0,15.0,5.35,8.45,7.159852777777775,5.35,1.2901472222222239,1.2901472222222239
Chile,Magallanes,120128,120128,2024,15,2024.0,16.0,8.45,9.23,7.524779246031741,8.45,1.7052207539682591,1.7052207539682591
Chile,Magallanes,120128,120128,2024,16,2024.0,17.0,9.23,12.14,7.947031640211635,9.23,4.192968359788366,4.192968359788366
Chile,Magallanes,120128,120128,2024,17,2024.0,18.0,12.14,7.71,9.764420952380952,12.14,-2.0544209523809522,2.0544209523809522
Chile,Magallanes,120128,120128,2024,18,2024.0,19.0,7.71,8.649999999999999,8.272101600529101,7.71,0.3778983994708973,0.3778983994708973
Chile,Magallanes,120128,120128,2024,19,2024.0,20.0,8.649999999999999,16.35,7.901413902116405,8.649999999999999,8.448586097883595,8.448586097883595
Chile,Magallanes,120128,120128,2024,20,2024.0,21.0,16.35,16.43,10.312519523809529,16.35,6.117480476190471,6.117480476190471
Chile,Magallanes,120128,120128,2024,21,2024.0,22.0,16.43,4.63,10.648508214285716,16.43,-6.018508214285716,6.018508214285716
Chile,Magallanes,120128,120128,2024,22,2024.0,23.0,4.63,6.25,7.311946084656082,4.63,-1.061946084656082,1.061946084656082
