pais,zona,localidad,localidad_id,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Noruega,Norte,24175,24175,2024,43,2024.0,44.0,0.0,0.0,0.14845357780620938,0.0,-0.14845357780620938,0.14845357780620938
Noruega,Norte,24175,24175,2024,44,2024.0,45.0,0.0,0.0,0.13598160052910055,0.0,-0.13598160052910055,0.13598160052910055
Noruega,Norte,24175,24175,2024,45,2024.0,46.0,0.0,0.0,0.06980052910052913,0.0,-0.06980052910052913,0.06980052910052913
Noruega,Norte,24175,24175,2024,46,2024.0,47.0,0.0,0.0,0.0860507142857143,0.0,-0.0860507142857143,0.0860507142857143
Noruega,Norte,24175,24175,2024,47,2024.0,48.0,0.0,0.0,0.08667688311688314,0.0,-0.08667688311688314,0.08667688311688314
Noruega,Norte,24175,24175,2024,48,2024.0,49.0,0.0,0.04,0.06584611436493792,0.0,-0.025846114364937924,0.025846114364937924
Noruega,Norte,24175,24175,2024,49,2024.0,50.0,0.04,0.04,0.09875081168831171,0.04,-0.058750811688311706,0.058750811688311706
Noruega,Norte,24175,24175,2024,50,2024.0,51.0,0.04,0.02,0.07620357623857624,0.04,-0.05620357623857623,0.05620357623857623
Noruega,Norte,24175,24175,2024,51,2024.0,52.0,0.02,0.17,0.07037402597402598,0.02,0.09962597402597403,0.09962597402597403
Noruega,Centro,32677,32677,2023,29,2023.0,30.0,0.0,0.0,0.2190976975753291,0.0,-0.2190976975753291,0.2190976975753291
Noruega,Centro,32677,32677,2023,30,2023.0,31.0,0.0,0.0,0.17505199735449734,0.0,-0.17505199735449734,0.17505199735449734
Noruega,Centro,32677,32677,2023,31,2023.0,32.0,0.0,0.02,0.10758416666666669,0.0,-0.08758416666666669,0.08758416666666669
Noruega,Centro,32677,32677,2023,32,2023.0,33.0,0.02,0.33,0.18689583333333337,0.02,0.14310416666666664,0.14310416666666664
Noruega,Centro,32677,32677,2023,33,2023.0,34.0,0.33,2.52,0.44987609788359784,0.33,2.070123902116402,2.070123902116402
Noruega,Centro,32677,32677,2023,34,2023.0,35.0,2.52,6.48,2.2815107936507917,2.52,4.198489206349208,4.198489206349208
Noruega,Centro,32677,32677,2023,35,2023.0,36.0,6.48,3.4000000000000004,4.478457352092352,6.48,-1.078457352092352,1.078457352092352
Noruega,Centro,32677,32677,2023,36,2023.0,37.0,3.4000000000000004,0.42,3.636226944444443,3.4000000000000004,-3.216226944444443,3.216226944444443
Noruega,Centro,32677,32677,2023,37,2023.0,38.0,0.42,0.21,2.488338783068783,0.42,-2.278338783068783,2.278338783068783
Noruega,Centro,32677,32677,2023,38,2023.0,39.0,0.21,0.22,1.8662558597883614,0.21,-1.6462558597883614,1.6462558597883614
Noruega,Centro,32677,32677,2023,39,2023.0,40.0,0.22,0.43,1.4291259126984128,0.22,-0.9991259126984129,0.9991259126984129
Noruega,Centro,32677,32677,2023,40,2023.0,41.0,0.43,0.54,0.6987572619047625,0.43,-0.15875726190476247,0.15875726190476247
Noruega,Centro,32677,32677,2023,41,2023.0,42.0,0.54,0.94,0.7123068253968255,0.54,0.2276931746031744,0.2276931746031744
Noruega,Centro,32677,32677,2023,42,2023.0,43.0,0.94,1.22,1.0779246428571425,0.94,0.14207535714285746,0.14207535714285746
Noruega,Centro,32677,32677,2023,43,2023.0,44.0,1.22,1.32,1.6179089682539678,1.22,-0.29790896825396773,0.29790896825396773
Noruega,Centro,32677,32677,2023,44,2023.0,45.0,1.32,0.9,1.5488830291005284,1.32,-0.6488830291005284,0.6488830291005284
Noruega,Centro,32677,32677,2023,45,2023.0,46.0,0.9,1.07,1.2064872486772482,0.9,-0.13648724867724815,0.13648724867724815
Noruega,Centro,32677,32677,2023,46,2023.0,47.0,1.07,1.37,1.2269013095238088,1.07,0.14309869047619128,0.14309869047619128
Noruega,Centro,32677,32677,2023,47,2023.0,48.0,1.37,1.26,1.392971428571429,1.37,-0.13297142857142896,0.13297142857142896
Noruega,Centro,32677,32677,2023,48,2023.0,49.0,1.26,1.7799999999999998,1.41447171957672,1.26,0.3655282804232798,0.3655282804232798
Noruega,Centro,32677,32677,2023,49,2023.0,50.0,1.7799999999999998,0.1999999999999999,1.7969930796055815,1.7799999999999998,-1.5969930796055816,1.5969930796055816
Noruega,Centro,32677,32677,2023,50,2023.0,51.0,0.1999999999999999,0.16,0.9141235978835984,0.1999999999999999,-0.7541235978835984,0.7541235978835984
Noruega,Centro,32677,32677,2023,51,2023.0,52.0,0.16,0.1699999999999999,0.7724060582010577,0.16,-0.6024060582010577,0.6024060582010577
Noruega,Centro,32677,32677,2023,52,2024.0,1.0,0.1699999999999999,0.27,0.671492857142857,0.1699999999999999,-0.401492857142857,0.401492857142857
Noruega,Centro,32677,32677,2024,1,2024.0,2.0,0.27,0.4399999999999999,0.3703602645502643,0.27,0.06963973544973562,0.06963973544973562
Noruega,Centro,32677,32677,2024,2,2024.0,3.0,0.4399999999999999,0.64,0.5255595057720053,0.4399999999999999,0.11444049422799474,0.11444049422799474
Noruega,Centro,32677,32677,2024,3,2024.0,4.0,0.64,0.6500000000000001,0.5766286111111113,0.64,0.07337138888888883,0.07337138888888883
Noruega,Centro,32677,32677,2024,4,2024.0,5.0,0.6500000000000001,0.88,0.69449373015873,0.6500000000000001,0.18550626984127006,0.18550626984127006
Noruega,Centro,32677,32677,2024,5,2024.0,6.0,0.88,0.75,0.8986804365079362,0.88,-0.14868043650793616,0.14868043650793616
Noruega,Centro,32677,32677,2024,6,2024.0,7.0,0.75,0.8200000000000001,0.8431014814814815,0.75,-0.02310148148148139,0.02310148148148139
Noruega,Centro,32677,32677,2024,7,2024.0,8.0,0.8200000000000001,1.09,0.8966282539682539,0.8200000000000001,0.19337174603174623,0.19337174603174623
Noruega,Centro,32677,32677,2024,8,2024.0,9.0,1.09,0.7999999999999999,1.138218531746032,1.09,-0.3382185317460321,0.3382185317460321
Noruega,Centro,32677,32677,2024,9,2024.0,10.0,0.7999999999999999,0.0,0.8980744047619053,0.7999999999999999,-0.8980744047619053,0.8980744047619053
Noruega,Centro,32677,32677,2024,10,2024.0,11.0,0.0,0.06,0.5249557671957671,0.0,-0.4649557671957671,0.4649557671957671
Noruega,Centro,32677,32677,2024,11,2024.0,12.0,0.06,0.08,0.5494675895400897,0.06,-0.46946758954008966,0.46946758954008966
Noruega,Centro,32677,32677,2024,12,2024.0,13.0,0.08,0.04,0.4119198677248676,0.08,-0.3719198677248676,0.3719198677248676
Noruega,Centro,32677,32677,2024,13,2024.0,14.0,0.04,0.12,0.1348033506308507,0.04,-0.014803350630850698,0.014803350630850698
Noruega,Centro,32677,32677,2024,14,2024.0,15.0,0.12,0.18,0.11503210063085066,0.12,0.06496789936914933,0.06496789936914933
Noruega,Centro,32677,32677,2024,15,2024.0,16.0,0.18,0.18,0.14995022893772886,0.18,0.030049771062271136,0.030049771062271136
Noruega,Centro,32677,32677,2024,16,2024.0,17.0,0.18,0.37,0.1518294552669552,0.18,0.21817054473304479,0.21817054473304479
Noruega,Centro,32677,32677,2024,17,2024.0,18.0,0.37,0.8900000000000001,0.3892961904761905,0.37,0.5007038095238097,0.5007038095238097
Noruega,Centro,32677,32677,2024,18,2024.0,19.0,0.8900000000000001,1.2000000000000002,0.960640158730159,0.8900000000000001,0.23935984126984122,0.23935984126984122
Noruega,Centro,32677,32677,2024,19,2024.0,20.0,1.2000000000000002,1.4600000000000002,1.338376865079365,1.2000000000000002,0.12162313492063515,0.12162313492063515
Noruega,Centro,32677,32677,2024,20,2024.0,21.0,1.4600000000000002,1.29,1.6626834523809522,1.4600000000000002,-0.37268345238095213,0.37268345238095213
Noruega,Centro,32677,32677,2024,21,2024.0,22.0,1.29,0.4899999999999999,1.55751328042328,1.29,-1.06751328042328,1.06751328042328
Noruega,Centro,32677,32677,2024,22,2024.0,23.0,0.4899999999999999,0.61,1.0946577813852805,0.4899999999999999,-0.4846577813852805,0.4846577813852805
Noruega,Centro,32677,32677,2024,23,2024.0,24.0,0.61,1.27,1.0590071031746027,0.61,0.21099289682539735,0.21099289682539735
Noruega,Centro,32677,32677,2024,24,2024.0,25.0,1.27,3.77,1.6700587806637808,1.27,2.0999412193362192,2.0999412193362192
Noruega,Centro,32677,32677,2024,25,2024.0,26.0,3.77,2.0900000000000003,3.5156663359788385,3.77,-1.4256663359788382,1.4256663359788382
