variable,shap_importancia_media_abs
parasitos_totales,0.6509885408180711
adultos_moviles,0.5045169503899156
hembras_ovigeras,0.31836060472613237
parasitos_totales_max_4,0.24393748095655798
juveniles,0.23378332357260914
parasitos_totales_lag1,0.22295547394500081
parasitos_totales_media_4,0.2184456538358472
adultos_moviles_media_4,0.16865612236004407
juveniles_media_4,0.16644698929072568
juveniles_lag1,0.1604407569363166
adultos_moviles_lag1,0.13171181444791394
juveniles_max_4,0.10343065369907482
adultos_moviles_max_4,0.1023763005528706
hembras_ovigeras_max_4,0.08654974325623635
hembras_ovigeras_media_4,0.08579033597193504
juveniles_lag2,0.08104368477883511
temperatura_media_4,0.0800737132785093
temperatura_lag4,0.06838240916914216
temperatura,0.060749573004344186
parasitos_totales_lag2,0.06044943156990845
hembras_ovigeras_lag1,0.05887545568885187
temperatura_lag3,0.054894206184083194
juveniles_lag3,0.05105649903989617
temperatura_lag1,0.0428793702378306
delta_hembras_1,0.03785970661835325
juveniles_lag4,0.035363506313989185
delta_parasitos_1,0.03346090611843705
delta_adultos_1,0.033338727597144874
parasitos_totales_lag3,0.030028354317043846
parasitos_totales_lag4,0.027862181350807425
hembras_ovigeras_lag4,0.027293970202986028
temperatura_lag2,0.0272255319763147
adultos_moviles_lag3,0.02660380318140014
salinidad_lag2,0.026111054641526316
hembras_ovigeras_lag3,0.02215119645421214
delta_salinidad_1,0.02139161077351268
salinidad_lag3,0.020796544540332914
adultos_moviles_lag4,0.02039438682353113
delta_juveniles_1,0.01845908374518376
hembras_ovigeras_lag2,0.017175587742181378
salinidad_lag1,0.016222519641531333
salinidad_media_4,0.015036432272324436
semana_cos,0.014738141963052105
adultos_moviles_lag2,0.012749809015691484
semana_sin,0.01274782531642207
salinidad_lag4,0.012573175918071259
salinidad,0.012420137962345316
delta_temperatura_1,0.006558126294279761
