pais,zona,localidad,localidad_id,anio,semana,estacion,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Chile,Los Lagos,102424,102424,2023,45,Primavera,2023.0,46.0,0.2,0.22,0.4091751773689273,0.2,-0.18917517736892728,0.18917517736892728
Chile,Los Lagos,102424,102424,2023,46,Primavera,2023.0,47.0,0.22,3.3,0.5005144895382394,0.22,2.7994855104617606,2.7994855104617606
Chile,Los Lagos,102424,102424,2023,47,Primavera,2023.0,48.0,3.3,3.58,4.163568253968257,3.3,-0.5835682539682567,0.5835682539682567
Chile,Los Lagos,102424,102424,2023,48,Primavera,2023.0,49.0,3.58,4.94,4.304703888888894,3.58,0.6352961111111064,0.6352961111111064
Chile,Los Lagos,102424,102424,2023,49,Primavera,2023.0,50.0,4.94,5.35,5.833633404761904,4.94,-0.4836334047619042,0.4836334047619042
Chile,Los Lagos,102424,102424,2023,50,Primavera,2023.0,51.0,5.35,6.470000000000001,5.4926276375661365,5.35,0.9773723624338642,0.9773723624338642
Chile,Los Lagos,102424,102424,2023,51,Primavera,2023.0,52.0,6.470000000000001,6.3,5.8543583201058205,6.470000000000001,0.44564167989417935,0.44564167989417935
Chile,Los Lagos,102424,102424,2023,52,Primavera,2024.0,1.0,6.3,5.32,5.66270578042328,6.3,-0.34270578042327937,0.34270578042327937
Chile,Los Lagos,102424,102424,2024,1,Verano,2024.0,2.0,5.32,5.1000000000000005,4.966335978835981,5.32,0.13366402116401943,0.13366402116401943
Chile,Los Lagos,102424,102424,2024,2,Verano,2024.0,3.0,5.1000000000000005,4.63,4.7655360502645525,5.1000000000000005,-0.13553605026455262,0.13553605026455262
Chile,Los Lagos,102424,102424,2024,3,Verano,2024.0,4.0,4.63,4.75,4.680611825396828,4.63,0.06938817460317193,0.06938817460317193
Chile,Los Lagos,102424,102424,2024,4,Verano,2024.0,5.0,4.75,5.699999999999999,4.609159469696969,4.75,1.09084053030303,1.09084053030303
Chile,Los Lagos,102424,102424,2024,5,Verano,2024.0,6.0,5.699999999999999,7.04,4.935264224867727,5.699999999999999,2.104735775132273,2.104735775132273
Chile,Los Lagos,102424,102424,2024,6,Verano,2024.0,7.0,7.04,1.37,6.391877764550261,7.04,-5.021877764550261,5.021877764550261
Chile,Los Lagos,102424,102424,2024,7,Verano,2024.0,8.0,1.37,2.5500000000000003,2.2591396825396832,1.37,0.29086031746031704,0.29086031746031704
Chile,Los Lagos,102424,102424,2024,8,Verano,2024.0,9.0,2.5500000000000003,3.68,3.213796124338625,2.5500000000000003,0.4662038756613751,0.4662038756613751
Chile,Los Lagos,102424,102424,2024,9,Verano,2024.0,10.0,3.68,3.99,4.010548888888891,3.68,-0.02054888888889117,0.02054888888889117
Chile,Los Lagos,102424,102424,2024,10,Verano,2024.0,11.0,3.99,5.760000000000001,4.300354550264549,3.99,1.4596454497354516,1.4596454497354516
Chile,Los Lagos,102424,102424,2024,11,Verano,2024.0,12.0,5.760000000000001,6.3,4.729970965608467,5.760000000000001,1.570029034391533,1.570029034391533
Chile,Los Lagos,102424,102424,2024,12,Verano,2024.0,13.0,6.3,7.529999999999999,5.586614788359792,6.3,1.9433852116402077,1.9433852116402077
Chile,Los Lagos,102424,102424,2024,13,Verano,2024.0,14.0,7.529999999999999,7.279999999999999,6.639860502645501,7.529999999999999,0.6401394973544985,0.6401394973544985
Chile,Los Lagos,102424,102424,2024,14,Otoño,2024.0,15.0,7.279999999999999,7.62,6.37803158730159,7.279999999999999,1.2419684126984105,1.2419684126984105
Chile,Los Lagos,102424,102424,2024,15,Otoño,2024.0,16.0,7.62,5.21,6.920545992063492,7.62,-1.7105459920634924,1.7105459920634924
Chile,Los Lagos,102424,102424,2024,16,Otoño,2024.0,17.0,5.21,6.48,5.014416566137567,5.21,1.4655834338624336,1.4655834338624336
Chile,Los Lagos,102424,102424,2024,17,Otoño,2024.0,18.0,6.48,6.720000000000001,5.39992386243386,6.48,1.320076137566141,1.320076137566141
Chile,Los Lagos,102424,102424,2024,18,Otoño,2024.0,19.0,6.720000000000001,7.41,5.959751560846558,6.720000000000001,1.4502484391534418,1.4502484391534418
Chile,Los Lagos,102424,102424,2024,19,Otoño,2024.0,20.0,7.41,8.799999999999999,7.698098253968255,7.41,1.1019017460317437,1.1019017460317437
Chile,Los Lagos,102424,102424,2024,20,Otoño,2024.0,21.0,8.799999999999999,8.44,8.041271216931213,8.799999999999999,0.3987287830687869,0.3987287830687869
Chile,Los Lagos,102424,102424,2024,21,Otoño,2024.0,22.0,8.44,9.86,7.958154457671958,8.44,1.9018455423280418,1.9018455423280418
Chile,Los Lagos,102424,102424,2024,22,Otoño,2024.0,23.0,9.86,10.33,7.824923134920638,9.86,2.505076865079362,2.505076865079362
Chile,Los Lagos,102424,102424,2024,23,Otoño,2024.0,24.0,10.33,11.16,7.969773095238094,10.33,3.1902269047619063,3.1902269047619063
Chile,Los Lagos,102424,102424,2024,24,Otoño,2024.0,25.0,11.16,2.43,8.428179748677248,11.16,-5.998179748677249,5.998179748677249
