pais,zona,localidad,localidad_id,anio,semana,estacion,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Noruega,Norte,24175,24175,2024,43,Otoño,2024.0,44.0,0.0,0.0,0.18554918229918219,0.0,-0.18554918229918219,0.18554918229918219
Noruega,Norte,24175,24175,2024,44,Otoño,2024.0,45.0,0.0,0.0,0.19374229585229588,0.0,-0.19374229585229588,0.19374229585229588
Noruega,Norte,24175,24175,2024,45,Otoño,2024.0,46.0,0.0,0.0,0.19137430402930403,0.0,-0.19137430402930403,0.19137430402930403
Noruega,Norte,24175,24175,2024,46,Otoño,2024.0,47.0,0.0,0.0,0.2486243833943835,0.0,-0.2486243833943835,0.2486243833943835
Noruega,Norte,24175,24175,2024,47,Otoño,2024.0,48.0,0.0,0.0,0.2753335067710069,0.0,-0.2753335067710069,0.2753335067710069
Noruega,Norte,24175,24175,2024,48,Otoño,2024.0,49.0,0.0,0.04,0.153911304898805,0.0,-0.113911304898805,0.113911304898805
Noruega,Norte,24175,24175,2024,49,Otoño,2024.0,50.0,0.04,0.04,0.10723328269958697,0.04,-0.06723328269958698,0.06723328269958698
Noruega,Norte,24175,24175,2024,50,Otoño,2024.0,51.0,0.04,0.02,0.09300908628408627,0.04,-0.07300908628408627,0.07300908628408627
Noruega,Norte,24175,24175,2024,51,Otoño,2024.0,52.0,0.02,0.17,0.06684958291708287,0.02,0.10315041708291714,0.10315041708291714
Noruega,Centro,32677,32677,2023,29,Verano,2023.0,30.0,0.0,0.0,0.05692906305682624,0.0,-0.05692906305682624,0.05692906305682624
Noruega,Centro,32677,32677,2023,30,Verano,2023.0,31.0,0.0,0.0,0.08639187293851547,0.0,-0.08639187293851547,0.08639187293851547
Noruega,Centro,32677,32677,2023,31,Verano,2023.0,32.0,0.0,0.02,0.1083987632704057,0.0,-0.0883987632704057,0.0883987632704057
Noruega,Centro,32677,32677,2023,32,Verano,2023.0,33.0,0.02,0.33,0.2963129217143009,0.02,0.03368707828569911,0.03368707828569911
Noruega,Centro,32677,32677,2023,33,Verano,2023.0,34.0,0.33,2.52,0.6508741397555191,0.33,1.869125860244481,1.869125860244481
