anio,semana,localidad,hembras_ovigeras,adultos_moviles,juveniles,temperatura,salinidad,pais,estacion,parasitos_totales,archivo_origen,localidad_id,zona,semana_homologada,anio_homologado,parasitos_totales_t1,anio_objetivo,semana_objetivo,fecha_t,fecha_t1,es_semana_siguiente,semana_sin,semana_cos
2014,1,102424,0.43,0.25,0.08,14.942,33.137,Chile,Verano,0.7599999999999999,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,27,2014,0.6000000000000001,2014.0,2.0,2013-12-30,2014-01-06,True,-0.12053668025532283,-0.992708874098054
2014,2,102424,0.38,0.17,0.05,15.428,33.182,Chile,Verano,0.6000000000000001,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,28,2014,0.48,2014.0,3.0,2014-01-06,2014-01-13,True,-0.23931566428755743,-0.9709418174260521
2014,3,102424,0.3,0.1,0.08,16.371,33.24,Chile,Verano,0.48,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,29,2014,0.47,2014.0,4.0,2014-01-13,2014-01-20,True,-0.3546048870425356,-0.9350162426854148
2014,4,102424,0.17,0.25,0.05,15.815,33.238,Chile,Verano,0.47,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,30,2014,0.6100000000000001,2014.0,5.0,2014-01-20,2014-01-27,True,-0.46472317204376806,-0.8854560256532101
2014,5,102424,0.28,0.2,0.13,15.504,33.246,Chile,Verano,0.6100000000000001,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,31,2014,0.95,2014.0,6.0,2014-01-27,2014-02-03,True,-0.5680647467311556,-0.8229838658936566
2014,6,102424,0.45,0.28,0.22,15.325,33.251,Chile,Verano,0.95,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,32,2014,0.65,2014.0,7.0,2014-02-03,2014-02-10,True,-0.663122658240795,-0.7485107481711013
2014,7,102424,0.3,0.22,0.13,15.613,33.28,Chile,Verano,0.65,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,33,2014,0.98,2014.0,8.0,2014-02-10,2014-02-17,True,-0.7485107481711011,-0.6631226582407952
2014,8,102424,0.63,0.25,0.1,15.911,33.321,Chile,Verano,0.98,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,34,2014,1.18,2014.0,9.0,2014-02-17,2014-02-24,True,-0.8229838658936564,-0.5680647467311559
2014,9,102424,0.68,0.35,0.15,15.515,33.396,Chile,Verano,1.18,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,35,2014,1.44,2014.0,10.0,2014-02-24,2014-03-03,True,-0.8854560256532096,-0.4647231720437691
2014,10,102424,0.75,0.52,0.17,15.511,33.424,Chile,Verano,1.44,cargas_parasitarias_chile_102424_piojos_temp_sal_2014_2024.csv,102424,Los Lagos,36,2014,1.85,2014.0,11.0,2014-03-03,2014-03-10,True,-0.9350162426854147,-0.3546048870425359
