pais,zona,localidad,localidad_id,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Chile,Los Lagos,102424,102424,2023,45,2023.0,46.0,0.2,0.22,0.5180807857142853,0.2,-0.2980807857142853,0.2980807857142853
Chile,Los Lagos,102424,102424,2023,46,2023.0,47.0,0.22,3.3,0.5611552380952378,0.22,2.738844761904762,2.738844761904762
Chile,Los Lagos,102424,102424,2023,47,2023.0,48.0,3.3,3.58,4.047434825396821,3.3,-0.467434825396821,0.467434825396821
Chile,Los Lagos,102424,102424,2023,48,2023.0,49.0,3.58,4.94,4.732193833333331,3.58,0.2078061666666695,0.2078061666666695
Chile,Los Lagos,102424,102424,2023,49,2023.0,50.0,4.94,5.35,5.289912968253965,4.94,0.06008703174603447,0.06008703174603447
Chile,Los Lagos,102424,102424,2023,50,2023.0,51.0,5.35,6.470000000000001,5.371800325396826,5.35,1.0981996746031744,1.0981996746031744
Chile,Los Lagos,102424,102424,2023,51,2023.0,52.0,6.470000000000001,6.3,5.669743071428571,6.470000000000001,0.6302569285714288,0.6302569285714288
Chile,Los Lagos,102424,102424,2023,52,2024.0,1.0,6.3,5.32,5.549196959595962,6.3,-0.22919695959596176,0.22919695959596176
Chile,Los Lagos,102424,102424,2024,1,2024.0,2.0,5.32,5.1000000000000005,5.289080491341986,5.32,-0.18908049134198546,0.18908049134198546
Chile,Los Lagos,102424,102424,2024,2,2024.0,3.0,5.1000000000000005,4.63,5.075669078643575,5.1000000000000005,-0.44566907864357486,0.44566907864357486
Chile,Los Lagos,102424,102424,2024,3,2024.0,4.0,4.63,4.75,4.575223619047615,4.63,0.1747763809523848,0.1747763809523848
Chile,Los Lagos,102424,102424,2024,4,2024.0,5.0,4.75,5.699999999999999,4.5277553809523825,4.75,1.1722446190476168,1.1722446190476168
Chile,Los Lagos,102424,102424,2024,5,2024.0,6.0,5.699999999999999,7.04,4.665631880230878,5.699999999999999,2.374368119769122,2.374368119769122
Chile,Los Lagos,102424,102424,2024,6,2024.0,7.0,7.04,1.37,6.831585380952382,7.04,-5.461585380952382,5.461585380952382
Chile,Los Lagos,102424,102424,2024,7,2024.0,8.0,1.37,2.5500000000000003,2.653909484126986,1.37,-0.10390948412698586,0.10390948412698586
Chile,Los Lagos,102424,102424,2024,8,2024.0,9.0,2.5500000000000003,3.68,2.8866709999999998,2.5500000000000003,0.7933290000000004,0.7933290000000004
Chile,Los Lagos,102424,102424,2024,9,2024.0,10.0,3.68,3.99,3.9156395079365054,3.68,0.07436049206349482,0.07436049206349482
Chile,Los Lagos,102424,102424,2024,10,2024.0,11.0,3.99,5.760000000000001,4.316824725829724,3.99,1.4431752741702768,1.4431752741702768
Chile,Los Lagos,102424,102424,2024,11,2024.0,12.0,5.760000000000001,6.3,4.476556642857144,5.760000000000001,1.8234433571428559,1.8234433571428559
Chile,Los Lagos,102424,102424,2024,12,2024.0,13.0,6.3,7.529999999999999,4.93279891269841,6.3,2.597201087301589,2.597201087301589
Chile,Los Lagos,102424,102424,2024,13,2024.0,14.0,7.529999999999999,7.279999999999999,7.042791285714289,7.529999999999999,0.23720871428571044,0.23720871428571044
Chile,Los Lagos,102424,102424,2024,14,2024.0,15.0,7.279999999999999,7.62,7.230732738095243,7.279999999999999,0.3892672619047568,0.3892672619047568
Chile,Los Lagos,102424,102424,2024,15,2024.0,16.0,7.62,5.21,7.375705690476193,7.62,-2.1657056904761927,2.1657056904761927
Chile,Los Lagos,102424,102424,2024,16,2024.0,17.0,5.21,6.48,4.9327571262626195,5.21,1.547242873737381,1.547242873737381
Chile,Los Lagos,102424,102424,2024,17,2024.0,18.0,6.48,6.720000000000001,5.03412774531024,6.48,1.6858722546897607,1.6858722546897607
Chile,Los Lagos,102424,102424,2024,18,2024.0,19.0,6.720000000000001,7.41,6.527378309523808,6.720000000000001,0.8826216904761921,0.8826216904761921
Chile,Los Lagos,102424,102424,2024,19,2024.0,20.0,7.41,8.799999999999999,7.8853408095238136,7.41,0.9146591904761854,0.9146591904761854
Chile,Los Lagos,102424,102424,2024,20,2024.0,21.0,8.799999999999999,8.44,8.232102214285716,8.799999999999999,0.20789778571428386,0.20789778571428386
Chile,Los Lagos,102424,102424,2024,21,2024.0,22.0,8.44,9.86,7.572224904761896,8.44,2.2877750952381035,2.2877750952381035
Chile,Los Lagos,102424,102424,2024,22,2024.0,23.0,9.86,10.33,8.012265912698414,9.86,2.317734087301586,2.317734087301586
Chile,Los Lagos,102424,102424,2024,23,2024.0,24.0,10.33,11.16,7.714684865079363,10.33,3.4453151349206372,3.4453151349206372
Chile,Los Lagos,102424,102424,2024,24,2024.0,25.0,11.16,2.43,6.141206666666669,11.16,-3.7112066666666688,3.7112066666666688
Chile,Los Lagos,102424,102424,2024,25,2024.0,26.0,2.43,2.3,3.4349365476190505,2.43,-1.1349365476190507,1.1349365476190507
Chile,Los Lagos,102424,102424,2024,26,2024.0,27.0,2.3,3.84,2.7660737619047624,2.3,1.0739262380952375,1.0739262380952375
Chile,Los Lagos,102424,102424,2024,27,2024.0,28.0,3.84,4.83,5.277586357142856,3.84,-0.447586357142856,0.447586357142856
Chile,Los Lagos,102424,102424,2024,28,2024.0,29.0,4.83,6.1,5.491701325396826,4.83,0.6082986746031738,0.6082986746031738
Chile,Los Lagos,102424,102424,2024,29,2024.0,30.0,6.1,6.65,5.9037707777777815,6.1,0.7462292222222189,0.7462292222222189
Chile,Aysén,110758,110758,2022,52,2023.0,1.0,4.42,9.28,5.439249703463201,4.42,3.8407502965367986,3.8407502965367986
Chile,Aysén,110758,110758,2023,1,2023.0,2.0,9.28,4.949999999999999,8.320659495671,9.28,-3.370659495671001,3.370659495671001
Chile,Aysén,110758,110758,2023,2,2023.0,3.0,4.949999999999999,7.08,5.345901277777778,4.949999999999999,1.734098722222222,1.734098722222222
Chile,Aysén,110758,110758,2023,3,2023.0,4.0,7.08,3.33,7.401807817460323,7.08,-4.071807817460323,4.071807817460323
Chile,Aysén,110758,110758,2023,4,2023.0,5.0,3.33,7.999999999999999,4.341285499999997,3.33,3.658714500000002,3.658714500000002
Chile,Aysén,110758,110758,2023,5,2023.0,6.0,7.999999999999999,4.39,8.423144947330455,7.999999999999999,-4.033144947330455,4.033144947330455
Chile,Aysén,110758,110758,2023,6,2023.0,7.0,4.39,7.029999999999999,4.914837158730161,4.39,2.1151628412698384,2.1151628412698384
Chile,Aysén,110758,110758,2023,7,2023.0,8.0,7.029999999999999,4.84,7.375649880952385,7.029999999999999,-2.535649880952385,2.535649880952385
Chile,Aysén,110758,110758,2023,8,2023.0,9.0,4.84,5.34,5.183158896825401,4.84,0.15684110317459865,0.15684110317459865
Chile,Aysén,110758,110758,2023,9,2023.0,10.0,5.34,6.98,5.590206047619047,5.34,1.3897939523809537,1.3897939523809537
Chile,Aysén,110758,110758,2023,10,2023.0,11.0,6.98,6.21,7.430474023809528,6.98,-1.220474023809528,1.220474023809528
Chile,Aysén,110758,110758,2023,11,2023.0,12.0,6.21,4.52,5.355761261904768,6.21,-0.8357612619047687,0.8357612619047687
Chile,Aysén,110758,110758,2023,12,2023.0,13.0,4.52,4.84,4.882497309523809,4.52,-0.04249730952380926,0.04249730952380926
Chile,Aysén,110758,110758,2023,13,2023.0,14.0,4.84,5.35,5.030180714285713,4.84,0.31981928571428675,0.31981928571428675
Chile,Aysén,110758,110758,2024,19,2024.0,20.0,0.93,0.33,1.3269344761904767,0.93,-0.9969344761904766,0.9969344761904766
Chile,Aysén,110758,110758,2024,20,2024.0,21.0,0.33,0.9,0.6206685555555552,0.33,0.2793314444444448,0.2793314444444448
Chile,Aysén,110758,110758,2024,21,2024.0,22.0,0.9,0.4399999999999999,1.2546090317460314,0.9,-0.8146090317460315,0.8146090317460315
Chile,Aysén,110758,110758,2024,22,2024.0,23.0,0.4399999999999999,2.85,0.7617975079365081,0.4399999999999999,2.088202492063492,2.088202492063492
Chile,Aysén,110758,110758,2024,23,2024.0,24.0,2.85,3.32,4.340646158730158,2.85,-1.0206461587301585,1.0206461587301585
Chile,Aysén,110758,110758,2024,24,2024.0,25.0,3.32,5.6,4.274210865079362,3.32,1.3257891349206377,1.3257891349206377
Chile,Aysén,110758,110758,2024,25,2024.0,26.0,5.6,4.1,4.8859701428571425,5.6,-0.7859701428571428,0.7859701428571428
Chile,Aysén,110758,110758,2024,26,2024.0,27.0,4.1,0.99,5.276428150793652,4.1,-4.286428150793652,4.286428150793652
Chile,Aysén,110758,110758,2024,27,2024.0,28.0,0.99,1.62,1.249110095238094,0.99,0.3708899047619061,0.3708899047619061
Chile,Aysén,110758,110758,2024,28,2024.0,29.0,1.62,0.84,2.456534833333332,1.62,-1.6165348333333323,1.6165348333333323
Chile,Aysén,110758,110758,2024,29,2024.0,30.0,0.84,2.8,0.820655619047619,0.84,1.979344380952381,1.979344380952381
Chile,Magallanes,120128,120128,2022,52,2023.0,1.0,0.0,0.0,0.0009056666666666668,0.0,-0.0009056666666666668,0.0009056666666666668
Chile,Magallanes,120128,120128,2023,1,2023.0,2.0,0.0,0.0,0.00040566666666666675,0.0,-0.00040566666666666675,0.00040566666666666675
Chile,Magallanes,120128,120128,2023,2,2023.0,3.0,0.0,0.0,0.00028166666666666666,0.0,-0.00028166666666666666,0.00028166666666666666
Chile,Magallanes,120128,120128,2023,3,2023.0,4.0,0.0,0.0,0.000524,0.0,-0.000524,0.000524
Chile,Magallanes,120128,120128,2023,4,2023.0,5.0,0.0,0.0,0.00044600000000000005,0.0,-0.00044600000000000005,0.00044600000000000005
Chile,Magallanes,120128,120128,2023,5,2023.0,6.0,0.0,0.06,0.00135,0.0,0.05865,0.05865
Chile,Magallanes,120128,120128,2023,6,2023.0,7.0,0.06,0.03,0.05616405844155844,0.06,-0.02616405844155844,0.02616405844155844
Chile,Magallanes,120128,120128,2023,7,2023.0,8.0,0.03,0.16,0.0067888571428571425,0.03,0.15321114285714285,0.15321114285714285
Chile,Magallanes,120128,120128,2023,8,2023.0,9.0,0.16,0.08,0.33156694444444457,0.16,-0.25156694444444455,0.25156694444444455
Chile,Magallanes,120128,120128,2023,9,2023.0,10.0,0.08,0.18,0.11900532034632032,0.08,0.060994679653679676,0.060994679653679676
Chile,Magallanes,120128,120128,2023,10,2023.0,11.0,0.18,0.18,0.2619142777777776,0.18,-0.0819142777777776,0.0819142777777776
Chile,Magallanes,120128,120128,2023,11,2023.0,12.0,0.18,0.08,0.31264982539682556,0.18,-0.23264982539682555,0.23264982539682555
Chile,Magallanes,120128,120128,2023,12,2023.0,13.0,0.08,0.35,0.1125425952380953,0.08,0.2374574047619047,0.2374574047619047
Chile,Magallanes,120128,120128,2023,13,2023.0,14.0,0.35,0.51,0.5414818571428568,0.35,-0.031481857142856784,0.031481857142856784
Chile,Magallanes,120128,120128,2023,14,2023.0,15.0,0.51,0.57,1.345649785714288,0.51,-0.775649785714288,0.775649785714288
Chile,Magallanes,120128,120128,2023,15,2023.0,16.0,0.57,0.65,1.2951763253968274,0.57,-0.6451763253968273,0.6451763253968273
Chile,Magallanes,120128,120128,2023,16,2023.0,17.0,0.65,0.73,1.6036651190476194,0.65,-0.8736651190476195,0.8736651190476195
Chile,Magallanes,120128,120128,2023,17,2023.0,18.0,0.73,0.67,1.3579337539682546,0.73,-0.6879337539682545,0.6879337539682545
Chile,Magallanes,120128,120128,2023,18,2023.0,19.0,0.67,2.35,1.3325102777777789,0.67,1.0174897222222212,1.0174897222222212
Chile,Magallanes,120128,120128,2023,19,2023.0,20.0,2.35,3.03,2.762031214285717,2.35,0.26796878571428273,0.26796878571428273
Chile,Magallanes,120128,120128,2023,20,2023.0,21.0,3.03,3.69,3.760770436507938,3.03,-0.07077043650793824,0.07077043650793824
Chile,Magallanes,120128,120128,2023,21,2023.0,22.0,3.69,4.050000000000001,5.422498341269845,3.69,-1.3724983412698446,1.3724983412698446
Chile,Magallanes,120128,120128,2023,22,2023.0,23.0,4.050000000000001,3.49,5.184011444444446,4.050000000000001,-1.6940114444444454,1.6940114444444454
Chile,Magallanes,120128,120128,2023,23,2023.0,24.0,3.49,5.01,4.549074182539683,3.49,0.4609258174603168,0.4609258174603168
Chile,Magallanes,120128,120128,2023,24,2023.0,25.0,5.01,7.949999999999999,7.2250591558441535,5.01,0.7249408441558458,0.7249408441558458
Chile,Magallanes,120128,120128,2023,25,2023.0,26.0,7.949999999999999,7.15,8.352645285714285,7.949999999999999,-1.2026452857142846,1.2026452857142846
Chile,Magallanes,120128,120128,2023,26,2023.0,27.0,7.15,12.81,8.93750067965368,7.15,3.8724993203463214,3.8724993203463214
Chile,Magallanes,120128,120128,2023,27,2023.0,28.0,12.81,3.55,10.534643412698411,12.81,-6.984643412698412,6.984643412698412
Chile,Magallanes,120128,120128,2023,28,2023.0,29.0,3.55,2.1,5.462373904761907,3.55,-3.3623739047619066,3.3623739047619066
Chile,Magallanes,120128,120128,2023,29,2023.0,30.0,2.1,7.25,2.5233226717171697,2.1,4.726677328282831,4.726677328282831
Chile,Magallanes,120128,120128,2023,30,2023.0,31.0,7.25,6.529999999999999,9.322415634920636,7.25,-2.792415634920637,2.792415634920637
Chile,Magallanes,120128,120128,2023,31,2023.0,32.0,6.529999999999999,4.92,7.641217290764788,6.529999999999999,-2.7212172907647885,2.7212172907647885
