pais,zona,localidad,localidad_id,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Chile,Los Lagos,102424,102424,2023,45,2023.0,46.0,0.2,0.22,0.5841905555555554,0.2,-0.36419055555555546,0.36419055555555546
Chile,Los Lagos,102424,102424,2023,46,2023.0,47.0,0.22,3.3,0.6768135952380951,0.22,2.6231864047619045,2.6231864047619045
Chile,Los Lagos,102424,102424,2023,47,2023.0,48.0,3.3,3.58,3.8075842590187534,3.3,-0.22758425901875334,0.22758425901875334
Chile,Los Lagos,102424,102424,2023,48,2023.0,49.0,3.58,4.94,4.35243673015873,3.58,0.5875632698412705,0.5875632698412705
Chile,Los Lagos,102424,102424,2023,49,2023.0,50.0,4.94,5.35,5.503543975468981,4.94,-0.15354397546898113,0.15354397546898113
Chile,Los Lagos,102424,102424,2023,50,2023.0,51.0,5.35,6.470000000000001,5.504431253246757,5.35,0.9655687467532434,0.9655687467532434
Chile,Los Lagos,102424,102424,2023,51,2023.0,52.0,6.470000000000001,6.3,5.41018766594517,6.470000000000001,0.8898123340548301,0.8898123340548301
Chile,Los Lagos,102424,102424,2023,52,2024.0,1.0,6.3,5.32,5.604871086580089,6.3,-0.28487108658008875,0.28487108658008875
Chile,Los Lagos,102424,102424,2024,1,2024.0,2.0,5.32,5.1000000000000005,5.136211555555556,5.32,-0.03621155555555511,0.03621155555555511
Chile,Los Lagos,102424,102424,2024,2,2024.0,3.0,5.1000000000000005,4.63,5.139067539682536,5.1000000000000005,-0.5090675396825359,0.5090675396825359
Chile,Los Lagos,102424,102424,2024,3,2024.0,4.0,4.63,4.75,4.688277898989901,4.63,0.06172210101009856,0.06172210101009856
Chile,Los Lagos,102424,102424,2024,4,2024.0,5.0,4.75,5.699999999999999,4.5506796132756175,4.75,1.1493203867243817,1.1493203867243817
Chile,Los Lagos,102424,102424,2024,5,2024.0,6.0,5.699999999999999,7.04,4.984971996392492,5.699999999999999,2.055028003607508,2.055028003607508
Chile,Los Lagos,102424,102424,2024,6,2024.0,7.0,7.04,1.37,5.630582623376623,7.04,-4.260582623376623,4.260582623376623
Chile,Los Lagos,102424,102424,2024,7,2024.0,8.0,1.37,2.5500000000000003,2.4189815079365085,1.37,0.1310184920634918,0.1310184920634918
Chile,Los Lagos,102424,102424,2024,8,2024.0,9.0,2.5500000000000003,3.68,3.042463190476187,2.5500000000000003,0.6375368095238132,0.6375368095238132
Chile,Los Lagos,102424,102424,2024,9,2024.0,10.0,3.68,3.99,4.012380388888889,3.68,-0.022380388888889158,0.022380388888889158
Chile,Los Lagos,102424,102424,2024,10,2024.0,11.0,3.99,5.760000000000001,4.316636047619049,3.99,1.4433639523809516,1.4433639523809516
Chile,Los Lagos,102424,102424,2024,11,2024.0,12.0,5.760000000000001,6.3,5.350221468253959,5.760000000000001,0.9497785317460412,0.9497785317460412
Chile,Los Lagos,102424,102424,2024,12,2024.0,13.0,6.3,7.529999999999999,5.435315266233762,6.3,2.094684733766237,2.094684733766237
Chile,Los Lagos,102424,102424,2024,13,2024.0,14.0,7.529999999999999,7.279999999999999,5.856697333333326,7.529999999999999,1.4233026666666735,1.4233026666666735
Chile,Los Lagos,102424,102424,2024,14,2024.0,15.0,7.279999999999999,7.62,6.356898428571427,7.279999999999999,1.2631015714285727,1.2631015714285727
Chile,Los Lagos,102424,102424,2024,15,2024.0,16.0,7.62,5.21,5.54435685930736,7.62,-0.33435685930736003,0.33435685930736003
Chile,Los Lagos,102424,102424,2024,16,2024.0,17.0,5.21,6.48,5.137381301587299,5.21,1.3426186984127018,1.3426186984127018
Chile,Los Lagos,102424,102424,2024,17,2024.0,18.0,6.48,6.720000000000001,5.779579595238096,6.48,0.9404204047619045,0.9404204047619045
Chile,Los Lagos,102424,102424,2024,18,2024.0,19.0,6.720000000000001,7.41,6.296511261904765,6.720000000000001,1.113488738095235,1.113488738095235
Chile,Los Lagos,102424,102424,2024,19,2024.0,20.0,7.41,8.799999999999999,7.874775790764798,7.41,0.9252242092352008,0.9252242092352008
Chile,Los Lagos,102424,102424,2024,20,2024.0,21.0,8.799999999999999,8.44,9.636828059163063,8.799999999999999,-1.1968280591630638,1.1968280591630638
Chile,Los Lagos,102424,102424,2024,21,2024.0,22.0,8.44,9.86,8.811559518037528,8.44,1.048440481962471,1.048440481962471
Chile,Los Lagos,102424,102424,2024,22,2024.0,23.0,9.86,10.33,8.588852052669557,9.86,1.7411479473304432,1.7411479473304432
Chile,Los Lagos,102424,102424,2024,23,2024.0,24.0,10.33,11.16,8.361642511544009,10.33,2.7983574884559914,2.7983574884559914
Chile,Los Lagos,102424,102424,2024,24,2024.0,25.0,11.16,2.43,9.186585310966821,11.16,-6.7565853109668215,6.7565853109668215
Chile,Los Lagos,102424,102424,2024,25,2024.0,26.0,2.43,2.3,4.606552619047618,2.43,-2.3065526190476184,2.3065526190476184
Chile,Los Lagos,102424,102424,2024,26,2024.0,27.0,2.3,3.84,3.4521373924963923,2.3,0.38786260750360757,0.38786260750360757
Chile,Los Lagos,102424,102424,2024,27,2024.0,28.0,3.84,4.83,8.653992753968268,3.84,-3.823992753968268,3.823992753968268
Chile,Los Lagos,102424,102424,2024,28,2024.0,29.0,4.83,6.1,6.3261310476190475,4.83,-0.2261310476190479,0.2261310476190479
Chile,Los Lagos,102424,102424,2024,29,2024.0,30.0,6.1,6.65,6.232618698412705,6.1,0.41738130158729536,0.41738130158729536
Chile,Aysén,110758,110758,2022,52,2023.0,1.0,4.42,9.28,5.155586214285713,4.42,4.124413785714286,4.124413785714286
Chile,Aysén,110758,110758,2023,1,2023.0,2.0,9.28,4.949999999999999,7.580595111111111,9.28,-2.630595111111112,2.630595111111112
Chile,Aysén,110758,110758,2023,2,2023.0,3.0,4.949999999999999,7.08,5.604902232323229,4.949999999999999,1.475097767676771,1.475097767676771
Chile,Aysén,110758,110758,2023,3,2023.0,4.0,7.08,3.33,6.670223984126986,7.08,-3.340223984126986,3.340223984126986
Chile,Aysén,110758,110758,2023,4,2023.0,5.0,3.33,7.999999999999999,4.546137132034629,3.33,3.45386286796537,3.45386286796537
Chile,Aysén,110758,110758,2023,5,2023.0,6.0,7.999999999999999,4.39,8.09778691269841,7.999999999999999,-3.7077869126984107,3.7077869126984107
Chile,Aysén,110758,110758,2023,6,2023.0,7.0,4.39,7.029999999999999,4.83537790476191,4.39,2.1946220952380893,2.1946220952380893
Chile,Aysén,110758,110758,2023,7,2023.0,8.0,7.029999999999999,4.84,6.844118182539686,7.029999999999999,-2.0041181825396865,2.0041181825396865
Chile,Aysén,110758,110758,2023,8,2023.0,9.0,4.84,5.34,6.147911452380954,4.84,-0.8079114523809539,0.8079114523809539
Chile,Aysén,110758,110758,2023,9,2023.0,10.0,5.34,6.98,5.915829793650793,5.34,1.0641702063492078,1.0641702063492078
Chile,Aysén,110758,110758,2023,10,2023.0,11.0,6.98,6.21,6.488588714285717,6.98,-0.27858871428571685,0.27858871428571685
Chile,Aysén,110758,110758,2023,11,2023.0,12.0,6.21,4.52,5.641604444444444,6.21,-1.1216044444444444,1.1216044444444444
Chile,Aysén,110758,110758,2023,12,2023.0,13.0,4.52,4.84,4.612752692640691,4.52,0.22724730735930887,0.22724730735930887
Chile,Aysén,110758,110758,2023,13,2023.0,14.0,4.84,5.35,5.863489224386725,4.84,-0.5134892243867251,0.5134892243867251
Chile,Aysén,110758,110758,2024,19,2024.0,20.0,0.93,0.33,1.4743304523809508,0.93,-1.1443304523809508,1.1443304523809508
Chile,Aysén,110758,110758,2024,20,2024.0,21.0,0.33,0.9,0.5673662619047624,0.33,0.33263373809523766,0.33263373809523766
Chile,Aysén,110758,110758,2024,21,2024.0,22.0,0.9,0.4399999999999999,1.4659068015873018,0.9,-1.0259068015873019,1.0259068015873019
Chile,Aysén,110758,110758,2024,22,2024.0,23.0,0.4399999999999999,2.85,1.064069055555556,0.4399999999999999,1.785930944444444,1.785930944444444
Chile,Aysén,110758,110758,2024,23,2024.0,24.0,2.85,3.32,4.319430682539684,2.85,-0.9994306825396841,0.9994306825396841
Chile,Aysén,110758,110758,2024,24,2024.0,25.0,3.32,5.6,4.103611626984126,3.32,1.4963883730158738,1.4963883730158738
Chile,Aysén,110758,110758,2024,25,2024.0,26.0,5.6,4.1,6.844156920634922,5.6,-2.7441569206349223,2.7441569206349223
Chile,Aysén,110758,110758,2024,26,2024.0,27.0,4.1,0.99,7.220060155122662,4.1,-6.230060155122662,6.230060155122662
Chile,Aysén,110758,110758,2024,27,2024.0,28.0,0.99,1.62,1.467831865079365,0.99,0.1521681349206352,0.1521681349206352
Chile,Aysén,110758,110758,2024,28,2024.0,29.0,1.62,0.84,2.5871817936507924,1.62,-1.7471817936507925,1.7471817936507925
Chile,Aysén,110758,110758,2024,29,2024.0,30.0,0.84,2.8,1.2233711666666671,0.84,1.5766288333333327,1.5766288333333327
Chile,Magallanes,120128,120128,2022,52,2023.0,1.0,0.0,0.0,0.006518809523809519,0.0,-0.006518809523809519,0.006518809523809519
Chile,Magallanes,120128,120128,2023,1,2023.0,2.0,0.0,0.0,0.00020766666666666668,0.0,-0.00020766666666666668,0.00020766666666666668
Chile,Magallanes,120128,120128,2023,2,2023.0,3.0,0.0,0.0,0.00034300000000000004,0.0,-0.00034300000000000004,0.00034300000000000004
Chile,Magallanes,120128,120128,2023,3,2023.0,4.0,0.0,0.0,0.00025966666666666667,0.0,-0.00025966666666666667,0.00025966666666666667
Chile,Magallanes,120128,120128,2023,4,2023.0,5.0,0.0,0.0,0.00033766666666666667,0.0,-0.00033766666666666667,0.00033766666666666667
Chile,Magallanes,120128,120128,2023,5,2023.0,6.0,0.0,0.06,0.0013425714285714289,0.0,0.05865742857142857,0.05865742857142857
Chile,Magallanes,120128,120128,2023,6,2023.0,7.0,0.06,0.03,0.1857727380952381,0.06,-0.1557727380952381,0.1557727380952381
Chile,Magallanes,120128,120128,2023,7,2023.0,8.0,0.03,0.16,0.14397201587301592,0.03,0.016027984126984085,0.016027984126984085
Chile,Magallanes,120128,120128,2023,8,2023.0,9.0,0.16,0.08,0.3156046825396824,0.16,-0.23560468253968236,0.23560468253968236
