pais,zona,localidad,localidad_id,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Noruega,Norte,24175,24175,2024,43,2024.0,44.0,0.0,0.0,0.05595130952380953,0.0,-0.05595130952380953,0.05595130952380953
Noruega,Norte,24175,24175,2024,44,2024.0,45.0,0.0,0.0,0.14040244444444447,0.0,-0.14040244444444447,0.14040244444444447
Noruega,Norte,24175,24175,2024,45,2024.0,46.0,0.0,0.0,0.03617932539682542,0.0,-0.03617932539682542,0.03617932539682542
Noruega,Norte,24175,24175,2024,46,2024.0,47.0,0.0,0.0,0.05110702236652238,0.0,-0.05110702236652238,0.05110702236652238
Noruega,Norte,24175,24175,2024,47,2024.0,48.0,0.0,0.0,0.0718925937950938,0.0,-0.0718925937950938,0.0718925937950938
Noruega,Norte,24175,24175,2024,48,2024.0,49.0,0.0,0.04,0.08111195093795091,0.0,-0.04111195093795091,0.04111195093795091
Noruega,Norte,24175,24175,2024,49,2024.0,50.0,0.04,0.04,0.09902795887445898,0.04,-0.059027958874458976,0.059027958874458976
Noruega,Norte,24175,24175,2024,50,2024.0,51.0,0.04,0.02,0.07601730158730158,0.04,-0.056017301587301574,0.056017301587301574
Noruega,Norte,24175,24175,2024,51,2024.0,52.0,0.02,0.17,0.10707565873015881,0.02,0.0629243412698412,0.0629243412698412
Noruega,Centro,32677,32677,2023,29,2023.0,30.0,0.0,0.0,0.09434257936507946,0.0,-0.09434257936507946,0.09434257936507946
Noruega,Centro,32677,32677,2023,30,2023.0,31.0,0.0,0.0,0.10881797619047619,0.0,-0.10881797619047619,0.10881797619047619
Noruega,Centro,32677,32677,2023,31,2023.0,32.0,0.0,0.02,0.14525876190476186,0.0,-0.12525876190476187,0.12525876190476187
Noruega,Centro,32677,32677,2023,32,2023.0,33.0,0.02,0.33,0.44078187085137027,0.02,-0.11078187085137026,0.11078187085137026
Noruega,Centro,32677,32677,2023,33,2023.0,34.0,0.33,2.52,0.6299727085137085,0.33,1.8900272914862914,1.8900272914862914
Noruega,Centro,32677,32677,2023,34,2023.0,35.0,2.52,6.48,4.4038800158730185,2.52,2.076119984126982,2.076119984126982
