pais,zona,localidad,localidad_id,anio,semana,estacion,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Chile,Los Lagos,102424,102424,2023,45,Primavera,2023.0,46.0,0.2,0.22,0.4934212862190221,0.2,-0.27342128621902206,0.27342128621902206
Chile,Los Lagos,102424,102424,2023,46,Primavera,2023.0,47.0,0.22,3.3,0.5561829132031495,0.22,2.7438170867968505,2.7438170867968505
Chile,Los Lagos,102424,102424,2023,47,Primavera,2023.0,48.0,3.3,3.58,3.9518503399109832,3.3,-0.37185033991098315,0.37185033991098315
Chile,Los Lagos,102424,102424,2023,48,Primavera,2023.0,49.0,3.58,4.94,4.171703316101458,3.58,0.7682966838985426,0.7682966838985426
Chile,Los Lagos,102424,102424,2023,49,Primavera,2023.0,50.0,4.94,5.35,5.010101749084248,4.94,0.339898250915752,0.339898250915752
Chile,Los Lagos,102424,102424,2023,50,Primavera,2023.0,51.0,5.35,6.470000000000001,5.105341524216523,5.35,1.3646584757834779,1.3646584757834779
Chile,Los Lagos,102424,102424,2023,51,Primavera,2023.0,52.0,6.470000000000001,6.3,5.69258716931217,6.470000000000001,0.6074128306878297,0.6074128306878297
Chile,Los Lagos,102424,102424,2023,52,Primavera,2024.0,1.0,6.3,5.32,5.425971585544082,6.3,-0.10597158554408193,0.10597158554408193
Chile,Los Lagos,102424,102424,2024,1,Verano,2024.0,2.0,5.32,5.1000000000000005,4.772386868131867,5.32,0.3276131318681337,0.3276131318681337
Chile,Los Lagos,102424,102424,2024,2,Verano,2024.0,3.0,5.1000000000000005,4.63,4.562387463369964,5.1000000000000005,0.06761253663003597,0.06761253663003597
Chile,Los Lagos,102424,102424,2024,3,Verano,2024.0,4.0,4.63,4.75,4.382218180615679,4.63,0.3677818193843212,0.3677818193843212
Chile,Los Lagos,102424,102424,2024,4,Verano,2024.0,5.0,4.75,5.699999999999999,4.410694960317456,4.75,1.2893050396825432,1.2893050396825432
Chile,Los Lagos,102424,102424,2024,5,Verano,2024.0,6.0,5.699999999999999,7.04,4.85879998501498,5.699999999999999,2.18120001498502,2.18120001498502
Chile,Los Lagos,102424,102424,2024,6,Verano,2024.0,7.0,7.04,1.37,6.022027299829799,7.04,-4.652027299829799,4.652027299829799
Chile,Los Lagos,102424,102424,2024,7,Verano,2024.0,8.0,1.37,2.5500000000000003,2.00580199436764,1.37,0.5441980056323601,0.5441980056323601
Chile,Los Lagos,102424,102424,2024,8,Verano,2024.0,9.0,2.5500000000000003,3.68,3.1269383597883595,2.5500000000000003,0.5530616402116406,0.5530616402116406
Chile,Los Lagos,102424,102424,2024,9,Verano,2024.0,10.0,3.68,3.99,4.0525121031746005,3.68,-0.06251210317460032,0.06251210317460032
Chile,Los Lagos,102424,102424,2024,10,Verano,2024.0,11.0,3.99,5.760000000000001,4.338496455026456,3.99,1.421503544973545,1.421503544973545
Chile,Los Lagos,102424,102424,2024,11,Verano,2024.0,12.0,5.760000000000001,6.3,4.941735092592593,5.760000000000001,1.3582649074074071,1.3582649074074071
Chile,Los Lagos,102424,102424,2024,12,Verano,2024.0,13.0,6.3,7.529999999999999,5.289194140211639,6.3,2.2408058597883604,2.2408058597883604
Chile,Los Lagos,102424,102424,2024,13,Verano,2024.0,14.0,7.529999999999999,7.279999999999999,6.687411825396825,7.529999999999999,0.5925881746031747,0.5925881746031747
Chile,Los Lagos,102424,102424,2024,14,Otoño,2024.0,15.0,7.279999999999999,7.62,5.9858289550264505,7.279999999999999,1.6341710449735496,1.6341710449735496
Chile,Los Lagos,102424,102424,2024,15,Otoño,2024.0,16.0,7.62,5.21,7.0612423027897995,7.62,-1.8512423027897995,1.8512423027897995
Chile,Los Lagos,102424,102424,2024,16,Otoño,2024.0,17.0,5.21,6.48,4.8744798840048835,5.21,1.605520115995117,1.605520115995117
Chile,Los Lagos,102424,102424,2024,17,Otoño,2024.0,18.0,6.48,6.720000000000001,5.387385661375661,6.48,1.3326143386243396,1.3326143386243396
Chile,Los Lagos,102424,102424,2024,18,Otoño,2024.0,19.0,6.720000000000001,7.41,5.864437942520444,6.720000000000001,1.5455620574795566,1.5455620574795566
Chile,Los Lagos,102424,102424,2024,19,Otoño,2024.0,20.0,7.41,8.799999999999999,7.429273876863877,7.41,1.370726123136122,1.370726123136122
Chile,Los Lagos,102424,102424,2024,20,Otoño,2024.0,21.0,8.799999999999999,8.44,7.918553884078885,8.799999999999999,0.5214461159211146,0.5214461159211146
Chile,Los Lagos,102424,102424,2024,21,Otoño,2024.0,22.0,8.44,9.86,8.090910803270805,8.44,1.769089196729194,1.769089196729194
Chile,Los Lagos,102424,102424,2024,22,Otoño,2024.0,23.0,9.86,10.33,7.888751415343913,9.86,2.441248584656087,2.441248584656087
Chile,Los Lagos,102424,102424,2024,23,Otoño,2024.0,24.0,10.33,11.16,7.896913399470903,10.33,3.263086600529097,3.263086600529097
Chile,Los Lagos,102424,102424,2024,24,Otoño,2024.0,25.0,11.16,2.43,7.850603624338622,11.16,-5.4206036243386215,5.4206036243386215
Chile,Los Lagos,102424,102424,2024,25,Otoño,2024.0,26.0,2.43,2.3,3.2626382000407013,2.43,-0.9626382000407014,0.9626382000407014
Chile,Los Lagos,102424,102424,2024,26,Otoño,2024.0,27.0,2.3,3.84,2.844801005291005,2.3,0.995198994708995,0.995198994708995
Chile,Los Lagos,102424,102424,2024,27,Invierno,2024.0,28.0,3.84,4.83,4.904504720622865,3.84,-0.07450472062286462,0.07450472062286462
Chile,Los Lagos,102424,102424,2024,28,Invierno,2024.0,29.0,4.83,6.1,5.307516865283758,4.83,0.7924831347162415,0.7924831347162415
Chile,Los Lagos,102424,102424,2024,29,Invierno,2024.0,30.0,6.1,6.65,5.966782086524588,6.1,0.6832179134754126,0.6832179134754126
Chile,Aysén,110758,110758,2022,52,Primavera,2023.0,1.0,4.42,9.28,5.378326051078551,4.42,3.9016739489214487,3.9016739489214487
Chile,Aysén,110758,110758,2023,1,Verano,2023.0,2.0,9.28,4.949999999999999,7.864084351851851,9.28,-2.9140843518518516,2.9140843518518516
Chile,Aysén,110758,110758,2023,2,Verano,2023.0,3.0,4.949999999999999,7.08,4.959623591778591,4.949999999999999,2.120376408221409,2.120376408221409
Chile,Aysén,110758,110758,2023,3,Verano,2023.0,4.0,7.08,3.33,6.764487977207979,7.08,-3.4344879772079793,3.4344879772079793
Chile,Aysén,110758,110758,2023,4,Verano,2023.0,5.0,3.33,7.999999999999999,4.221500341700783,3.33,3.778499658299216,3.778499658299216
Chile,Aysén,110758,110758,2023,5,Verano,2023.0,6.0,7.999999999999999,4.39,7.918755411070407,7.999999999999999,-3.5287554110704074,3.5287554110704074
Chile,Aysén,110758,110758,2023,6,Verano,2023.0,7.0,4.39,7.029999999999999,4.565871500814002,4.39,2.464128499185997,2.464128499185997
Chile,Aysén,110758,110758,2023,7,Verano,2023.0,8.0,7.029999999999999,4.84,6.8890755830280845,7.029999999999999,-2.0490755830280847,2.0490755830280847
Chile,Aysén,110758,110758,2023,8,Verano,2023.0,9.0,4.84,5.34,5.3200002971102975,4.84,0.01999970288970232,0.01999970288970232
Chile,Aysén,110758,110758,2023,9,Verano,2023.0,10.0,5.34,6.98,5.484000068591538,5.34,1.4959999314084627,1.4959999314084627
Chile,Aysén,110758,110758,2023,10,Verano,2023.0,11.0,6.98,6.21,6.780002368742369,6.98,-0.5700023687423688,0.5700023687423688
Chile,Aysén,110758,110758,2023,11,Verano,2023.0,12.0,6.21,4.52,5.408220212891682,6.21,-0.8882202128916825,0.8882202128916825
Chile,Aysén,110758,110758,2023,12,Verano,2023.0,13.0,4.52,4.84,4.733471540496538,4.52,0.1065284595034619,0.1065284595034619
Chile,Aysén,110758,110758,2023,13,Verano,2023.0,14.0,4.84,5.35,5.097791381766378,4.84,0.25220861823362206,0.25220861823362206
