pais,zona,localidad,localidad_id,anio,semana,estacion,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,prediccion_base_persistencia,error_rf,error_abs_rf
Chile,Los Lagos,102424,102424,2023,45,Primavera,2023.0,46.0,0.2,0.22,0.5868939401339403,0.2,-0.3668939401339403,0.3668939401339403
Chile,Los Lagos,102424,102424,2023,46,Primavera,2023.0,47.0,0.22,3.3,0.6372413607688608,0.22,2.662758639231139,2.662758639231139
Chile,Los Lagos,102424,102424,2023,47,Primavera,2023.0,48.0,3.3,3.58,3.779905236744736,3.3,-0.19990523674473604,0.19990523674473604
Chile,Los Lagos,102424,102424,2023,48,Primavera,2023.0,49.0,3.58,4.94,4.090267391276362,3.58,0.8497326087236381,0.8497326087236381
Chile,Los Lagos,102424,102424,2023,49,Primavera,2023.0,50.0,4.94,5.35,4.8198619931309965,4.94,0.5301380068690031,0.5301380068690031
Chile,Los Lagos,102424,102424,2023,50,Primavera,2023.0,51.0,5.35,6.470000000000001,4.916902491335699,5.35,1.553097508664302,1.553097508664302
Chile,Los Lagos,102424,102424,2023,51,Primavera,2023.0,52.0,6.470000000000001,6.3,5.332336811308453,6.470000000000001,0.9676631886915468,0.9676631886915468
Chile,Los Lagos,102424,102424,2023,52,Primavera,2024.0,1.0,6.3,5.32,5.371975678829823,6.3,-0.051975678829823124,0.051975678829823124
Chile,Los Lagos,102424,102424,2024,1,Verano,2024.0,2.0,5.32,5.1000000000000005,4.592456965447833,5.32,0.5075430345521674,0.5075430345521674
Chile,Los Lagos,102424,102424,2024,2,Verano,2024.0,3.0,5.1000000000000005,4.63,4.61230325502427,5.1000000000000005,0.017696744975729928,0.017696744975729928
Chile,Los Lagos,102424,102424,2024,3,Verano,2024.0,4.0,4.63,4.75,4.399448068120821,4.63,0.35055193187917943,0.35055193187917943
Chile,Los Lagos,102424,102424,2024,4,Verano,2024.0,5.0,4.75,5.699999999999999,4.5207844493245855,4.75,1.1792155506754138,1.1792155506754138
Chile,Los Lagos,102424,102424,2024,5,Verano,2024.0,6.0,5.699999999999999,7.04,4.988748903498112,5.699999999999999,2.051251096501888,2.051251096501888
Chile,Los Lagos,102424,102424,2024,6,Verano,2024.0,7.0,7.04,1.37,5.428997619048963,7.04,-4.058997619048963,4.058997619048963
Chile,Los Lagos,102424,102424,2024,7,Verano,2024.0,8.0,1.37,2.5500000000000003,2.319300541403044,1.37,0.2306994585969564,0.2306994585969564
Chile,Los Lagos,102424,102424,2024,8,Verano,2024.0,9.0,2.5500000000000003,3.68,3.2574934774002453,2.5500000000000003,0.42250652259975485,0.42250652259975485
Chile,Los Lagos,102424,102424,2024,9,Verano,2024.0,10.0,3.68,3.99,4.128171101348595,3.68,-0.13817110134859512,0.13817110134859512
Chile,Los Lagos,102424,102424,2024,10,Verano,2024.0,11.0,3.99,5.760000000000001,4.26107112353387,3.99,1.498928876466131,1.498928876466131
Chile,Los Lagos,102424,102424,2024,11,Verano,2024.0,12.0,5.760000000000001,6.3,4.998478187777848,5.760000000000001,1.301521812222152,1.301521812222152
Chile,Los Lagos,102424,102424,2024,12,Verano,2024.0,13.0,6.3,7.529999999999999,5.315872711487148,6.3,2.2141272885128513,2.2141272885128513
Chile,Los Lagos,102424,102424,2024,13,Verano,2024.0,14.0,7.529999999999999,7.279999999999999,6.19292042635591,7.529999999999999,1.0870795736440897,1.0870795736440897
